,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
131,Kieran Dowell,,eng ENG,FWMF,Norwich City,24-164,1997,4,10,4,4,4,2,5,14,35.7,9,120,24,20,31,52,37,5,1,0,4,1,11,2,0,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-105,2001,1.4,6,3,4,2,0,2,4,50,2,29,8,27.6,16,10,3,2,0,0,2,3,9,2,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-067,1989,17,0,0,0,0,0,0,0,,0,4,1,25,4,0,0,0,0,0,0,0,0,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-081,1992,16,16,9,12,1,3,5,13,38.5,8,86,20,23.3,50,31,5,35,19,1,16,18,34,91,1,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,9,4,6,2,1,5,8,62.5,3,31,12,38.7,15,13,3,3,0,0,3,4,13,9,1,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-122,1991,19.6,20,11,9,10,1,6,11,54.5,5,108,45,41.7,60,38,10,32,20,0,12,35,55,79,1,Matches
137,Ederson,,br BRA,GK,Manchester City,28-218,1993,28,0,0,0,0,0,0,0,,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-066,1998,14.1,15,11,1,6,8,2,18,11.1,16,274,83,30.3,39,116,119,19,3,0,16,8,23,13,0,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-330,2002,6.1,13,8,5,6,2,4,15,26.7,11,131,42,32.1,39,60,32,10,1,0,9,10,23,2,0,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,18-353,2003,3.1,1,1,1,0,0,0,6,0,6,77,16,20.8,17,42,18,8,0,0,8,3,4,4,0,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-255,1992,2,3,2,2,1,0,1,2,50,1,23,7,30.4,12,9,2,2,0,0,2,5,8,2,0,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-231,1994,16.8,36,27,11,21,4,7,21,33.3,14,347,115,33.1,99,171,77,33,2,0,31,13,49,17,0,Matches
143,Emerson,,br BRA,DF,Tottenham,23-068,1999,16.8,64,30,44,14,6,21,47,44.7,26,367,96,26.2,180,128,59,38,3,0,35,30,94,54,0,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-037,1992,2.4,2,2,0,2,0,1,3,33.3,2,30,3,10,7,17,6,1,0,0,1,2,4,2,0,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-134,1995,4.3,12,10,5,7,0,4,7,57.1,3,63,22,34.9,28,31,4,5,1,0,4,7,19,6,0,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-079,1988,8.7,15,8,11,3,1,8,14,57.1,6,65,24,36.9,41,21,3,15,9,0,6,22,37,31,0,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-267,1998,1.6,4,2,2,1,1,3,3,100,0,26,9,34.6,4,14,8,2,0,0,2,3,7,0,0,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-339,1985,29,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-151,1993,20.9,48,31,13,29,6,15,50,30,35,336,109,32.4,101,184,51,41,7,0,34,46,94,27,0,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-049,1991,17.8,34,23,22,11,1,18,32,56.3,14,171,56,32.7,86,64,21,32,8,0,24,51,85,50,0,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-155,2004,0.3,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-168,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-196,1994,25.6,42,33,19,16,7,20,54,37,34,467,132,28.3,83,226,158,23,0,0,23,31,73,27,2,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-344,1998,12,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-030,1989,5.8,1,1,0,1,0,0,6,0,6,33,4,12.1,21,9,3,11,9,0,2,13,14,23,0,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-323,1985,6.8,15,10,4,10,1,3,12,25,9,89,26,29.2,26,53,10,4,1,0,3,7,22,10,0,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-172,1991,8.8,21,15,4,10,7,1,9,11.1,8,178,59,33.1,26,83,69,15,0,0,15,2,23,2,0,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-213,1996,14.8,53,28,27,21,5,25,47,53.2,22,260,79,30.4,126,98,36,27,7,1,20,26,79,38,0,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-172,1995,0.3,2,2,2,0,0,1,1,100,0,9,1,11.1,5,3,1,1,1,0,0,0,2,0,0,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-299,2000,17.9,13,10,4,3,6,5,6,83.3,1,322,97,30.1,32,103,187,10,1,0,9,13,26,0,0,Matches
161,Pablo Fornals,,es ESP,FWMF,West Ham,26-029,1996,24,42,28,17,15,10,22,74,29.7,52,511,141,27.6,145,227,139,36,1,0,35,40,82,11,0,Matches
162,Adam Forshaw,,eng ENG,MF,Leeds United,30-166,1991,16,49,26,19,28,2,20,48,41.7,28,382,114,29.8,114,206,62,19,1,0,18,30,79,18,1,Matches
163,Marcus Forss,,fi FIN,FWMF,Brentford,22-278,1999,2.3,4,2,0,3,1,2,4,50,2,70,21,30,11,29,30,3,0,0,3,2,6,0,0,Matches
164,Fraser Forster,,eng ENG,GK,Southampton,34-006,1988,12,0,0,0,0,0,0,1,0,1,4,2,50,4,0,0,0,0,0,0,0,0,2,1,Matches
165,Ben Foster,,eng ENG,GK,Watford,38-354,1983,18,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,1,Matches
166,Tariqe Fosu,,gh GHA,DF,Brentford,26-138,1995,0.2,0,0,0,0,0,0,0,,0,5,0,0,0,2,3,1,0,0,1,0,0,0,0,Matches
167,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-027,1994,15,13,4,8,5,0,4,15,26.7,11,151,37,24.5,32,66,53,12,0,0,12,15,28,9,0,Matches
168,Fred,,br BRA,MF,Manchester Utd,29-018,1993,19.6,61,35,28,26,7,16,63,25.4,47,486,127,26.1,169,261,56,40,13,0,27,41,102,29,0,Matches
169,Ryan Fredericks,,eng ENG,DF,West Ham,29-164,1992,1.4,1,1,1,0,0,0,2,0,2,9,3,33.3,5,2,2,3,0,0,3,3,4,3,0,Matches
170,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-209,2003,1.7,4,2,4,0,0,3,3,100,0,30,11,36.7,13,12,5,3,3,0,0,4,8,8,0,Matches
171,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-045,2000,24.4,59,40,31,14,14,10,47,21.3,37,615,178,28.9,167,286,162,41,7,0,34,31,90,24,0,Matches
172,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-157,1990,0.4,1,0,0,1,0,0,0,,0,14,4,28.6,1,10,3,0,0,0,0,1,2,0,0,Matches
173,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-179,1995,0.7,2,1,1,1,0,0,1,0,1,14,7,50,8,3,3,0,0,0,0,0,2,1,0,Matches
174,David de Gea,,es ESP,GK,Manchester Utd,31-136,1990,29,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-323,2002,5.2,7,3,2,2,3,3,7,42.9,4,133,41,30.8,14,60,59,5,0,0,5,2,9,2,0,Matches
176,Anwar El Ghazi,,nl NED,FW,Everton,26-324,1995,0.1,1,1,1,0,0,1,1,100,0,10,3,30,2,3,5,2,0,0,2,1,2,0,0,Matches
177,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-324,1995,4.3,3,3,1,2,0,2,6,33.3,4,48,18,37.5,7,24,17,5,0,0,5,2,5,2,0,Matches
178,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-198,1993,4.8,13,7,5,6,2,7,11,63.6,4,98,22,22.4,29,43,26,7,0,0,7,5,18,9,0,Matches
179,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-157,1995,6.1,16,7,7,8,1,10,12,83.3,2,91,24,26.4,47,28,16,22,3,0,19,18,34,12,0,Matches
180,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-055,2000,0.1,0,0,0,0,0,0,0,,0,3,0,0,1,1,1,1,0,0,1,0,0,0,0,Matches
181,Ben Gibson,,eng ENG,DF,Norwich City,29-067,1993,23.7,16,12,12,4,0,5,10,50,5,127,43,33.9,76,46,5,50,30,0,20,38,54,134,0,Matches
182,Billy Gilmour,,sct SCO,MF,Norwich City,20-285,2001,15.7,37,19,14,20,3,14,34,41.2,20,367,81,22.1,139,182,46,15,3,0,12,28,65,28,0,Matches
183,Ben Godfrey,,eng ENG,DF,Everton,24-067,1998,18.5,47,22,26,16,5,14,28,50,14,239,79,33.1,121,96,22,44,18,0,26,43,90,65,2,Matches
184,Andre Gomes,,pt POR,MF,Everton,28-236,1993,5.6,15,9,6,5,4,7,19,36.8,12,164,48,29.3,57,76,31,7,2,0,5,7,22,2,0,Matches
185,Toti Gomes,,pt POR,DF,Wolves,23-066,1999,2,6,2,5,1,0,2,3,66.7,1,21,9,42.9,15,5,1,4,0,0,4,6,12,12,0,Matches
186,Joe Gomez,,eng ENG,DF,Liverpool,24-304,1997,1.2,0,0,0,0,0,0,2,0,2,12,4,33.3,2,8,2,1,0,0,1,5,5,4,0,Matches
187,Charlie Goode,,eng ENG,DF,Brentford,26-232,1995,5,8,5,6,2,0,4,4,100,0,36,15,41.7,20,13,3,5,2,0,3,5,13,12,0,Matches
188,Anthony Gordon,,eng ENG,MFFW,Everton,21-027,2001,16.7,48,30,23,18,7,17,47,36.2,30,379,108,28.5,90,182,107,35,5,0,30,21,69,6,0,Matches
189,Kaide Gordon,,eng ENG,FW,Liverpool,17-169,2004,0.1,1,0,0,0,1,1,1,100,0,6,3,50,0,1,5,0,0,0,0,0,1,0,0,Matches
190,Dan Gosling,,eng ENG,MF,Watford,32-050,1990,0.2,0,0,0,0,0,0,4,0,4,5,1,20,2,3,0,0,0,0,0,0,0,1,0,Matches
191,Demarai Gray,,eng ENG,MFFW,Everton,25-268,1996,18.8,22,13,7,10,5,10,20,50,10,220,74,33.6,45,97,78,20,0,0,20,11,33,7,1,Matches
192,Jack Grealish,,eng ENG,FW,Manchester City,26-194,1995,16.1,13,10,3,8,2,2,10,20,8,215,84,39.1,28,69,118,13,2,0,11,11,24,4,0,Matches
193,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-173,2001,14.1,16,8,8,2,6,5,12,41.7,7,154,40,26,35,59,60,5,0,0,5,4,20,5,0,Matches
194,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-056,2002,0.9,0,0,0,0,0,0,1,0,1,14,2,14.3,0,5,9,0,0,0,0,0,0,0,0,Matches
195,Pascal Gross,,de GER,MFDF,Brighton,30-281,1991,15.3,25,17,15,8,2,11,26,42.3,15,236,72,30.5,91,83,62,30,7,0,23,13,38,18,0,Matches
196,Vicente Guaita,,es ESP,GK,Crystal Palace,35-072,1987,23.5,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Matches
197,Marc Guehi,,eng ENG,DF,Crystal Palace,21-253,2000,28,28,21,20,7,1,9,14,64.3,5,182,73,40.1,116,57,9,39,23,0,16,46,74,116,0,Matches
198,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-127,1997,3.2,15,11,10,3,2,2,12,16.7,10,95,32,33.7,36,46,13,5,1,0,4,8,23,4,0,Matches
199,Ilkay Gundogan,,de GER,MF,Manchester City,31-150,1990,15,15,6,6,8,1,6,17,35.3,11,140,37,26.4,38,67,35,13,3,1,10,16,31,8,0,Matches
200,Angus Gunn,,eng ENG,GK,Norwich City,26-060,1996,7,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,Matches
201,Grant Hanley,,sct SCO,DF,Norwich City,30-123,1991,23.2,47,35,32,12,3,11,21,52.4,10,210,85,40.5,144,58,8,47,34,1,13,47,94,135,1,Matches
202,Jack Harrison,,eng ENG,FWMF,Leeds United,25-123,1996,21.9,40,22,15,15,10,21,45,46.7,24,387,104,26.9,109,152,126,49,2,0,47,28,68,23,0,Matches
203,Kortney Hause,,eng ENG,DF,Aston Villa,26-250,1995,4.4,4,4,3,0,1,2,2,100,0,47,21,44.7,30,16,1,10,5,0,5,9,13,19,0,Matches
204,Kai Havertz,,de GER,FWMF,Chelsea,22-285,1999,14.5,18,11,3,12,3,3,12,25,9,237,69,29.1,23,94,120,26,0,0,26,6,24,23,0,Matches
205,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-001,1995,11.1,34,18,17,12,5,8,23,34.8,15,194,53,27.3,77,96,21,22,9,0,13,20,54,30,0,Matches
206,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-056,1996,15,24,11,8,14,2,11,31,35.5,20,220,54,24.5,48,104,68,13,0,0,13,14,38,8,1,Matches
207,Jordan Henderson,,eng ENG,MF,Liverpool,31-279,1990,22.3,27,20,4,19,4,9,31,29,22,359,113,31.5,77,205,77,25,2,0,23,36,63,16,0,Matches
208,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-051,1992,0.8,1,1,0,1,0,1,1,100,0,16,2,12.5,2,11,3,0,0,0,0,0,1,1,0,Matches
209,Wayne Hennessey,,wls WAL,GK,Burnley,35-058,1987,2,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
210,Rico Henry,,eng ENG,DF,Brentford,24-258,1997,23.2,30,21,18,7,5,6,25,24,19,278,81,29.1,126,94,58,55,10,0,45,46,76,53,1,Matches
211,Son Heung-min,,kr KOR,FWMF,Tottenham,29-258,1992,24.9,11,6,5,5,1,3,20,15,17,297,74,24.9,52,147,98,23,4,0,19,22,33,6,0,Matches
212,Ki-Jana Hoever,,nl NED,DF,Wolves,20-064,2002,3.4,16,10,12,4,0,5,13,38.5,8,81,25,30.9,40,30,11,6,0,0,6,5,21,8,0,Matches
213,Rob Holding,,eng ENG,DF,Arsenal,26-184,1995,4.8,9,6,8,1,0,5,7,71.4,2,36,11,30.6,23,11,2,18,13,0,5,10,19,30,0,Matches
214,Mason Holgate,,eng ENG,DF,Everton,25-152,1996,14.8,27,15,19,8,0,9,19,47.4,10,140,48,34.3,82,47,11,22,14,0,8,31,58,86,0,Matches
215,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-136,2000,10.7,13,6,4,7,2,3,15,20,12,158,38,24.1,24,77,57,13,0,0,13,5,18,5,0,Matches
216,Will Hughes,,eng ENG,MF,Crystal Palace,26-340,1995,9.1,25,13,8,15,2,5,16,31.3,11,172,49,28.5,58,98,16,18,4,0,14,14,39,11,0,Matches
217,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-230,1995,26.5,68,42,20,37,11,23,62,37.1,39,538,145,27,203,256,79,55,10,0,45,55,123,41,0,Matches
218,Adam Idah,,ie IRL,FWMF,Norwich City,21-012,2001,6.9,11,6,4,5,2,2,5,40,3,93,23,24.7,15,40,38,4,3,0,1,4,15,8,0,Matches
219,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-171,1996,9.2,11,7,2,7,2,3,9,33.3,6,166,48,28.9,12,76,78,7,0,0,7,4,15,6,0,Matches
220,Danny Ings,,eng ENG,FW,Aston Villa,29-243,1992,16.9,19,9,4,12,3,8,23,34.8,15,298,64,21.5,43,128,127,24,3,0,21,14,33,15,0,Matches
221,Tim Iroegbunam,,,MF,Aston Villa,,,0.1,1,0,0,1,0,1,2,50,1,4,1,25,2,2,0,0,0,0,0,0,1,0,0,Matches
222,Alex Iwobi,,ng NGA,MFFW,Everton,25-324,1996,11.6,23,13,8,9,6,9,24,37.5,15,269,77,28.6,78,119,72,19,2,0,17,18,41,10,0,Matches
223,Daniel James,,wls WAL,FWMF,Leeds United,24-133,1997,22.5,28,14,10,9,9,10,24,41.7,14,453,120,26.5,60,169,224,17,2,0,15,17,45,10,0,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-133,1997,1.4,4,4,0,4,0,1,1,100,0,31,8,25.8,5,13,13,2,0,0,2,0,4,1,0,Matches
225,Reece James,,eng ENG,DF,Chelsea,22-105,1999,13.1,23,15,14,8,1,6,19,31.6,13,169,64,37.9,70,66,33,18,2,1,16,15,38,13,0,Matches
226,Vitaly Janelt,,de GER,MF,Brentford,23-317,1998,19.8,45,25,17,21,7,16,41,39,25,356,110,30.9,95,183,78,41,8,0,33,35,80,29,0,Matches
227,Pontus Jansson,,se SWE,DF,Brentford,31-038,1991,29.9,28,19,21,6,1,13,30,43.3,17,156,57,36.5,94,53,9,47,20,0,27,55,83,167,1,Matches
228,Mathias Jensen,,dk DEN,MF,Brentford,26-081,1996,13.6,27,24,10,13,4,16,47,34,31,348,100,28.7,132,161,55,21,3,0,18,26,53,10,0,Matches
229,Gabriel Jesus,,br BRA,FW,Manchester City,24-354,1997,14.9,13,7,4,3,6,3,19,15.8,16,216,50,23.1,31,96,89,20,1,0,19,12,25,5,0,Matches
230,Raul Jimenez,,mx MEX,FW,Wolves,30-322,1991,23.9,27,18,4,14,9,4,20,20,16,361,92,25.5,36,186,139,24,4,0,20,18,45,22,0,Matches
231,Joelinton,,br BRA,MFFW,Newcastle Utd,25-221,1996,20.9,59,38,30,22,7,18,40,45,22,459,134,29.2,139,211,109,53,9,0,44,34,93,36,0,Matches
232,Ben Johnson,,eng ENG,DF,West Ham,22-058,2000,13.4,28,15,13,11,4,16,27,59.3,11,151,53,35.1,73,48,30,43,8,1,35,21,49,43,0,Matches
233,Curtis Jones,,eng ENG,MF,Liverpool,21-052,2001,7.1,10,7,2,7,1,2,7,28.6,5,170,47,27.6,28,96,46,3,0,0,3,8,18,1,0,Matches
234,Phil Jones,,eng ENG,DF,Manchester Utd,30-030,1992,1,3,3,2,0,1,2,3,66.7,1,11,2,18.2,3,7,1,3,3,0,0,2,5,3,0,Matches
235,Jorginho,,it ITA,MF,Chelsea,30-093,1991,20.8,52,34,23,25,4,15,62,24.2,47,388,127,32.7,142,189,57,34,6,0,28,50,102,17,1,Matches
236,Diogo Jota,,pt POR,FW,Liverpool,25-109,1996,19.4,25,16,9,11,5,7,34,20.6,27,421,120,28.5,73,168,180,17,3,0,14,13,38,6,0,Matches
237,James Justin,,eng ENG,DF,Leicester City,24-028,1998,4.1,9,5,3,4,2,3,7,42.9,4,73,17,23.3,43,23,7,10,1,0,9,8,17,15,0,Matches
238,Mathias Jorgensen,,dk DEN,DF,Brentford,31-334,1990,4.8,10,2,3,4,3,6,8,75,2,45,10,22.2,25,14,6,7,1,0,6,10,20,11,0,Matches
239,Ozan Kabak,,tr TUR,DF,Norwich City,21-363,2000,10.2,13,11,6,6,1,4,9,44.4,5,96,39,40.6,66,28,2,19,12,0,7,22,35,29,0,Matches
240,Christian Kabasele,,be BEL,DF,Watford,31-027,1991,5.3,4,3,3,1,0,0,2,0,2,31,10,32.3,21,10,0,12,5,0,7,14,18,22,0,Matches
241,Samuel Kalu,,ng NGA,FWMF,Watford,24-209,1997,0.5,0,0,0,0,0,0,0,,0,9,1,11.1,2,3,4,1,0,0,1,1,1,0,0,Matches
242,Hassane Kamara,,ci CIV,DF,Watford,27-185,1994,10.9,44,22,29,13,2,17,27,63,10,197,52,26.4,118,63,16,19,2,0,17,50,94,41,0,Matches
243,Harry Kane,,eng ENG,FW,Tottenham,28-238,1993,26.9,13,7,0,8,5,5,17,29.4,12,303,91,30,18,124,161,17,6,0,11,6,19,28,0,Matches
244,N'Golo Kante,,fr FRA,MF,Chelsea,30-359,1991,13.3,36,20,15,14,7,12,28,42.9,16,239,78,32.6,75,114,50,24,2,0,22,30,66,12,0,Matches
245,Edo Kayembe,,cd COD,MF,Watford,23-232,1998,4.6,9,7,2,5,2,3,7,42.9,4,63,24,38.1,25,34,4,8,0,0,8,9,18,13,0,Matches
246,Moise Kean,,it ITA,FW,Everton,22-023,2000,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
247,Michael Keane,,eng ENG,DF,Everton,29-071,1993,24.5,36,27,24,10,2,18,31,58.1,13,163,70,42.9,94,58,11,43,26,0,17,52,88,114,2,Matches
248,Naby Keita,,gn GUI,MF,Liverpool,27-041,1995,9.2,29,18,12,12,5,14,26,53.8,12,228,77,33.8,52,116,60,17,2,0,15,13,42,2,0,Matches
249,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-120,1998,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
250,Jonjoe Kenny,,eng ENG,DF,Everton,25-008,1997,7.8,12,9,5,7,0,9,19,47.4,10,94,35,37.2,38,47,9,12,2,0,10,23,35,13,0,Matches
251,Max Kilman,,eng ENG,DF,Wolves,24-304,1997,27.9,52,32,39,13,0,20,32,62.5,12,228,84,36.8,149,68,11,48,19,0,29,62,114,113,1,Matches
252,Joshua King,,no NOR,FW,Watford,30-067,1992,21.9,28,18,6,14,8,5,16,31.3,11,419,119,28.4,60,186,173,17,3,0,14,10,38,23,0,Matches
253,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-116,2000,0.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
254,Mateusz Klich,,pl POL,MF,Leeds United,31-283,1990,18.3,33,18,11,16,6,14,45,31.1,31,444,103,23.2,130,227,87,20,5,0,15,26,59,22,0,Matches
255,Robin Koch,,de GER,MFDF,Leeds United,25-249,1996,11.2,18,11,9,7,2,7,19,36.8,12,178,56,31.5,73,89,16,15,5,1,10,30,48,30,0,Matches
256,Sead Kolasinac,,ba BIH,DF,Arsenal,28-276,1993,1,1,1,1,0,0,0,0,,0,12,3,25,7,3,2,2,0,0,2,4,5,8,0,Matches
257,Ibrahima Konate,,fr FRA,DF,Liverpool,22-302,1999,8,9,6,5,3,1,3,5,60,2,56,17,30.4,34,20,2,11,9,1,2,21,30,40,0,Matches
258,Ezri Konsa,,eng ENG,DF,Aston Villa,24-151,1997,22,22,13,11,10,1,5,10,50,5,140,48,34.3,77,51,12,33,17,0,16,35,57,62,1,Matches
259,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-092,1989,18.5,52,30,30,21,1,11,29,37.9,18,329,98,29.8,162,147,20,51,16,0,35,38,90,47,0,Matches
260,Mateo Kovacic,,hr CRO,MF,Chelsea,27-321,1994,14.2,44,35,14,23,7,14,26,53.8,12,332,101,30.4,85,189,58,14,3,0,11,18,62,11,1,Matches
261,Emil Krafth,,se SWE,DF,Newcastle Utd,27-233,1994,11.5,17,9,14,2,1,10,24,41.7,14,138,33,23.9,62,60,16,25,8,0,17,27,44,39,0,Matches
262,Alex Kral,,cz CZE,MF,West Ham,23-308,1998,0,0,0,0,0,0,0,0,,0,2,2,100,0,1,1,0,0,0,0,0,0,0,0,Matches
263,Tim Krul,,nl NED,GK,Norwich City,33-354,1988,22,0,0,0,0,0,0,2,0,2,7,1,14.3,7,0,0,1,0,0,1,0,0,0,1,Matches
264,Juraj Kucka,,sk SVK,MF,Watford,35-025,1987,17.6,66,42,38,23,5,26,61,42.6,35,360,121,33.6,136,174,50,32,8,1,24,38,104,43,1,Matches
