,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
400,Tyler Roberts,,wls WAL,MFFW,Leeds United,23-082,1999,11,0.45,0,0,1.73,2.27,0.27,1.45,0.64,0.64,0,0,0,5.73,0.91,2.36,27.8,Matches
401,Andrew Robertson,,sct SCO,DF,Liverpool,28-024,1994,22.5,0.18,0.04,0,0.8,0.4,0.18,3.56,1.91,0.49,0,0,0,9.33,1.2,0.58,67.5,Matches
402,Joe Rodon,,wls WAL,DF,Tottenham,24-164,1997,0.9,0,0,0,0,1.11,0,0,2.22,0,0,0,0,3.33,1.11,2.22,33.3,Matches
403,Rodri,,es ESP,MF,Manchester City,25-286,1996,24.4,0.2,0,0,1.72,1.15,0,0.2,1.35,1.68,0,0,0,12.5,2.79,1.07,72.3,Matches
404,Rodrigo,,es ESP,MFFW,Leeds United,31-029,1991,19.1,0.42,0,0,0.99,1.36,0.21,1.36,0.68,0.89,0,0,0,5.5,0.89,1.73,34,Matches
405,Jay Rodriguez,,eng ENG,FW,Burnley,32-249,1989,10.7,0.28,0,0,2.34,1.4,1.12,0.28,0.28,0.47,0,0,0,3.93,4.39,5.42,44.8,Matches
406,Mads Roerslev,,dk DEN,DF,Brentford,22-284,1999,11.5,0.09,0,0,1.39,0.78,0.17,1.39,1.65,0.7,0,0.09,0,6,1.13,2.43,31.7,Matches
407,Cristian Romero,,ar ARG,DF,Tottenham,23-342,1998,15.5,0.52,0,0,1.61,0.9,0.13,0.06,2.71,2.19,0,0.06,0,9.61,2.32,1.68,58.1,Matches
408,Oriol Romeu,,es ESP,MF,Southampton,30-192,1991,26.4,0.3,0,0,1.78,0.8,0,0.23,1.93,1.59,0,0,0,13.1,2.08,1.74,54.5,Matches
409,Cristiano Ronaldo,,pt POR,FW,Manchester Utd,37-058,1985,21.3,0.23,0,0,0.56,1.08,1.22,0.52,0.14,0.28,0.05,0,0,4.04,1.64,2.25,42.2,Matches
410,Salomon Rondon,,ve VEN,FW,Everton,32-200,1989,7.9,0.25,0,0,1.39,0.38,0.63,0.38,0.51,0.25,0,0,0,4.3,4.81,7.09,40.4,Matches
411,Danny Rose,,eng ENG,DF,Watford,31-276,1990,7.7,0.52,0,0,1.56,2.08,0,1.95,1.95,1.95,0,0.13,0,6.62,0.52,0.78,40,Matches
412,Jon Rowe,,eng ENG,FWMF,Norwich City,18-339,2003,1.5,0,0,0,2,4,0.67,2.67,2,1.33,0,0,0,6.67,0.67,5.33,11.1,Matches
413,Antonio Rudiger,,de GER,DF,Chelsea,29-032,1993,27,0.22,0,0,1.19,0.48,0,0.44,1.26,0.81,0.07,0,0,8.3,2.04,0.96,67.9,Matches
414,Lukas Rupp,,de GER,MF,Norwich City,31-086,1991,6.5,0,0,0,1.23,1.54,0,0.46,2.46,1.08,0,0,0,11.7,0.62,1.08,36.4,Matches
415,Jose Sa,,pt POR,GK,Wolves,29-077,1993,31,0.1,0,0,0.06,0.35,0,0,0,0,0,0.06,0.03,5.87,0,0,,Matches
416,Allan Saint-Maximin,,fr FRA,FWMF,Newcastle Utd,25-023,1997,23.7,0.21,0,0,0.63,2.53,0.46,2.32,0.72,0.21,0,0,0,6.08,0.68,1.01,40,Matches
417,Romain Saiss,,ma MAR,DF,Wolves,32-009,1990,27.4,0.18,0,0,1.09,0.62,0.11,0.26,2.63,1.2,0,0,0,8.69,2.85,1.42,66.7,Matches
418,Bukayo Saka,,eng ENG,FWMF,Arsenal,20-211,2001,23.7,0.17,0,0,1.05,2.45,0.55,2.41,0.84,0.72,0,0,0,5.99,0.84,1.81,31.7,Matches
419,Mohamed Salah,,eg EGY,FW,Liverpool,29-293,1992,25.9,0.04,0,0,0.39,0.93,0.46,1.62,0.5,0.15,0.08,0,0,5.83,0.42,1.43,22.9,Matches
420,Mohammed Salisu,,gh GHA,DF,Southampton,22-352,1999,27,0.37,0.04,0.04,1.52,0.37,0.04,0.63,2.81,1.78,0,0,0,12.2,3.93,2.07,65.4,Matches
421,Albert Sambi Lokonga,,be BEL,MF,Arsenal,22-164,1999,10.1,0.4,0,0,1.29,1.29,0,0.3,1.88,1.19,0,0,0,9.8,1.49,1.88,44.1,Matches
422,Davinson Sanchez,,co COL,DF,Tottenham,25-296,1996,14.8,0.27,0,0,0.95,0.81,0.07,0.14,1.69,1.22,0,0,0,8.38,3.18,2.3,58,Matches
423,Robert Sanchez,,es ESP,GK,Brighton,24-137,1997,29,0.07,0.03,0,0,0.07,0,0,0,0,0,0,0,4.14,0,0,,Matches
424,Jadon Sancho,,eng ENG,FWMF,Manchester Utd,22-010,2000,17.6,0,0,0,0.34,0.34,0.34,1.48,0.85,0.45,0,0,0,6.76,0.11,0.97,10.5,Matches
425,Morgan Sanson,,fr FRA,MF,Aston Villa,27-229,1994,4,0,0,0,1.5,3.75,0,1.5,2.75,2,0,0,0,8.5,0.5,0.75,40,Matches
426,Samir Santos,,br BRA,DF,Watford,27-120,1994,12,0.25,0,0,1.17,0.92,0,0,3.5,1.17,0,0,0,8.25,2.92,2.33,55.6,Matches
427,Josh Sargent,,us USA,FWMF,Norwich City,22-043,2000,17.3,0.06,0,0,0.75,1.62,0.23,0.75,1.21,0.98,0,0,0,5.84,2.43,3.06,44.2,Matches
428,Jeremy Sarmiento,,ec ECU,FWDF,Brighton,19-292,2002,0.3,0,0,0,0,6.67,0,0,3.33,3.33,0,0,0,6.67,3.33,0,100,Matches
429,Ismaila Sarr,,sn SEN,MFFW,Watford,24-038,1998,15.9,0.13,0,0,1.13,2.39,0.57,2.45,0.82,0.31,0,0,0,5.41,0.69,1.07,39.3,Matches
430,Malang Sarr,,fr FRA,DF,Chelsea,23-071,1999,4.7,0.21,0,0,1.28,0.21,0,0.64,2.55,0.85,0,0,0,7.87,1.7,1.06,61.5,Matches
431,Dane Scarlett,,eng ENG,MF,Tottenham,18-011,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
432,Fabian Schar,,ch SUI,DF,Newcastle Utd,30-105,1991,19.8,0.15,0,0,1.26,0.45,0.1,0.2,3.13,0.45,0,0,0,8.59,2.02,1.82,52.6,Matches
433,Jeffrey Schlupp,,gh GHA,MFFW,Crystal Palace,29-102,1992,14.4,0.07,0,0,1.53,1.32,0,1.18,1.11,1.11,0.07,0,0,8.68,2.22,1.81,55.2,Matches
434,Kasper Schmeichel,,dk DEN,GK,Leicester City,35-150,1986,28,0.04,0,0,0,0.07,0,0,0,0,0,0,0,4.43,0,0.04,0,Matches
435,Ken Sema,,se SWE,MFFW,Watford,28-186,1993,6.1,0.16,0,0,2.62,0.49,0,1.64,0.82,1.15,0,0,0,8.03,1.48,3.44,30,Matches
436,Nelson Semedo,,pt POR,DF,Wolves,28-139,1993,22.1,0.05,0,0,1,1,0.18,1.13,1.86,1.72,0,0.05,0,7.29,0.86,1.4,38,Matches
437,Ryan Sessegnon,,eng ENG,DFMF,Tottenham,21-321,2000,6,0.17,0,0,2.67,1.33,0.67,2.17,2.17,1,0,0,0,4.83,0.67,1.33,33.3,Matches
438,Jamie Shackleton,,eng ENG,DFMF,Leeds United,22-178,1999,7.6,0.53,0,0,1.84,0.92,0,0.53,1.18,2.37,0,0,0,8.03,0.79,1.71,31.6,Matches
439,Luke Shaw,,eng ENG,DF,Manchester Utd,26-266,1995,17.8,0.45,0,0,1.97,1.01,0.11,2.47,0.84,0.73,0,0.06,0,8.15,1.24,1.12,52.4,Matches
440,Jonjo Shelvey,,eng ENG,MF,Newcastle Utd,30-036,1992,18,0.39,0.06,0.06,1,0.5,0,0.61,1.67,0.61,0,0,0,10.4,0.67,0.72,48,Matches
441,Francisco Sierralta,,cl CHI,DF,Watford,24-333,1997,4.7,0,0,0,1.06,0.43,0,0,2.98,0.85,0,0,0.21,7.02,3.83,0.85,81.8,Matches
442,Bernardo Silva,,pt POR,MFFW,Manchester City,27-237,1994,26.9,0.19,0,0,1.15,1.15,0.3,2.08,0.97,0.93,0.04,0,0,6.84,0.41,0.71,36.7,Matches
443,Fabio Silva,,pt POR,FW,Wolves,19-259,2002,3.9,0,0,0,2.05,1.54,1.03,0.77,0.77,1.28,0,0,0,6.67,2.31,6.92,25,Matches
444,Thiago Silva,,br BRA,DF,Chelsea,37-194,1984,22.3,0.09,0,0,0.4,0.54,0,0,2.11,0.85,0.04,0,0,9.91,2.38,1.08,68.8,Matches
445,Ellis Simms,,eng ENG,FW,Everton,21-089,2001,0.7,0,0,0,0,0,0,0,0,0,0,0,0,4.29,4.29,5.71,42.9,Matches
446,Moussa Sissoko,,fr FRA,MF,Watford,32-231,1989,27.8,0.14,0,0,1.12,0.43,0.07,0.58,1.26,0.94,0,0,0,11.2,2.16,1.51,58.8,Matches
447,Oliver Skipp,,eng ENG,MF,Tottenham,21-200,2000,15,0.4,0,0,1.33,1.53,0.07,0.33,1.27,1.2,0,0,0,8.87,0.8,0.93,46.2,Matches
448,William Smallbone,,ie IRL,MFFW,Southampton,22-042,2000,1.3,0,0,0,1.54,0.77,0,0.77,1.54,1.54,0,0,0,6.15,1.54,3.85,28.6,Matches
449,Emile Smith Rowe,,eng ENG,MFFW,Arsenal,21-250,2000,16.7,0,0,0,0.24,1.56,0.06,0.96,0.96,0.72,0,0,0,6.71,0.3,1.08,21.7,Matches
450,Cedric Soares,,pt POR,DF,Arsenal,30-216,1991,9.2,0.33,0,0,0.98,0.65,0.22,3.04,1.52,0.98,0,0,0,9.24,1.09,1.52,41.7,Matches
451,Tomas Soucek,,cz CZE,MF,West Ham,27-036,1995,28.9,0.07,0,0,1.52,0.66,0.1,0.42,1.56,1.28,0,0,0,9.93,4.15,4.08,50.4,Matches
452,Boubakary Soumare,,fr FRA,MF,Leicester City,23-036,1999,11.5,0,0,0,1.48,1.65,0,0.17,1.48,1.13,0,0,0,8.7,2.52,1.22,67.4,Matches
453,Caglar Soyuncu,,tr TUR,DF,Leicester City,25-316,1996,23.7,0.21,0,0,1.22,0.63,0.04,0.17,1.77,1.01,0,0.08,0,11.4,3.46,1.94,64.1,Matches
454,Jason Steele,,eng ENG,GK,Brighton,31-229,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
455,Jed Steer,,eng ENG,GK,Aston Villa,29-193,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
456,Zack Steffen,,us USA,GK,Manchester City,27-002,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
457,Dale Stephens,,eng ENG,MF,Burnley,32-296,1989,1.4,0.71,0,0,2.86,0.71,0,0,1.43,1.43,0,0,0,13.6,0.71,1.43,33.3,Matches
458,Jack Stephens,,eng ENG,DF,Southampton,28-067,1994,7,0.29,0,0,1.29,0.43,0,0,3.14,1.14,0,0,0,9.29,2.57,1.86,58.1,Matches
459,Raheem Sterling,,eng ENG,FW,Manchester City,27-117,1994,18.4,0.05,0,0,1.25,2.12,0.33,2.34,0.71,0.87,0.11,0,0,4.89,0.16,1.25,11.5,Matches
460,Finley Stevens,,wls WAL,DF,Brentford,18-359,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,100,Matches
461,John Stones,,eng ENG,DF,Manchester City,27-311,1994,9.6,0,0,0,0.21,0.83,0,0,1.04,0.31,0,0,0,7.4,4.38,0.73,85.7,Matches
462,Pascal Struijk,,nl NED,DFMF,Leeds United,22-236,1999,19.8,0.3,0.05,0,1.16,0.45,0.05,0,2.93,1.57,0,0,0,10.2,2.22,1.67,57.1,Matches
463,Crysencio Summerville,,nl NED,MFFW,Leeds United,20-156,2001,1.4,0,0,0,0.71,1.43,0,2.86,3.57,2.14,0,0,0,10,0.71,1.43,33.3,Matches
464,Jakob Sorensen,,dk DEN,DFMF,Norwich City,24-032,1998,4.1,0,0,0,1.22,0.24,0,0,2.68,2.2,0,0,0,9.76,2.2,1.71,56.3,Matches
465,Japhet Tanganga,,eng ENG,DF,Tottenham,23-004,1999,8.2,0.49,0.12,0.12,2.44,1.22,0.12,1.22,2.07,1.46,0,0,0,5.61,2.32,1.22,65.5,Matches
466,Matt Targett,,eng ENG,DF,Newcastle Utd,26-198,1995,8,0,0,0,0.75,1,0.13,2.13,1.38,1,0,0,0,9.38,1,1.88,34.8,Matches
467,Matt Targett,,eng ENG,DF,Aston Villa,26-198,1995,15.9,0.13,0,0,1.19,0.82,0,2.58,2.2,0.94,0,0.06,0.06,8.11,1.95,1.26,60.8,Matches
468,James Tarkowski,,eng ENG,DF,Burnley,29-136,1992,26,0.31,0,0,1.12,0.58,0.08,0.04,2.42,1.31,0,0,0,10.5,4.92,2.35,67.7,Matches
469,Nuno Tavares,,pt POR,DF,Arsenal,22-068,2000,7,0.14,0,0,2,1.43,0,2.86,2.43,1.14,0,0,0,7.43,2.57,1.43,64.3,Matches
470,Charlie Taylor,,eng ENG,DF,Burnley,28-198,1993,20.3,0.05,0,0,0.74,1.48,0,2.02,2.71,0.74,0,0,0,9.51,2.36,1.03,69.6,Matches
471,Nathan Tella,,eng ENG,MFFW,Southampton,22-273,1999,6.6,0.15,0,0,2.73,2.58,0.45,1.21,1.97,0.45,0,0,0,9.24,0.91,2.88,24,Matches
472,Alex Telles,,br BRA,DF,Manchester Utd,29-110,1992,11.6,0,0,0,1.81,0.95,0.09,3.19,1.9,1.55,0,0.09,0,7.93,1.9,1.47,56.4,Matches
473,Luke Thomas,,eng ENG,DF,Leicester City,20-298,2001,17.2,0,0,0,0.81,0.87,0,1.05,2.03,1.45,0,0,0,9.01,1.57,1.98,44.3,Matches
474,Dominic Thompson,,eng ENG,DF,Brentford,21-252,2000,1.6,0,0,0,0.63,0.63,0,0.63,1.88,0.63,0,0,0,7.5,0.63,1.25,33.3,Matches
475,Youri Tielemans,,be BEL,MF,Leicester City,24-332,1997,21.1,0.09,0,0,1.71,1.85,0,0.81,1.47,1.61,0,0.09,0,8.39,0.66,0.76,46.7,Matches
476,Kieran Tierney,,sct SCO,DF,Arsenal,24-303,1997,21.3,0,0,0,0.33,0.89,0.05,3.38,1.41,0.56,0,0,0,8.03,0.75,0.94,44.4,Matches
477,Takehiro Tomiyasu,,jp JPN,DF,Arsenal,23-150,1998,15.4,0.06,0,0,0.91,0.58,0,1.49,1.82,0.84,0,0,0,11.2,3.18,3.05,51,Matches
478,James Tomkins,,eng ENG,DF,Crystal Palace,33-006,1989,6.1,0.33,0,0,1.15,0.33,0,0,1.64,0.98,0,0,0,7.54,2.13,1.15,65,Matches
479,Ivan Toney,,eng ENG,FW,Brentford,26-019,1996,25.3,0.24,0,0,1.86,2.77,0.95,0.79,0.75,0.71,0.12,0,0,4.7,4.58,4.74,49.2,Matches
480,Ferran Torres,,es ESP,FW,Manchester City,22-034,2000,3.4,0,0,0,0.29,0.29,0.29,0.59,0.29,0.29,0,0,0,3.53,0.29,0.88,25,Matches
481,Cenk Tosun,,tr TUR,FW,Everton,30-301,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,Matches
482,Andros Townsend,,eng ENG,MF,Everton,30-262,1991,16.2,0.19,0,0,0.62,2.72,0.06,3.46,1.3,0.93,0,0.06,0,7.41,0.31,1.36,18.5,Matches
483,Adama Traore,,es ESP,FW,Wolves,26-069,1996,11.9,0,0,0,1.09,3.36,0.76,2.35,0.34,0.76,0,0,0,5.38,1.01,2.18,31.6,Matches
484,Bertrand Traore,,bf BFA,FWMF,Aston Villa,26-210,1995,2,0,0,0,0,2,1,1.5,0,0,0.5,0,0,7,2,3.5,36.4,Matches
485,Trezeguet,,eg EGY,FW,Aston Villa,27-185,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
486,Francisco Trincao,,pt POR,FWMF,Wolves,22-096,1999,13.5,0,0,0,1.11,1.63,0.07,1.56,1.11,0.96,0,0,0,6.52,0.37,1.33,21.7,Matches
487,Kieran Trippier,,eng ENG,DF,Newcastle Utd,31-197,1990,3.5,0,0,0,1.43,0.86,0,2,2.86,2.86,0,0,0,8.57,3.14,0.57,84.6,Matches
488,William Troost-Ekong,,ng NGA,DF,Watford,28-215,1993,15.3,0.2,0,0,1.11,0.07,0.07,0.07,1.44,0.65,0,0.07,0,7.45,2.09,1.05,66.7,Matches
489,Leandro Trossard,,be BEL,FWMF,Brighton,27-121,1994,25.4,0.08,0,0,0.98,1.42,0.39,1.93,0.98,0.79,0.04,0.04,0,5.94,0.35,1.14,23.7,Matches
490,Kostas Tsimikas,,gr GRE,DF,Liverpool,25-327,1996,7.4,0.27,0,0,2.43,0.81,0,5.41,1.35,0.81,0,0,0,9.05,0.95,1.08,46.7,Matches
491,Axel Tuanzebe,,eng ENG,DF,Aston Villa,24-141,1997,5.6,0.18,0,0,0.89,0.54,0,0.18,1.61,1.07,0,0,0,7.68,2.14,1.96,52.2,Matches
492,Ozan Tufan,,tr TUR,MF,Watford,27-012,1995,3.7,0,0,0,2.43,0,0.27,0.81,0.54,0.54,0,0,0,9.46,1.08,2.43,30.8,Matches
493,Christos Tzolis,,gr GRE,FWMF,Norwich City,20-064,2002,3.5,0,0,0,0.29,1.43,0.57,2.57,0.57,0.57,0,0,0,6.29,1.14,4.86,19,Matches
494,Yan Valery,,fr FRA,DF,Southampton,23-041,1999,1.5,0,0,0,2,0,0,1.33,3.33,0,0,0,0,12,3.33,1.33,71.4,Matches
495,Raphael Varane,,fr FRA,DF,Manchester Utd,28-344,1993,16.3,0,0,0,0.25,0.43,0,0,1.78,0.92,0,0,0,9.26,3.19,1.78,64.2,Matches
496,Jamie Vardy,,eng ENG,FW,Leicester City,35-083,1987,15.6,0.13,0,0,0.71,0.77,1.15,0.96,0.32,0.06,0,0,0.06,2.18,1.35,2.5,35,Matches
497,Joel Veltman,,nl NED,DF,Brighton,30-079,1992,23.9,0.25,0,0,1.42,1,0,1.21,2.3,1.38,0.04,0.04,0,9.79,1.84,1.17,61.1,Matches
498,Jannik Vestergaard,,dk DEN,DF,Leicester City,29-244,1992,6.3,0.32,0,0,0.95,0.16,0,0,2.38,1.75,0,0.16,0,7.46,2.54,1.75,59.3,Matches
499,Nikola Vlasic,,hr CRO,FWMF,West Ham,24-182,1997,5.1,0,0,0,1.37,2.75,0.59,2.35,1.76,1.96,0,0,0,7.25,1.18,1.76,40,Matches
500,Matej Vydra,,cz CZE,FW,Burnley,29-338,1992,5,0,0,0,2,1.4,0.8,0.4,0.4,0.8,0,0,0,1.8,3,8.2,26.8,Matches
501,Theo Walcott,,eng ENG,MFFW,Southampton,33-019,1989,4.2,0,0,0,0.48,1.43,0.48,0.95,1.67,0.71,0,0,0,5,0.71,0.95,42.9,Matches
502,Kyle Walker,,eng ENG,DF,Manchester City,31-311,1990,18.5,0.05,0,0,0.27,0.65,0.05,1.46,1.08,0.86,0,0,0,7.89,1.03,0.92,52.8,Matches
503,Kyle Walker-Peters,,eng ENG,DF,Southampton,24-356,1997,21.3,0.23,0,0,1.22,1.83,0.05,1.22,2.21,0.94,0,0,0,8.97,0.94,1.13,45.5,Matches
504,Aaron Wan-Bissaka,,eng ENG,DF,Manchester Utd,24-129,1997,17.9,0.11,0,0,0.95,0.89,0.06,1.17,2.18,1.17,0,0.06,0,8.04,0.89,1.56,36.4,Matches
505,Joel Ward,,eng ENG,DF,Crystal Palace,32-157,1989,23,0.26,0,0,0.96,0.87,0.04,1.26,1.74,1.09,0,0,0,8.22,2.7,1.3,67.4,Matches
506,James Ward-Prowse,,eng ENG,MF,Southampton,27-154,1994,27.7,0.11,0.04,0,1.01,0.9,0,1.95,1.84,0.9,0,0,0,11.5,0.83,1.12,42.6,Matches
507,Ollie Watkins,,eng ENG,FW,Aston Villa,26-095,1995,25.1,0.24,0,0,1.08,1.43,0.52,0.68,0.6,0.36,0.04,0,0,3.67,2.39,3.71,39.2,Matches
508,Adam Webster,,eng ENG,DF,Brighton,27-090,1995,13,0.31,0,0,1.23,0.15,0,0.31,1.85,0.69,0,0,0,11.5,3.38,1.08,75.9,Matches
509,Wout Weghorst,,nl NED,FW,Burnley,29-240,1992,9.2,0.22,0,0,2.28,1.09,0.87,0.22,0.43,0.87,0,0,0,6.3,4.24,7.28,36.8,Matches
510,Danny Welbeck,,eng ENG,FWMF,Brighton,31-129,1990,9.1,0,0,0,1.32,1.1,0.22,0.22,0.33,0.44,0,0,0,2.97,2.97,3.08,49.1,Matches
511,Timo Werner,,de GER,FWMF,Chelsea,26-029,1996,8.9,0.11,0,0,1.01,1.12,0.9,2.13,0.34,0,0,0,0,5.62,0.67,1.35,33.3,Matches
512,Ashley Westwood,,eng ENG,MF,Burnley,32-003,1990,23.1,0.3,0,0,1.3,1.04,0,1.39,1.82,1,0,0,0,10.4,0.39,0.74,34.6,Matches
513,Ben White,,eng ENG,DF,Arsenal,24-178,1997,26,0.04,0,0,0.62,0.88,0,0.12,2.27,0.69,0,0.04,0,9.31,2.19,1.46,60,Matches
514,Brandon Williams,,eng ENG,DF,Norwich City,21-213,2000,21.5,0.33,0,0,1.07,2.09,0,0.84,2.7,1.26,0,0,0,7.53,0.93,0.79,54.1,Matches
515,Neco Williams,,wls WAL,DF,Liverpool,20-356,2001,0.1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,Matches
516,Joe Willock,,eng ENG,MF,Newcastle Utd,22-227,1999,20.5,0,0,0,1.9,1.37,0,0.63,1.32,2.05,0,0,0,6.39,0.73,1.56,31.9,Matches
517,Callum Wilson,,eng ENG,FW,Newcastle Utd,30-036,1992,13.2,0.3,0,0,1.97,1.52,0.98,0.38,0.3,0.38,0,0,0,2.88,2.2,4.62,32.2,Matches
518,Harry Winks,,eng ENG,MF,Tottenham,26-061,1996,9.6,0.21,0,0,1.25,1.67,0,0.83,1.98,0.52,0,0,0,7.6,0.52,0.73,41.7,Matches
519,Yoane Wissa,,cd COD,FWMF,Brentford,25-213,1996,9.7,0,0,0,0.52,1.65,0.62,1.03,0.52,0.41,0,0,0,4.54,1.44,2.27,38.9,Matches
520,Chris Wood,,nz NZL,FW,Newcastle Utd,30-118,1991,10.8,0,0,0,1.57,0.83,0.56,0.19,0.19,0.09,0,0,0,3.7,11.6,8.8,56.8,Matches
521,Chris Wood,,nz NZL,FW,Burnley,30-118,1991,15.2,0.07,0,0,0.92,0.59,1.05,0.33,0.26,0.53,0,0,0,2.7,7.5,6.91,52.1,Matches
522,Freddie Woodman,,eng ENG,GK,Newcastle Utd,25-031,1997,4,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,,Matches
523,Granit Xhaka,,ch SUI,MF,Arsenal,29-189,1992,16.2,0.37,0.06,0,1.54,0.86,0.12,0.43,1.3,1.05,0,0.06,0,9.88,1.85,1.36,57.7,Matches
524,Andriy Yarmolenko,,ua UKR,FWMF,West Ham,32-163,1989,2,0.5,0,0,0.5,1,0,1.5,0,0,0,0,0,7,1.5,1,60,Matches
525,Ashley Young,,eng ENG,DFFW,Aston Villa,36-269,1985,12.5,0.08,0,0,1.28,2.24,0.08,2.08,1.52,1.04,0,0,0.08,6.4,0.96,1.2,44.4,Matches
526,Wilfried Zaha,,ci CIV,FW,Crystal Palace,29-145,1992,22.5,0.22,0.04,0.04,1.38,4,0.76,1.82,0.84,1.16,0,0,0,6.89,0.76,1.6,32.1,Matches
527,Christoph Zimmermann,,de GER,DF,Norwich City,29-082,1993,0.5,0,0,0,0,2,0,0,4,0,0,0,0,6,0,0,,Matches
528,Oleksandr Zinchenko,,ua UKR,DF,Manchester City,25-110,1996,6.6,0,0,0,0.76,0.61,0,1.97,1.67,1.06,0,0,0,8.18,1.36,1.52,47.4,Matches
529,Hakim Ziyech,,ma MAR,FWMF,Chelsea,29-016,1993,11.7,0.26,0,0,1.97,2.74,0.43,4.27,1.62,0.68,0,0,0,9.4,0.77,1.45,34.6,Matches
530,Kurt Zouma,,fr FRA,DF,West Ham,27-159,1994,18.8,0.05,0,0,0.59,0.43,0,0.11,2.18,0.21,0,0,0.05,7.98,2.55,0.96,72.7,Matches
531,Martin Odegaard,,no NOR,MF,Arsenal,23-108,1998,21,0.1,0,0,1.05,0.76,0.1,0.81,0.76,0.81,0,0.05,0,7.62,0.62,0.71,46.4,Matches
