,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
212,Son Heung-min,,kr KOR,FWMF,Tottenham,29-270,1992,25.9,29.7,38.4,77.5,458.9,108,17.1,18.8,90.8,9.23,10.9,84.5,2.47,6.45,38.3,0.23,0.27,-0.04,2.12,1.04,1.35,0.12,2.28,Matches
213,Ki-Jana Hoever,,nl NED,DF,Wolves,20-076,2002,3.4,33.2,46.8,71.1,574.4,190.3,15,18.2,82.3,15.3,21.2,72.2,2.35,4.12,57.1,0,0,0,0.29,1.18,0.59,0.29,2.35,Matches
214,Rob Holding,,eng ENG,DF,Arsenal,26-196,1995,4.8,41.9,48.5,86.3,866.5,184.6,12.1,13.1,92.1,23.3,24.6,94.9,6.04,10,60.4,0,0,0,0,0.63,0,0,1.46,Matches
215,Mason Holgate,,eng ENG,DF,Everton,25-164,1996,15.8,29.1,40,72.8,687.2,224.6,7.85,9.24,84.9,13.7,17.2,79.4,7.22,12.9,55.9,0,0,0,0,1.71,0.06,0,1.65,Matches
216,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-148,2000,10.7,29.3,36.7,79.6,463.5,101.2,16.2,18.8,86.1,10.1,12.3,81.8,2.06,3.83,53.7,0.19,0.21,-0.03,2.24,0.84,1.87,0.47,2.9,Matches
217,Will Hughes,,eng ENG,MF,Crystal Palace,26-352,1995,9.1,36.9,45.6,81,700.3,154.3,15.3,17.5,87.4,16.3,17.8,91.4,4.73,8.57,55.1,0.11,0.07,0.04,0.77,2.2,0.77,0.33,2.31,Matches
218,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-242,1995,27.5,62.5,70.3,88.9,1201.3,314,24.9,27,92.5,28.5,31.1,91.8,8.18,10.8,75.8,0.07,0.07,0,0.8,6.36,1.02,0.07,5.6,Matches
219,Adam Idah,,ie IRL,FWMF,Norwich City,21-024,2001,6.9,13.9,20.6,67.6,239.1,46.7,6.38,9.57,66.7,5.8,7.25,80,1.16,1.74,66.7,0.14,0.09,0.06,0.58,1.01,0.58,0.29,1.01,Matches
220,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-183,1996,10.2,21.2,27.4,77.4,301.9,69.1,12,14.1,84.7,6.76,8.24,82.1,1.08,2.35,45.8,0.49,0.25,0.25,1.47,1.47,0.98,0.1,2.75,Matches
221,Danny Ings,,eng ENG,FW,Aston Villa,29-255,1992,16.9,12.3,18.1,68,174.6,41.1,7.63,9.82,77.7,2.78,4.26,65.3,1.07,2.01,52.9,0.3,0.09,0.2,0.65,0.77,0.65,0.18,1.3,Matches
222,Tim Iroegbunam,,eng ENG,MF,Aston Villa,18-278,2003,0.1,40,40,100,820,240,10,10,100,30,30,100,0,0,,0,0,0,0,0,0,0,0,Matches
223,Alex Iwobi,,ng NGA,MFFW,Everton,25-336,1996,12.6,24.5,31,79.2,409,126.1,12.4,14,88.6,8.73,10.9,80.3,2.38,3.97,60,0.08,0.13,-0.06,1.75,2.38,1.35,0.32,3.33,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-145,1997,1.4,15.7,22.9,68.8,166.4,25.7,12.9,17.1,75,2.14,3.57,60,0,0.71,0,0,0,0,0.71,0,0,0,0,Matches
225,Daniel James,,wls WAL,FWMF,Leeds United,24-145,1997,23.1,12.9,19.8,65,194,51.4,6.93,9.05,76.6,4.5,6.71,67.1,0.87,1.99,43.5,0.13,0.1,0.03,0.91,0.69,0.78,0.04,1.9,Matches
226,Reece James,,eng ENG,DF,Chelsea,22-117,1999,13.5,63.6,74.8,85,1064.6,283.9,32.4,35,92.4,24.4,28.4,85.9,5.93,8.52,69.6,0.44,0.32,0.13,2.37,2.74,2.44,0.52,5.78,Matches
227,Vitaly Janelt,,de GER,MF,Brentford,23-329,1998,20.7,28.3,37.7,74.9,536.7,171.7,10.7,13.1,81.6,12.7,15.5,81.9,3.72,7.05,52.7,0,0.08,-0.08,0.72,3.04,0.82,0.14,3.96,Matches
228,Pontus Jansson,,se SWE,DF,Brentford,31-050,1991,30.9,32.1,39.2,81.8,673.9,192.3,8.93,10.5,85.4,18.2,21,86.7,4.72,7.12,66.4,0.03,0.01,0.02,0.1,0.97,0,0,1.59,Matches
229,Mathias Jensen,,dk DEN,MF,Brentford,26-093,1996,13.7,31.1,43.6,71.4,692.4,223.4,12.2,14.2,86.1,10.7,13.9,76.8,8.03,14.5,55.3,0.07,0.22,-0.15,2.19,3.21,1.53,0.73,3.43,Matches
230,Gabriel Jesus,,br BRA,FW,Manchester City,25-001,1997,15.2,32.6,38.8,84.2,483,85.5,17.6,19.5,89.9,12.6,14.9,84.6,1.32,1.97,66.7,0.46,0.22,0.24,1.51,0.86,1.51,0.33,2.7,Matches
231,Raul Jimenez,,mx MEX,FW,Wolves,30-334,1991,23.9,19,27,70.4,282.4,55.4,11.6,15.2,76.6,5.36,6.86,78,1.3,2.55,50.8,0.13,0.08,0.04,1.13,1.26,0.42,0.04,1.46,Matches
232,Joelinton,,br BRA,MFFW,Newcastle Utd,25-233,1996,21.6,26.7,34,78.5,415.1,104.5,14.4,17.1,84.1,9.26,11.7,79.4,1.99,2.78,71.7,0.05,0.06,-0.01,1.02,2.04,0.79,0.14,2.5,Matches
233,Ben Johnson,,eng ENG,DF,West Ham,22-070,2000,13.4,34.2,49.6,69,664.1,274.2,14.6,16.7,87.1,14,19.6,71.5,4.93,10.6,46.5,0,0.04,-0.04,0.45,2.84,1.12,0.75,3.21,Matches
234,Curtis Jones,,eng ENG,MF,Liverpool,21-064,2001,7.8,54.4,60.4,90,909.5,187.1,28.1,29.4,95.6,21.4,22.9,93.3,4.49,6.67,67.3,0.13,0.08,0.05,1.03,4.1,0.51,0,3.21,Matches
235,Phil Jones,,eng ENG,DF,Manchester Utd,30-042,1992,1,46,50,92,879,246,15,16,93.8,28,29,96.6,2,3,66.7,0,0,0,1,7,0,0,4,Matches
236,Jorginho,,it ITA,MF,Chelsea,30-105,1991,20.8,61.7,69.5,88.9,1092.4,263.2,27.1,29.6,91.6,28,30.3,92.4,5.48,7.79,70.4,0.1,0.12,-0.02,0.82,5.19,1.3,0,4.86,Matches
237,Diogo Jota,,pt POR,FW,Liverpool,25-121,1996,20.4,21.6,29.3,73.9,348.2,83.8,11,13.9,79.2,8.58,10.7,80.3,1.47,2.55,57.7,0.05,0.21,-0.16,1.47,1.86,1.23,0.1,2.79,Matches
238,James Justin,,eng ENG,DF,Leicester City,24-040,1998,5.1,43.9,54.3,80.9,665.1,256.1,23.3,24.7,94.4,17.8,21,85,1.96,5.88,33.3,0,0.12,-0.12,0.98,1.76,0.39,0,3.33,Matches
239,Mathias Jorgensen,,dk DEN,DF,Brentford,31-346,1990,4.8,40.8,57.1,71.5,766.3,336,16.7,19.2,87,20,27.1,73.8,3.75,9.17,40.9,0,0.02,-0.02,0.42,2.71,0.63,0.63,2.71,Matches
240,Ozan Kabak,,tr TUR,DF,Norwich City,22-010,2000,10.2,33.4,40.6,82.4,697.2,224.2,9.02,11,82.1,19.3,21.2,91.2,4.41,6.96,63.4,0,0,0,0.2,1.67,0,0,1.76,Matches
241,Christian Kabasele,,be BEL,DF,Watford,31-039,1991,6.3,32.4,38.1,85,779.4,245.6,4.6,5.87,78.4,20.6,22.7,90.9,6.83,9.21,74.1,0,0,0,0.16,1.9,0.32,0.16,2.22,Matches
242,Samuel Kalu,,ng NGA,FWMF,Watford,24-221,1997,0.5,6,10,60,94,34,2,2,100,4,6,66.7,0,2,0,0,0,0,0,0,0,0,0,Matches
243,Hassane Kamara,,ci CIV,DF,Watford,27-197,1994,11.9,38.1,54.3,70.1,654,296.8,16.4,19.2,85.5,18.1,23.3,77.6,2.52,8.32,30.3,0,0.03,-0.03,0.59,1.85,0.5,0.17,2.77,Matches
244,Harry Kane,,eng ENG,FW,Tottenham,28-250,1993,27.9,19.9,28.1,70.6,388.2,115.8,8.92,11.4,78.5,6.81,9.07,75.1,3.51,5.48,64.1,0.22,0.25,-0.04,1.33,2.76,1.08,0.22,3.3,Matches
245,N'Golo Kante,,fr FRA,MF,Chelsea,31-006,1991,14,50.9,59.7,85.2,862.2,226.8,24.4,27.9,87.5,20.5,23.4,87.5,4.43,5.5,80.5,0.29,0.11,0.17,1.21,4.14,1.5,0,5.71,Matches
246,Edo Kayembe,,cd COD,MF,Watford,23-244,1998,4.6,42.6,52.2,81.7,844.3,190.9,18.3,20.2,90.3,16.7,19.8,84.6,7.61,10.7,71.4,0,0.04,-0.04,0.87,3.91,0,0,4.35,Matches
247,Moise Kean,,it ITA,FW,Everton,22-035,2000,0,1,1,100,17,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
248,Michael Keane,,eng ENG,DF,Everton,29-083,1993,25.2,30.4,38.9,78.3,718.5,238.6,8.93,10.4,85.9,13.5,16,84.6,7.62,11.8,64.4,0.08,0.02,0.06,0.16,2.66,0.16,0,2.38,Matches
249,Naby Keita,,gn GUI,MF,Liverpool,27-053,1995,9.2,52.7,60.8,86.8,852.1,219.9,26.1,28.7,90.9,21.6,24,90,3.37,4.57,73.8,0.11,0.12,-0.01,1.09,5,1.74,0,6.74,Matches
250,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-132,1998,2,40.5,45,90,934.5,371,8.5,8.5,100,25,25,100,7,11.5,60.9,0,0,0,0,0,0,0,0,Matches
251,Jonjoe Kenny,,eng ENG,DF,Everton,25-020,1997,8.8,32.2,42.7,75.3,588.6,251.9,14.8,15.8,93.5,13.3,18,74.1,3.86,7.39,52.3,0.11,0.05,0.07,0.91,2.95,0.8,0.45,2.84,Matches
252,Max Kilman,,eng ENG,DF,Wolves,24-316,1997,28.9,42.1,48.6,86.6,886.1,311.1,13.6,14.9,91,21.3,23.1,92.5,6.85,9.9,69.2,0,0,0,0.07,2.98,0.1,0,3.04,Matches
253,Joshua King,,no NOR,FW,Watford,30-079,1992,22,15.3,21,72.9,234,46.3,8.23,10.3,79.7,5.68,8,71,0.86,1.23,70.4,0.14,0.14,0,1.5,1.09,0.59,0.09,1.27,Matches
254,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-128,2000,0.4,22.5,27.5,81.8,625,410,5,5,100,7.5,7.5,100,10,15,66.7,0,0,0,0,0,0,0,0,Matches
255,Mateusz Klich,,pl POL,MF,Leeds United,31-295,1990,19.1,33.3,42.6,78.1,525.9,157.4,17.9,20.5,87.5,11.5,14.3,80.3,2.46,4.92,50,0.1,0.1,0,1.47,3.09,1.15,0.16,4.5,Matches
256,Robin Koch,,de GER,MFDF,Leeds United,25-261,1996,11.2,29.5,36.6,80.5,629.2,169.2,8.39,10.1,83.2,15.3,17.9,85.5,5.45,7.5,72.6,0,0.04,-0.04,0.54,2.14,0.54,0,1.96,Matches
257,Sead Kolasinac,,ba BIH,DF,Arsenal,28-288,1993,1,10,13,76.9,167,64,4,4,100,5,8,62.5,1,1,100,0,0,0,0,1,0,0,0,Matches
258,Ibrahima Konate,,fr FRA,DF,Liverpool,22-314,1999,8,54.1,61.6,87.8,1139.6,417.4,13.5,15.1,89.3,32.1,33.9,94.8,7.75,11.1,69.7,0,0.01,-0.01,0.13,4.25,0.38,0,3.63,Matches
259,Ezri Konsa,,eng ENG,DF,Aston Villa,24-163,1997,23,30.1,34.6,86.9,595.3,180.5,9.09,10,90.5,16.7,17.9,93.2,3.83,5.91,64.7,0,0.01,-0.01,0.17,0.96,0,0,1.26,Matches
260,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-104,1989,18.5,29.3,35.2,83.3,498.2,124.4,13.3,15.6,85.1,12.3,14.3,85.7,2.65,3.68,72.1,0.05,0.04,0.02,0.22,2.05,0.16,0.05,2.32,Matches
261,Mateo Kova?i?,,hr CRO,MF,Chelsea,27-333,1994,14.5,60.5,67.7,89.3,1123.3,251.6,26.5,28.6,92.5,25.6,27.8,92.1,7.45,9.72,76.6,0.34,0.23,0.11,1.38,6.34,1.38,0,5.93,Matches
262,Emil Krafth,,se SWE,DF,Newcastle Utd,27-245,1994,11.5,29.4,39.7,74,500.9,220.9,13.5,15.4,87.6,11.5,15.4,74.6,3.13,6.17,50.7,0.09,0.05,0.03,0.26,2.26,0.52,0.09,3.04,Matches
263,Alex Kral,,cz CZE,MF,West Ham,23-320,1998,0,0,2,0,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,Matches
264,Tim Krul,,nl NED,GK,Norwich City,34-001,1988,23,25.4,37,68.8,819.3,462,3.3,3.35,98.7,10.6,10.7,98.8,11.5,22.8,50.4,0,0.02,-0.02,0.09,0.26,0.04,0,0.04,Matches
265,Juraj Kucka,,sk SVK,MF,Watford,35-037,1987,18.6,22.2,31.8,69.9,402.1,124.4,10.4,13.4,77.2,8.23,11.2,73.6,2.85,5.16,55.2,0.05,0.05,0,0.54,1.77,0.38,0.11,2.63,Matches
266,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-344,2000,8.4,31.2,36.7,85.1,466.9,99.8,18,19.4,92.6,11.8,13.7,86.1,1.07,1.9,56.3,0.6,0.37,0.23,2.14,1.67,1.9,0.48,3.33,Matches
267,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-311,1991,17,18.2,23.8,76.3,247.6,54.2,11.4,14,81.1,4.35,6,72.5,1.12,1.71,65.5,0.41,0.11,0.3,1.35,1.53,1.12,0.06,2,Matches
268,Adam Lallana,,eng ENG,MF,Brighton,33-329,1988,16.8,48,54.9,87.5,762.5,161.8,25.9,28.3,91.4,17.9,19.6,91.5,3.1,4.64,66.7,0.06,0.04,0.02,0.48,3.63,1.01,0,3.45,Matches
269,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-186,2000,15.2,36.4,46.8,77.9,547.6,127.2,20.5,23.4,87.6,13.4,16.6,80.6,1.58,3.82,41.4,0.13,0.13,0.01,1.25,0.99,1.32,0.86,2.63,Matches
270,Manuel Lanzini,,ar ARG,MF,West Ham,29-048,1993,14.7,54.4,60.3,90.1,856.4,195.6,29.7,31,95.6,19,21.4,88.9,3.95,5.65,69.9,0.14,0.13,0.01,1.29,3.33,1.16,0,4.08,Matches
271,Aymeric Laporte,,es ESP,DF,Manchester City,27-312,1994,24.1,88,92.4,95.2,1910.8,551.1,24.2,25.1,96.4,47.3,48.7,97.1,16,18,88.9,0,0.02,-0.02,0.33,10.9,0.33,0,6.85,Matches
272,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-144,1993,19.1,21.5,27.5,77.9,460.9,125.5,4.92,6.65,74,12.9,14.8,87.2,3.25,5.39,60.2,0,0.02,-0.02,0.1,0.79,0.1,0,0.99,Matches
273,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-314,1993,18.5,31.7,40.4,78.5,615.2,171.3,14.1,16.3,86.4,11.4,13.4,85,5.41,8.59,62.9,0,0.07,-0.07,0.97,3.03,1.19,0.43,3.62,Matches
274,Aaron Lennon,,eng ENG,MF,Burnley,34-353,1987,12.9,14.1,20.3,69.5,216.4,53.7,8.68,10.4,83.6,4.03,5.89,68.4,1.16,2.71,42.9,0,0.02,-0.02,0.39,0.54,0.31,0.16,1.09,Matches
275,Bernd Leno,,de GER,GK,Arsenal,30-031,1992,4,18,27.8,64.9,510.8,312.8,5,5,100,6,6,100,6.5,16.3,40,0,0,0,0,0.25,0,0,0,Matches
276,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-069,1998,2.9,27.9,35.5,78.6,501.4,179.7,12.1,13.4,89.7,10.7,13.1,81.6,4.48,7.59,59.1,0,0,0,0.34,1.38,0,0,1.38,Matches
277,Victor Lindelof,,se SWE,DF,Manchester Utd,27-261,1994,18.2,44.9,50.5,88.9,974.8,282.3,12.9,13.8,92.9,24.2,25.7,94.4,7.58,10.2,74.6,0.11,0.03,0.08,0.16,2.91,0.27,0,2.36,Matches
278,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-110,1992,2.3,30.4,36.5,83.3,379.1,120,19.1,20,95.7,7.39,10.4,70.8,0.43,1.74,25,0,0.09,-0.09,1.3,4.35,0.43,0,2.61,Matches
279,Valentino Livramento,,eng ENG,DF,Southampton,19-143,2002,23.2,36.3,47.4,76.6,595.2,223.3,20,22.5,88.9,13.1,17.5,74.9,2.8,5.6,50,0.04,0.09,-0.05,0.82,1.55,0.99,0.43,3.23,Matches
280,Diego Llorente,,es ESP,DF,Leeds United,28-231,1993,20,44.4,53.6,82.8,991.6,276.8,9.9,11.3,87.6,26.4,29.1,90.7,7.75,11.9,64.9,0,0.01,-0.01,0.1,2.85,0.2,0,2.85,Matches
281,Hugo Lloris,,fr FRA,GK,Tottenham,35-099,1986,30,19.4,24.5,78.9,539.5,317.9,4.87,4.9,99.3,7.5,7.53,99.6,6.67,11.8,56.7,0,0.02,-0.02,0.1,0.4,0,0,0,Matches
282,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-360,1996,2.6,45,56.9,79.1,713.5,130.8,24.2,26.5,91.3,10.8,13.8,77.8,6.15,8.46,72.7,0,0.23,-0.23,1.92,5.38,0.38,0,2.31,Matches
283,Jurgen Locadia,,nl NED,FW,Brighton,28-148,1993,0.3,6.67,10,66.7,143.3,0,0,0,,6.67,6.67,100,0,0,,0,0,0,0,0,0,0,0,Matches
284,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-071,1996,9.7,52.6,59.1,89,901.5,188.4,24.5,26.6,92.2,22.7,25.2,90.2,4.12,4.95,83.3,0.21,0.09,0.11,0.72,4.43,1.24,0,4.95,Matches
285,Kevin Long,,ie IRL,DF,Burnley,31-229,1990,1,13,18,72.2,251,46,4,5,80,8,10,80,1,2,50,0,0,0,0,0,0,0,0,Matches
286,Shane Long,,ie IRL,FWMF,Southampton,35-072,1987,1.6,14.4,25,57.5,146.3,30.6,11.9,18.8,63.3,1.88,3.75,50,0,0.63,0,0,0,0,0.63,1.25,0,0,1.88,Matches
287,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-156,1997,12.2,30.2,38.1,79.4,597.8,148,12.4,15,82.5,11.6,13.4,87.1,5.08,7.87,64.6,0.08,0.03,0.05,0.33,2.38,0.16,0,2.46,Matches
288,Ademola Lookman,,ng NGA,FWMF,Leicester City,24-166,1997,12.7,25.5,33.1,77.1,349.9,96,16.1,18.5,86.8,7.48,9.69,77.2,1.02,2.13,48.1,0,0.14,-0.14,1.5,1.34,1.57,0.24,3.23,Matches
289,Jonas Lossl,,dk DEN,GK,Brentford,33-062,1989,2,22,31,71,680.5,390.5,3.5,3.5,100,8.5,8.5,100,9.5,18.5,51.4,0,0,0,0,1,0,0,0.5,Matches
290,Imran Louza,,ma MAR,MF,Watford,22-338,1999,11.9,34.5,45.1,76.5,740.8,213.5,12,14.2,84.6,14.7,17.5,84.1,7.23,12.1,59.7,0,0.07,-0.07,1.26,3.87,0.59,0.08,3.45,Matches
291,Matthew Lowton,,eng ENG,DF,Burnley,32-299,1989,16.8,30.4,44.2,68.6,591.5,285.3,15.1,17.1,88.5,10.1,13.6,74.1,4.88,11.7,41.8,0.12,0.07,0.05,0.71,3.21,1.19,0.48,4.05,Matches
292,Douglas Luiz,,br BRA,MF,Aston Villa,23-330,1998,23.1,38.3,46.6,82.2,727.3,203.7,15.7,17.4,89.8,15.9,18.3,87,5.89,9.48,62.1,0.13,0.09,0.04,1.13,2.47,0.69,0.04,3.25,Matches
293,Romelu Lukaku,,be BEL,FW,Chelsea,28-326,1993,13.8,12.6,17.5,72.2,165.8,22.4,8.33,10.3,81,3.04,4.49,67.7,0.58,0.87,66.7,0,0.16,-0.16,1.09,0.43,0.58,0,0.87,Matches
294,Lyanco,,br BRA,DF,Southampton,25-062,1997,6.1,26.2,37.4,70.2,531.3,208.4,8.36,9.34,89.5,14.3,16.4,87,3.44,11,31.3,0,0.02,-0.02,0.49,1.8,0.33,0,1.97,Matches
295,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-101,1998,15.9,39.7,49.2,80.6,741.2,197.5,18.1,20.8,86.7,15.8,17.4,90.9,5.28,9.25,57.1,0.13,0.08,0.05,1.19,4.59,1.32,0.19,5.16,Matches
296,James Maddison,,eng ENG,MFFW,Leicester City,25-132,1996,20.1,27.8,37.7,73.7,514.8,152.5,12.3,14.8,83.2,11,13.2,83.8,3.83,8.21,46.7,0.2,0.19,0.01,1.59,2.59,1.24,0.2,3.58,Matches
297,Harry Maguire,,eng ENG,DF,Manchester Utd,29-030,1993,23.7,46.6,53.5,87,1060.8,314.9,11.9,13,91.9,24.7,27,91.7,9.79,13.1,74.6,0,0,0,0.08,4.35,0.08,0,2.91,Matches
298,Riyad Mahrez,,dz ALG,FW,Manchester City,31-042,1991,13.5,46.4,56.1,82.8,806.6,164.7,23.2,26.1,88.9,17.9,20.6,87.1,4.89,8.3,58.9,0.3,0.24,0.06,2.37,1.26,2.44,0.37,3.85,Matches
299,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-218,1997,3,35,45.3,77.2,641,201,16,19.7,81.4,15.7,18.3,85.5,3.33,6.33,52.6,0,0.1,-0.1,1,4,1,0,4.33,Matches
300,Sadio Mane,,sn SEN,FW,Liverpool,29-359,1992,25,25.1,33.6,74.7,411,90,13.3,16,83.5,8.68,11.8,73.6,2.48,3.28,75.6,0.04,0.14,-0.1,1.04,1.8,1.8,0.24,3.4,Matches
301,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-334,1994,14,21.3,29,73.4,303,123.6,12.5,14.5,86.2,6.71,9.43,71.2,1.07,3,35.7,0.14,0.02,0.12,0.29,1,0.14,0,1.21,Matches
302,Fernando Marcal,,br BRA,DF,Wolves,33-044,1989,15.2,41.4,53.5,77.5,724.9,246.6,19.1,21.4,89,18.6,22.6,82.5,3.29,7.3,45,0,0.03,-0.03,0.59,1.58,0.46,0.26,3.16,Matches
303,Solly March,,eng ENG,DFFW,Brighton,27-258,1994,14.7,30.5,42.4,72.1,557.6,146.6,15.7,18.7,84,10.3,14.1,73.4,3.74,7.35,50.9,0.07,0.16,-0.09,2.11,1.5,1.5,0.68,2.52,Matches
304,Pablo Mari,,es ESP,DF,Arsenal,28-216,1993,2,39,43,90.7,820,265.5,11.5,13,88.5,20,20.5,97.6,7,8.5,82.4,0,0.05,-0.05,0.5,4.5,0,0,4,Matches
305,Anthony Martial,,fr FRA,FW,Manchester Utd,26-120,1995,2.4,27.5,35.4,77.6,410,98.3,15,18.8,80,11.7,13.8,84.8,0.83,1.67,50,0,0.04,-0.04,0.42,0.83,1.67,0,3.33,Matches
306,Martinelli,,br BRA,FWMF,Arsenal,20-290,2001,13.8,18.8,26.9,70.1,316.5,53.4,9.13,11.4,79.7,6.96,8.91,78,2.03,4.35,46.7,0.22,0.11,0.11,1.59,0.36,0.72,0.22,1.01,Matches
307,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-214,1992,29,22.5,30.9,73,667.2,381.2,4.41,4.45,99.2,10,10,100,7.97,16.2,49,0,0,0,0,0.38,0,0,0,Matches
308,Adam Masina,,ma MAR,DF,Watford,28-092,1994,9.6,29.5,43.9,67.2,646.8,299.2,7.4,8.75,84.5,15.7,20.1,78.2,5.83,14,41.8,0,0.05,-0.05,0.73,2.19,0.63,0.42,2.71,Matches
309,Arthur Masuaku,,cd COD,DFFW,West Ham,28-148,1993,6.2,42.3,54.4,77.7,671,226.8,24,27.1,88.7,15.5,20,77.4,2.42,6.13,39.5,0.16,0.15,0.02,0.48,3.55,0.81,0.32,3.39,Matches
310,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-280,1997,7.2,13.8,18.8,73.3,157.1,16.9,10,12.1,82.8,2.92,4.17,70,0.14,0.69,20,0.14,0.15,-0.01,0.69,0.28,0.14,0,0.28,Matches
311,Nemanja Mati?,,rs SRB,MF,Manchester Utd,33-246,1988,10.4,58.1,66.7,87,1128,321.1,22.7,26,87.4,26.2,28.8,91,8.17,9.81,83.3,0.19,0.09,0.11,0.77,7.12,0.48,0.1,5.96,Matches
312,Joel Matip,,cm CMR,DF,Liverpool,30-239,1991,24,65.5,72.6,90.2,1422.6,411.3,17.3,19.2,90.2,35.3,37.5,94,12.5,15,83.4,0.08,0.03,0.05,0.38,6.13,0.38,0,5.46,Matches
313,Neal Maupay,,fr FRA,FW,Brighton,25-233,1996,23.6,18.5,23.6,78.4,264.8,40.3,11,12.8,85.5,5.47,6.65,82.2,0.93,1.36,68.8,0.08,0.09,0,0.97,0.68,0.89,0.04,1.31,Matches
314,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-240,1999,25.7,16.5,25,65.8,273,56.7,8.95,11.6,77.4,5.06,7.43,68.1,1.87,3.81,49,0.23,0.12,0.11,1.21,0.82,0.86,0.19,1.56,Matches
315,James McArthur,,sct SCO,MF,Crystal Palace,34-179,1987,12.9,46.3,55.2,83.8,857.7,188.4,19.2,21.3,90.2,19.8,21.9,90.5,5.81,9.07,64.1,0.16,0.07,0.09,0.85,4.11,1.09,0.39,4.26,Matches
316,James Mcatee,,eng ENG,MFFW,Manchester City,19-168,2002,0.2,45,65,69.2,725,25,20,30,66.7,25,30,83.3,0,5,0,0,0,0,0,0,0,0,0,Matches
317,Kasey McAteer,,eng ENG,FW,Leicester City,20-133,2001,0,1,1,100,8,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
318,Liam McCarron,,sct SCO,FW,Leeds United,21-028,2001,0.1,20,20,100,530,0,0,0,,10,10,100,10,10,100,0,0,0,0,0,0,0,0,Matches
