,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
319,Alex McCarthy,,eng ENG,GK,Southampton,32-122,1989,15,18.3,30,60.9,562.7,361.8,3.07,3.07,100,8.73,8.87,98.5,6.33,17.9,35.4,0,0,0,0.07,0.47,0,0,0,Matches
320,John McGinn,,sct SCO,MF,Aston Villa,27-168,1994,26.3,29.7,39.6,75,682.4,266.9,10,11.8,84.6,12.7,15.4,82.7,6.81,11.7,58.3,0.08,0.14,-0.06,1.6,5.17,1.52,0.46,5.02,Matches
321,Stuart McKinstry,,sct SCO,MF,Leeds United,19-198,2002,0,3,4,75,31,2,1,1,100,1,1,100,0,1,0,0,0,0,0,0,0,0,0,Matches
322,Kenny McLean,,sct SCO,MF,Norwich City,30-086,1992,27.3,25,34.2,73.1,458.3,139.2,11.5,13.9,83.1,9.82,12.6,78.1,3.22,6.04,53.3,0,0.02,-0.02,0.22,2.34,0.66,0.04,2.67,Matches
323,Dwight McNeil,,eng ENG,MF,Burnley,22-133,1999,26.5,22,32.3,68.1,428.5,121.6,9.36,11,84.9,8.38,10.4,80.4,3.66,8.45,43.3,0.04,0.11,-0.08,1.25,1.58,1.25,0.72,1.74,Matches
324,Scott McTominay,,sct SCO,MF,Manchester Utd,25-117,1996,21.5,39.4,46.3,85.1,748.6,193.4,16,18.5,86.6,17.4,19.7,88.4,5.26,6.47,81.3,0.05,0.07,-0.02,0.74,4.09,0.42,0.05,3.86,Matches
325,Ben Mee,,eng ENG,DF,Burnley,32-193,1989,20.4,26.4,36,73.4,654.4,248.3,6.86,7.84,87.5,12,14.5,83.1,7.25,12.7,57.1,0,0,0,0.1,2.65,0.15,0.05,2.3,Matches
326,Benjamin Mendy,,fr FRA,DF,Manchester City,27-261,1994,0.9,81.1,96.7,83.9,1505.6,502.2,28.9,33.3,86.7,42.2,42.2,100,8.89,15.6,57.1,0,0.33,-0.33,2.22,6.67,1.11,1.11,8.89,Matches
327,Edouard Mendy,,sn SEN,GK,Chelsea,30-034,1992,25,22.8,28.2,80.7,546.4,304.3,6.72,6.8,98.8,9.84,10.1,97.6,5.72,10.8,53,0,0,0,0,0.04,0,0,0,Matches
328,Nampalys Mendy,,sn SEN,MF,Leicester City,29-285,1992,2.8,47.1,49.3,95.7,823.9,157.9,21.1,22.1,95.2,20.4,20.7,98.3,4.29,4.29,100,0,0,0,0.36,3.21,0,0,2.14,Matches
329,Illan Meslier,,fr FRA,GK,Leeds United,22-033,2000,30.6,27.7,36.6,75.7,681.6,322.2,6.18,6.21,99.5,14.3,14.5,98.9,7.06,15.7,44.9,0,0,0,0,0,0,0,0,Matches
330,Luka Milivojevi?,,rs SRB,MF,Crystal Palace,30-362,1991,7.2,46.8,59,79.3,904,243.2,16.7,19.3,86.3,21.8,25.8,84.4,6.81,11.3,60.5,0,0.08,-0.08,0.97,3.33,0.83,0.28,4.44,Matches
331,James Milner,,eng ENG,MFDF,Liverpool,36-090,1986,7.1,61.5,75.8,81.2,1229.3,390.1,22.5,26.1,86.5,28.5,32.4,87.8,9.58,14.9,64.2,0.14,0.2,-0.06,1.41,7.89,1.83,0.28,7.18,Matches
332,Yerry Mina,,co COL,DF,Everton,27-193,1994,7.2,32.1,39.2,81.9,705.3,196.8,9.44,10.8,87.2,14.6,17.2,84.7,6.81,9.03,75.4,0,0,0,0,1.94,0,0,1.39,Matches
333,Takumi Minamino,,jp JPN,FWMF,Liverpool,27-078,1995,1.1,31.8,37.3,85.4,466.4,77.3,18.2,22.7,80,11.8,12.7,92.9,0.91,0.91,100,0,0.36,-0.36,0.91,2.73,0,0,1.82,Matches
334,Tyrone Mings,,eng ENG,DF,Aston Villa,29-022,1993,27.4,37.6,46.5,80.8,824.9,294.2,10,11.7,85.4,20.9,23,91.1,6.39,11.1,57.8,0.11,0.04,0.07,0.29,2.37,0.22,0.04,2.37,Matches
335,Tyrick Mitchell,,eng ENG,DF,Crystal Palace,22-215,1999,28.9,39.8,54.4,73,676,327.6,18.4,20.9,88.1,17.5,22.8,76.7,3.04,7.96,38.3,0.07,0.04,0.03,0.59,2.84,1.14,0.48,3.88,Matches
336,Jakub Moder,,pl POL,MFFW,Brighton,22-362,1999,18.9,31.2,42.6,73.2,504.1,147.2,16,19.4,82.8,11.8,15.8,74.6,2.49,4.34,57.3,0.16,0.09,0.07,0.74,2.75,1.01,0.16,3.54,Matches
337,Wesley Moraes,,br BRA,FW,Aston Villa,25-129,1996,0,2,2,100,19,10,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,1,Matches
338,Tyler Morton,,eng ENG,MF,Liverpool,19-155,2002,0.7,45.7,52.9,86.5,837.1,174.3,20,21.4,93.3,20,21.4,93.3,5.71,8.57,66.7,0,0,0,0,11.4,0,0,4.29,Matches
339,Mason Mount,,eng ENG,MFFW,Chelsea,23-084,1999,19.5,35.8,46.5,77,548,172.7,20.2,22.6,89.1,11.2,13.9,80.1,2.82,6.46,43.7,0.36,0.25,0.11,2.05,2.21,1.9,0.36,4.31,Matches
340,Lucas Moura,,br BRA,FWMF,Tottenham,29-234,1992,17.3,29.6,39.1,75.7,449,124.2,16.8,19.5,86.4,10.6,13.9,76.3,1.39,3.29,42.1,0.29,0.21,0.08,1.56,2.77,1.5,0.17,4.16,Matches
341,Joao Moutinho,,pt POR,MF,Wolves,35-208,1986,26.1,49.9,58.8,84.9,1035.5,204.8,17,19,89.1,23,25.5,90.1,9.2,12.6,72.9,0.04,0.08,-0.05,1.26,4.18,0.57,0.11,3.98,Matches
342,Bali Mumba,,eng ENG,DF,Norwich City,20-178,2001,0.5,14,20,70,198,72,10,12,83.3,4,4,100,0,4,0,0,0,0,0,2,0,0,2,Matches
343,Jacob Murphy,,eng ENG,DFFW,Newcastle Utd,27-039,1995,13.9,22.8,36.2,63,402.3,145.6,10.8,13.8,78.1,8.92,12.5,71.3,2.52,6.62,38,0.07,0.12,-0.04,1.08,1.65,1.37,0.72,2.37,Matches
344,Enock Mwepu,,zm ZAM,MF,Brighton,24-093,1998,7.2,26.9,36.9,72.9,412.5,96.1,14.6,18.3,79.5,9.72,12.2,79.5,1.81,4.17,43.3,0.42,0.15,0.26,0.69,1.25,0.42,0,1.94,Matches
345,Vitaliy Mykolenko,,ua UKR,DF,Everton,22-310,1999,3,36.7,46.7,78.6,551.3,155,23,25.3,90.8,11.7,15.3,76.1,1.67,4.33,38.5,0,0.07,-0.07,0.33,2,0.33,0,2.33,Matches
346,Marvelous Nakamba,,zw ZIM,MF,Aston Villa,28-075,1994,8.4,32.1,37.3,86.3,541.8,149,15.2,17.3,88.3,14,15.6,90.1,2.38,3.57,66.7,0,0.01,-0.01,0.36,2.62,0.12,0,2.98,Matches
347,Wilfred Ndidi,,ng NGA,MFDF,Leicester City,25-109,1996,18,42.1,51.1,82.4,737.2,181.8,19.3,22.4,86.1,18.2,20.6,88.6,3.72,5.78,64.4,0,0,0,0,2.06,0.22,0,2.89,Matches
348,Tanguy Ndombele,,fr FRA,MF,Tottenham,25-097,1996,5.4,42.2,48.9,86.4,680,153.1,22.2,23.9,93,15,17.6,85.3,3.7,4.63,80,0.19,0.07,0.11,0.74,4.26,0.74,0,3.7,Matches
349,Reiss Nelson,,eng ENG,FW,Arsenal,22-115,1999,0.2,50,55,90.9,585,85,30,30,100,15,15,100,0,0,,0,0,0,5,5,0,0,5,Matches
350,Pedro Neto,,pt POR,MFFW,Wolves,22-026,2000,1.7,36.5,50,72.9,592.9,139.4,18.2,18.8,96.9,14.7,17.6,83.3,2.35,8.24,28.6,0,0.12,-0.12,2.35,0.59,1.76,0.59,3.53,Matches
351,Ruben Neves,,pt POR,MF,Wolves,25-022,1997,25.2,55,66.7,82.4,1334.3,276.1,11.8,13.9,84.9,28.2,31.6,89.2,14.6,19.7,74.2,0.08,0.07,0.01,0.67,6.71,0.99,0.12,4.76,Matches
352,Jeremy Ngakia,,eng ENG,DF,Watford,21-209,2000,7,31.4,43.1,72.8,586.1,278.1,12.6,14.9,84.6,14.6,18,81,3.86,8.71,44.3,0,0.04,-0.04,0.29,2.71,0.86,0.29,3,Matches
353,Saul Niguez,,es ESP,DFMF,Chelsea,27-134,1994,3.8,55.5,65.3,85.1,930.3,168.7,27.9,30.5,91.4,20,23.7,84.4,5.79,7.89,73.3,0,0.05,-0.05,0.53,1.84,0.26,0.26,0.79,Matches
354,Eddie Nketiah,,eng ENG,FWMF,Arsenal,22-309,1999,1.4,33.6,39.3,85.5,522.9,97.9,17.1,20,85.7,15,17.1,87.5,0.71,1.43,50,0.71,0.5,0.21,2.14,0.71,1.43,0,2.86,Matches
355,Nicolas Nkoulou,,cm CMR,DF,Watford,32-008,1990,1.9,24.2,27.9,86.8,572.6,85.3,5.26,5.79,90.9,12.6,14.2,88.9,5.79,7.37,78.6,0,0,0,0.53,1.05,0,0,0.53,Matches
356,Mark Noble,,eng ENG,MF,West Ham,34-331,1987,1.6,64.4,73.1,88,1200,320.6,23.8,25.6,92.7,33.8,35.6,94.7,6.88,11.9,57.9,0,0.13,-0.13,0.63,4.38,0,0,2.5,Matches
357,Mathias Normann,,no NOR,MF,Norwich City,25-311,1996,12.9,26.7,40.5,65.8,598.2,203.2,9.15,11.2,81.9,11.9,16.4,72.5,5.35,11.5,46.6,0.08,0.03,0.05,0.47,3.1,0.85,0.16,3.57,Matches
358,Christian Norgaard,,dk DEN,MF,Brentford,28-025,1994,29.2,37.8,47.9,78.9,687.6,207.3,16.3,19.7,82.8,16.2,19.3,84,4.38,6.88,63.7,0.07,0.08,-0.01,0.72,4.42,0.65,0.1,4.9,Matches
359,Angelo Ogbonna,,it ITA,DF,West Ham,33-316,1988,10.2,38.4,44.3,86.7,842,220,9.61,10.1,95.1,22.2,23.5,94.2,6.37,10.1,63.1,0,0,0,0,1.76,0,0,0.98,Matches
360,Michael Olise,,fr FRA,FWMF,Crystal Palace,20-113,2001,10.8,37.1,50,74.3,668.5,190.8,17.4,19.9,87.4,14.7,19.5,75.4,4.44,8.98,49.5,0.46,0.27,0.19,1.67,2.13,2.04,0.46,5.19,Matches
361,Andrew Omobamidele,,ie IRL,DF,Norwich City,19-285,2002,4.2,46.7,53.8,86.7,947.9,269.8,16.2,18.3,88.3,22.4,24.5,91.3,7.62,10,76.2,0,0,0,0,2.62,0,0,3.1,Matches
362,Tyler Onyango,,eng ENG,MFFW,Everton,19-031,2003,0.3,0,3.33,0,0,0,0,0,,0,3.33,0,0,0,,0,0,0,0,0,0,0,0,Matches
363,Frank Onyeka,,ng NGA,MF,Brentford,24-093,1998,11.6,22.5,28.3,79.6,384.4,80.6,10,12.2,82.3,9.74,11.2,86.9,2.24,3.45,65,0,0.02,-0.02,0.34,1.64,0.52,0,1.9,Matches
364,Divock Origi,,be BEL,FW,Liverpool,26-351,1995,0.8,20,25,80,210,42.5,15,20,75,2.5,2.5,100,0,0,,0,0,0,0,1.25,0,0,1.25,Matches
365,Alex Oxlade-Chamberlain,,eng ENG,MFFW,Liverpool,28-232,1993,8.7,36.6,46.3,78.9,729.2,169.4,14.4,17.1,83.9,14.9,17.5,85.5,6.32,9.2,68.8,0.11,0.1,0.01,1.03,4.6,1.84,0.34,5.17,Matches
366,Cole Palmer,,eng ENG,FWMF,Manchester City,19-333,2002,1.4,32.1,37.9,84.9,443.6,81.4,20.7,22.1,93.5,7.86,10,78.6,2.86,4.29,66.7,0,0.14,-0.14,1.43,1.43,2.86,0,3.57,Matches
367,Emerson Palmieri,,it ITA,DF,Chelsea,27-244,1994,0.1,10,20,50,80,0,10,10,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
368,Thomas Partey,,gh GHA,MF,Arsenal,28-295,1993,21.7,45.1,52.4,86.1,869.7,213.6,18.6,20.6,90.4,18.7,21,89,7.05,9.4,75,0.05,0.06,-0.01,0.83,5.02,0.6,0,5.3,Matches
369,Joao Pedro,,br BRA,FWMF,Watford,20-190,2001,12.2,20.6,30,68.6,345.3,102.1,11.1,15.2,73.5,6.48,9.1,71.2,2.21,3.85,57.4,0.08,0.18,-0.1,1.23,2.46,1.48,0.25,3.52,Matches
370,Nicolas Pepe,,ci CIV,FWMF,Arsenal,26-310,1995,6.7,36.3,45.8,79.2,550.6,138.5,21.3,24.6,86.7,11,13.6,81.3,2.39,5.37,44.4,0.15,0.24,-0.09,1.79,1.34,1.19,0.3,1.94,Matches
371,Ricardo Pereira,,pt POR,DF,Leicester City,28-180,1993,9.8,47.2,58.7,80.5,745.2,256.4,26.5,29.6,89.7,17.7,20.6,85.6,2.65,5.61,47.3,0.2,0.12,0.08,0.92,1.53,1.53,0.31,3.57,Matches
372,Ayoze Perez,,es ESP,FWMF,Leicester City,28-255,1993,2.4,24.2,30,80.6,363.8,107.5,14.6,17.1,85.4,6.67,9.17,72.7,2.08,2.5,83.3,0.83,0.29,0.54,2.5,2.5,0.83,0,4.58,Matches
373,Sonny Perkins,,eng ENG,FW,West Ham,18-053,2004,0,0,1,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,Matches
374,Romain Perraud,,fr FRA,DF,Southampton,24-194,1997,13.4,27.8,42.2,65.7,418,179.5,15.1,17.7,85.7,10.7,16.5,64.7,0.97,4.85,20,0.07,0.04,0.04,0.52,1.57,0.75,0.22,2.54,Matches
375,Kalvin Phillips,,eng ENG,MF,Leeds United,26-123,1995,11.4,46.4,56.5,82.1,1055.9,258,12.6,15.2,83.2,23.3,25.2,92.7,10,14.8,67.5,0.09,0.02,0.07,0.53,4.74,0.7,0.18,3.77,Matches
376,Jaden Philogene Bidace,,eng ENG,FW,Aston Villa,19-321,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
377,Jordan Pickford,,eng ENG,GK,Everton,28-028,1994,26,17.7,32.4,54.5,694.2,487.1,2.15,2.15,100,6.12,6.23,98.1,9.31,23.9,38.9,0,0,0,0.12,1.08,0,0,0,Matches
378,Erik Pieters,,nl NED,DF,Burnley,33-240,1988,7.9,30,42.8,70.1,502.9,205.8,15.1,18.5,81.5,11.9,15.2,78.3,2.41,6.96,34.5,0,0,0,0,2.15,0.13,0,2.41,Matches
379,Ethan Pinnock,,jm JAM,DF,Brentford,28-310,1993,28.7,39,51.6,75.7,787.3,298.4,13.1,15.3,85.9,19.5,24.8,78.8,5.92,10.3,57.2,0.03,0.04,-0.01,0.35,2.33,0.24,0.1,1.99,Matches
380,Daniel Podence,,pt POR,FWMF,Wolves,26-165,1995,16.3,28,38.3,73.1,465.8,144,14.7,18,81.9,8.96,12,74.5,3.19,5.46,58.4,0.18,0.23,-0.05,2.09,1.96,2.09,0.55,4.6,Matches
381,Paul Pogba,,fr FRA,MFFW,Manchester Utd,29-020,1993,13.5,46.7,56.2,83,952.5,247.5,19.4,22.4,86.8,17.1,19.5,87.8,8.74,11,79.2,0.67,0.26,0.41,1.78,6.89,1.63,0.37,6.22,Matches
382,Nick Pope,,eng ENG,GK,Burnley,29-350,1992,26,14.3,29.3,48.6,688.1,573.7,0.73,0.81,90.5,2.88,3,96.2,10.6,25.4,41.8,0,0.01,-0.01,0.12,1.38,0.04,0,0,Matches
383,Teemu Pukki,,fi FIN,FW,Norwich City,32-006,1990,28.2,10.6,14.4,73.2,164.1,22.8,5.99,7.55,79.3,3.72,4.86,76.6,0.67,0.92,73.1,0.07,0.06,0.01,0.6,0.5,0.18,0.04,0.71,Matches
384,Christian Pulisic,,us USA,MFFW,Chelsea,23-198,1998,10.5,25.8,32.6,79.2,377.8,72.9,16.5,19,86.9,8,10,80,0.95,1.52,62.5,0.1,0.07,0.03,0.95,0.95,0.57,0,1.62,Matches
385,Przemyslaw Placheta,,pl POL,FWMF,Norwich City,24-012,1998,4.9,19.2,28.8,66.7,334.5,97.8,10,12.2,81.7,5.92,8.37,70.7,2.45,4.9,50,0,0.06,-0.06,0.41,1.02,0.82,0.41,1.84,Matches
386,Jesuran Rak Sakyi,,eng ENG,MF,Crystal Palace,19-181,2002,0.2,50,60,83.3,680,125,30,30,100,10,15,66.7,5,5,100,0,0,0,0,0,0,0,0,Matches
387,Aaron Ramsdale,,eng ENG,GK,Arsenal,23-325,1998,24,23.7,35.1,67.5,697.8,428.8,5.46,5.54,98.5,10.3,10.4,98.4,7.92,19,41.6,0,0,0,0,0.96,0,0,0,Matches
388,Jacob Ramsey,,eng ENG,MF,Aston Villa,20-311,2001,22.4,31.4,36.7,85.5,551.7,139.8,14.6,16.3,89.3,12.6,14.2,88.7,3.53,4.46,79,0.04,0.08,-0.04,0.71,3.21,0.85,0.09,3.39,Matches
389,Marcus Rashford,,eng ENG,FWMF,Manchester Utd,24-155,1997,10.8,21.9,31.9,68.9,318.4,64.7,13.4,17.8,75.5,6.57,9.07,72.4,1.2,2.78,43.3,0.19,0.19,0,0.83,1.2,1.02,0.28,2.04,Matches
390,Milot Rashica,,xk KVX,FWMF,Norwich City,25-280,1996,18.9,15.1,24.2,62.6,298.1,92.1,6.61,8.25,80.1,5.82,8.52,68.3,2.49,6.4,38.8,0.11,0.11,-0.01,1.53,1.16,0.95,0.42,1.64,Matches
391,David Raya,,es ESP,GK,Brentford,26-201,1995,17,28.2,44.6,63.3,1000,674.5,4.18,4.18,100,10.6,10.8,97.8,13.4,29.4,45.5,0,0,0,0,1.53,0.06,0,0.06,Matches
392,Nathan Redmond,,eng ENG,MFFW,Southampton,28-029,1994,15.1,24.7,35.2,70.2,414.2,129.9,12.6,15.3,82.3,8.87,12.7,69.8,2.25,5.36,42,0.33,0.24,0.09,1.85,1.59,2.38,0.79,3.97,Matches
393,Sergio Reguilon,,es ESP,DF,Tottenham,25-109,1996,19.5,35.8,47.3,75.7,630.2,200.3,17.2,20.3,85.1,14.8,18.7,78.9,3.38,6.41,52.8,0.15,0.21,-0.05,1.54,1.59,1.38,1.03,2.46,Matches
394,Declan Rice,,eng ENG,MF,West Ham,23-080,1999,29,53.2,59.1,90.1,1070.9,253,20,21.6,93,24,26,92.3,8.62,10.4,82.5,0.14,0.06,0.08,0.72,6.66,0.9,0.28,4.21,Matches
395,Taylor Richards,,eng ENG,MFFW,Brighton,21-121,2000,0.3,76.7,90,85.2,1436.7,370,23.3,26.7,87.5,40,46.7,85.7,10,10,100,0,0,0,0,6.67,0,0,6.67,Matches
396,Richarlison,,br BRA,FWMF,Everton,24-329,1997,19.2,12.3,18.6,66.4,184.4,40.5,6.09,8.02,76,4.74,6.25,75.8,0.68,1.41,48.1,0.21,0.1,0.11,0.89,0.73,0.57,0.05,1.25,Matches
397,Jairo Riedewald,,nl NED,MF,Crystal Palace,25-207,1996,1.3,34.6,41.5,83.3,707.7,166.9,10,12.3,81.3,20,20.8,96.3,4.62,6.92,66.7,0,0.08,-0.08,1.54,2.31,0,0,3.08,Matches
398,Matt Ritchie,,sct SCO,DF,Newcastle Utd,32-206,1989,14.6,33.7,46.5,72.5,685.1,350.4,15.1,16.8,89.4,11.6,14.4,81,6.58,14.1,46.6,0.14,0.11,0.03,1.99,2.6,1.03,0.48,3.22,Matches
399,Connor Roberts,,wls WAL,DF,Burnley,26-193,1995,11.2,25.8,41.3,62.4,484.6,227.2,11.4,13.3,85.9,10.8,16.4,65.8,3.48,10.4,33.6,0.09,0.03,0.06,0.54,2.14,0.89,0.36,3.04,Matches
400,Tyler Roberts,,wls WAL,MFFW,Leeds United,23-082,1999,11,20.2,27.4,73.8,320.8,75.5,10.8,13.2,82.1,6.09,8.18,74.4,2,3.45,57.9,0.09,0.11,-0.02,1.36,1.64,1.09,0.27,2.18,Matches
401,Andrew Robertson,,sct SCO,DF,Liverpool,28-024,1994,22.5,65,81.2,80.1,1169.7,425.4,30,33,90.8,28.4,33.5,84.7,6.27,12.4,50.7,0.44,0.22,0.23,2.18,4.89,1.78,0.49,6.84,Matches
402,Joe Rodon,,wls WAL,DF,Tottenham,24-164,1997,0.9,18.9,20,94.4,411.1,131.1,4.44,4.44,100,11.1,12.2,90.9,3.33,3.33,100,0,0,0,0,1.11,0,0,0,Matches
403,Rodri,,es ESP,MF,Manchester City,25-286,1996,24.4,81.4,88.1,92.4,1688.9,328.6,27.9,29.6,94.2,39.2,41.6,94.4,13.9,15.8,87.6,0.04,0.05,-0.01,0.86,8.03,1.19,0.04,6.02,Matches
404,Rodrigo,,es ESP,MFFW,Leeds United,31-029,1991,19.1,27.4,36.3,75.5,481.8,129.6,14,17.6,79.8,9.06,11.3,80.5,3.46,5.08,68,0.05,0.21,-0.16,1.83,3.19,1.62,0.42,3.61,Matches
405,Jay Rodriguez,,eng ENG,FW,Burnley,32-249,1989,10.7,13,19.3,67.1,174,44.6,8.79,11.5,76.4,2.9,5.42,53.4,0.56,1.12,50,0.19,0.17,0.02,0.84,1.31,0,0,1.03,Matches
406,Mads Roerslev,,dk DEN,DF,Brentford,22-284,1999,11.5,15,23.2,64.4,269.7,87.8,6.09,7.74,78.7,6.78,9.74,69.6,1.74,4.17,41.7,0.09,0.05,0.03,0.43,0.87,0.52,0.43,2.26,Matches
407,Cristian Romero,,ar ARG,DF,Tottenham,23-342,1998,15.5,55.5,63,88.1,1107.9,360.3,19.9,21.5,92.5,26.9,28.8,93.3,8.13,11.2,72.8,0,0.02,-0.02,0.32,2.9,0.32,0,2.65,Matches
408,Oriol Romeu,,es ESP,MF,Southampton,30-192,1991,26.4,46.4,55,84.4,896.1,205.7,19.8,22.6,87.6,19.3,22.3,86.7,6.55,8.6,76.2,0.04,0.09,-0.05,1.06,4.2,0.76,0.08,4.09,Matches
409,Cristiano Ronaldo,,pt POR,FW,Manchester Utd,37-058,1985,21.3,24.8,30.5,81.4,342,53.3,15.7,18.3,85.9,7.09,8.64,82.1,0.89,1.13,79.2,0.14,0.13,0.01,0.89,1.36,0.66,0,1.88,Matches
410,Salomon Rondon,,ve VEN,FW,Everton,32-200,1989,7.9,14.6,21.4,68,185.9,29.2,8.99,11.9,75.5,3.04,5.32,57.1,0.63,1.14,55.6,0,0.08,-0.08,0.76,0.89,0.13,0,0.38,Matches
411,Danny Rose,,eng ENG,DF,Watford,31-276,1990,7.7,28.7,43,66.8,602.1,345.6,10.5,11.8,89,12.6,17.1,73.5,5.06,11.4,44.3,0,0.1,-0.1,0.65,3.12,0.91,0.13,4.16,Matches
412,Jon Rowe,,eng ENG,FWMF,Norwich City,18-339,2003,1.5,19.3,28.7,67.4,223.3,54,13.3,16,83.3,4,6.67,60,0,1.33,0,0.67,0.13,0.53,1.33,0.67,0,0,0.67,Matches
413,Antonio Rudiger,,de GER,DF,Chelsea,29-032,1993,27,61.9,70.5,87.9,1332.4,411.7,18.5,19.7,94.2,32.7,35.1,93.2,10.3,14.7,70,0,0.04,-0.04,0.41,6.22,0.93,0.15,4.85,Matches
414,Lukas Rupp,,de GER,MF,Norwich City,31-086,1991,6.5,42.6,50.5,84.5,737.7,162.3,20.3,21.7,93.6,16.5,18.8,87.7,4.46,6.92,64.4,0,0.18,-0.18,1.23,2.31,0.62,0.15,3.38,Matches
415,Jose Sa,,pt POR,GK,Wolves,29-077,1993,31,19.7,29.3,67.4,582.8,327.6,3.74,3.74,100,8.13,8.26,98.4,7.65,17,44.9,0.03,0.03,0,0.13,0.39,0.06,0,0.03,Matches
416,Allan Saint-Maximin,,fr FRA,FWMF,Newcastle Utd,25-023,1997,23.7,17.6,24.7,71.3,290,69.2,9.11,11.4,80,6.37,8.44,75.5,1.56,2.87,54.4,0.13,0.19,-0.06,1.73,1.39,1.1,0.25,1.9,Matches
417,Romain Saiss,,ma MAR,DF,Wolves,32-009,1990,27.4,46.6,56.6,82.4,988.5,461.8,13.8,15.2,90.6,25.1,28.4,88.7,7.45,12.1,61.4,0,0.01,-0.01,0.18,5.04,0.04,0,3.94,Matches
418,Bukayo Saka,,eng ENG,FWMF,Arsenal,20-211,2001,23.7,27.4,36.8,74.5,413.5,99.1,15.9,18.9,84,8.73,11.2,78.1,1.77,3.8,46.7,0.21,0.24,-0.03,1.94,0.97,1.14,0.3,2.24,Matches
419,Mohamed Salah,,eg EGY,FW,Liverpool,29-293,1992,25.9,28.2,36.1,78,396.8,112.3,18.2,20.5,88.5,8.19,10.8,75.7,1.12,2.28,49.2,0.39,0.33,0.06,1.93,1.12,1.85,0.19,3.98,Matches
420,Mohammed Salisu,,gh GHA,DF,Southampton,22-352,1999,27,43.4,55.7,77.9,859,350.2,15.1,17.7,85.5,22.6,26.4,85.4,5.26,10.6,49.8,0,0.02,-0.02,0.26,4.96,0.19,0.04,3.67,Matches
421,Albert Sambi Lokonga,,be BEL,MF,Arsenal,22-164,1999,10.1,53.2,59.6,89.2,967.8,220.8,23.4,25.3,92.2,21.9,23.7,92.5,6.73,9.11,73.9,0,0.06,-0.06,1.29,4.85,1.39,0.1,4.36,Matches
422,Davinson Sanchez,,co COL,DF,Tottenham,25-296,1996,14.8,50,56.4,88.7,1019.6,295.9,16,17,94.4,26.4,28,94,7.03,10.1,69.8,0,0.01,-0.01,0.14,3.78,0.41,0.07,2.91,Matches
423,Robert Sanchez,,es ESP,GK,Brighton,24-137,1997,29,30.2,41.9,72,861.9,439.4,4.9,4.93,99.3,15.5,15.9,97.6,9.76,21,46.5,0,0.01,-0.01,0.1,0.83,0.07,0,0.03,Matches
424,Jadon Sancho,,eng ENG,FWMF,Manchester Utd,22-010,2000,17.6,38.2,46.4,82.5,546.3,123.5,23.1,26.4,87.5,12.4,14.9,83.2,1.53,2.39,64.3,0.17,0.22,-0.05,1.99,1.31,1.7,0.28,3.35,Matches
