,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
265,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-332,2000,7.6,276,265,11,0,0,49,2,12,1,0,0,0,237,19,20,230,40,1,1,0,234,1,1,7,13,Matches
266,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-299,1991,17,405,394,11,1,2,87,5,7,0,0,0,0,300,67,38,40,336,11,1,6,309,3,5,28,10,Matches
267,Adam Lallana,,eng ENG,MF,Brighton,33-317,1988,16.8,922,910,12,11,1,160,10,8,0,0,0,0,717,118,87,229,645,28,1,6,807,0,18,27,18,Matches
268,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-174,2000,14.2,661,597,64,5,1,95,9,61,0,0,0,0,450,111,100,137,446,12,59,1,513,2,9,16,31,Matches
269,Manuel Lanzini,,ar ARG,MF,West Ham,29-036,1993,14.7,887,836,51,9,2,128,17,9,16,15,0,0,707,91,89,78,768,25,6,5,799,1,10,18,5,Matches
270,Aymeric Laporte,,es ESP,DF,Manchester City,27-300,1994,23.1,2115,2072,43,33,2,132,46,3,0,0,0,0,1822,113,180,1522,477,71,10,3,2017,0,12,15,2,Matches
271,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-132,1993,18.8,517,509,8,5,0,88,9,3,0,0,0,0,323,48,146,62,351,56,1,0,402,4,8,9,6,Matches
272,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-302,1993,17.8,729,714,15,10,1,137,35,23,1,1,0,0,432,132,165,113,571,32,2,2,572,1,10,36,20,Matches
273,Aaron Lennon,,eng ENG,MFFW,Burnley,34-341,1987,11.9,248,243,5,0,0,46,6,21,0,0,0,0,159,37,52,18,213,7,3,0,172,3,5,8,14,Matches
274,Bernd Leno,,de GER,GK,Arsenal,30-019,1992,4,111,68,43,6,0,10,0,0,0,0,0,0,47,4,60,8,89,0,0,13,72,1,5,1,0,Matches
275,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-057,1998,2.9,103,80,23,1,0,14,0,3,0,0,0,0,56,23,24,64,10,6,22,0,81,0,4,4,2,Matches
276,Victor Lindelof,,se SWE,DF,Manchester Utd,27-249,1994,18.2,920,897,23,20,3,112,30,0,0,0,0,0,722,87,111,114,731,47,3,5,818,2,6,13,11,Matches
277,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-098,1992,2.3,84,82,2,0,0,8,1,8,0,0,0,0,63,13,8,10,71,2,1,0,70,0,1,1,1,Matches
278,Valentino Livramento,,eng ENG,DF,Southampton,19-131,2002,22.2,1053,855,198,15,2,130,15,51,0,0,0,0,631,200,222,89,715,49,183,2,812,0,30,41,35,Matches
279,Diego Llorente,,es ESP,DF,Leeds United,28-219,1993,19,1036,1004,32,26,2,135,33,2,0,0,0,0,757,104,175,240,722,46,6,6,858,2,24,31,18,Matches
280,Hugo Lloris,,fr FRA,GK,Tottenham,35-087,1986,29,715,464,251,41,1,41,12,0,0,0,0,0,402,30,283,445,111,0,0,111,564,2,8,8,1,Matches
281,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-348,1996,2.6,148,135,13,3,1,25,5,1,10,2,4,1,113,19,16,124,21,1,0,2,117,0,0,10,8,Matches
282,Jurgen Locadia,,nl NED,FW,Brighton,28-136,1993,0.3,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,1,Matches
283,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-059,1996,8.7,495,487,8,5,2,77,6,4,0,0,0,0,411,47,37,30,425,18,2,1,436,0,3,17,5,Matches
284,Shane Long,,ie IRL,FWMF,Southampton,35-060,1987,1.6,39,39,0,0,0,20,1,2,0,0,0,0,19,11,9,5,17,3,0,1,22,0,1,2,2,Matches
285,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-144,1997,12.2,465,441,24,16,0,95,14,2,1,1,0,0,326,56,83,81,341,26,1,5,369,2,7,12,8,Matches
286,Ademola Lookman,,eng ENG,FWMF,Leicester City,24-154,1997,12.7,420,408,12,4,1,102,3,19,1,0,0,0,355,37,28,93,318,6,2,0,324,4,5,20,21,Matches
287,Jonas Lossl,,dk DEN,GK,Brentford,33-050,1989,2,62,46,16,3,0,5,2,0,0,0,0,0,29,4,29,0,55,0,0,6,44,0,0,1,0,Matches
288,Imran Louza,,ma MAR,MF,Watford,22-326,1999,11.1,507,455,52,26,1,57,24,12,18,10,5,2,305,62,140,372,86,39,5,2,394,0,10,12,10,Matches
289,Matthew Lowton,,eng ENG,DF,Burnley,32-287,1989,16.8,743,572,171,15,2,79,21,31,0,0,0,0,303,176,264,49,483,40,156,3,510,4,17,25,35,Matches
290,Douglas Luiz,,br BRA,MF,Aston Villa,23-318,1998,22.9,1059,929,130,81,3,140,35,18,42,26,9,1,743,118,198,100,873,49,7,5,873,3,21,26,10,Matches
291,Romelu Lukaku,,be BEL,FW,Chelsea,28-314,1993,13.5,235,217,18,0,5,89,1,6,0,0,0,0,163,40,32,136,57,10,0,9,169,1,0,22,10,Matches
292,Lyanco,,br BRA,DF,Southampton,25-050,1997,6.1,228,220,8,6,0,34,4,3,0,0,0,0,136,22,70,13,194,12,0,3,160,1,4,7,5,Matches
293,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-089,1998,14.9,734,667,67,25,2,115,37,17,40,22,12,2,527,80,127,81,611,17,2,6,588,1,11,26,20,Matches
294,James Maddison,,eng ENG,MFFW,Leicester City,25-120,1996,19.1,705,604,101,34,7,139,28,26,53,24,16,2,487,73,145,70,612,12,3,3,526,2,13,31,14,Matches
295,Harry Maguire,,eng ENG,DF,Manchester Utd,29-018,1993,22.7,1201,1161,40,39,0,162,52,0,0,0,0,0,862,106,233,175,905,69,1,5,1041,5,25,13,8,Matches
296,Riyad Mahrez,,dz ALG,FW,Manchester City,31-030,1991,13.5,757,681,76,8,3,95,29,41,54,24,2,10,576,61,120,671,48,15,14,1,627,4,8,20,17,Matches
297,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-206,1997,3,136,131,5,4,0,22,2,1,0,0,0,0,99,10,27,18,104,9,1,0,105,0,4,9,2,Matches
298,Sadio Mane,,sn SEN,FW,Liverpool,29-347,1992,24.7,831,822,9,2,3,170,15,43,0,0,0,0,631,112,88,204,586,14,7,7,622,6,20,65,41,Matches
299,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-322,1994,13.3,381,286,95,0,0,48,2,9,0,0,0,0,189,102,90,26,229,22,95,3,276,1,10,21,12,Matches
300,Fernando Marcal,,br BRA,DF,Wolves,33-032,1989,14.2,755,629,126,6,1,102,18,50,3,1,1,0,450,164,141,545,54,26,117,2,588,7,13,32,20,Matches
301,Solly March,,eng ENG,DFFW,Brighton,27-246,1994,13.8,567,498,69,13,0,103,34,44,24,5,13,1,371,71,125,460,44,20,31,2,415,0,9,22,28,Matches
302,Pablo Mari,,es ESP,DF,Arsenal,28-204,1993,2,86,85,1,1,0,8,3,0,0,0,0,0,64,7,15,60,13,11,0,0,78,0,1,1,1,Matches
303,Anthony Martial,,fr FRA,FW,Manchester Utd,26-108,1995,2.4,85,84,1,0,1,16,1,5,0,0,0,0,70,8,7,7,74,0,0,2,66,0,0,6,4,Matches
304,Martinelli,,br BRA,FWMF,Arsenal,20-278,2001,13.8,371,339,32,1,0,68,17,27,25,24,0,0,250,56,65,38,305,12,3,0,260,1,8,16,21,Matches
305,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-202,1992,28,870,563,307,84,0,60,28,0,0,0,0,0,460,27,383,103,600,0,0,110,632,4,30,7,2,Matches
306,Adam Masina,,ma MAR,DF,Watford,28-080,1994,9.6,421,327,94,7,0,49,18,17,5,3,2,0,167,87,167,249,52,25,82,1,283,1,12,13,9,Matches
307,Arthur Masuaku,,cd COD,DFFW,West Ham,28-136,1993,6.2,337,298,39,4,0,44,5,18,0,0,0,0,230,55,52,268,11,15,35,1,262,2,10,12,9,Matches
308,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-268,1997,7.2,135,124,11,0,0,38,0,3,0,0,0,0,87,23,25,28,72,16,0,1,99,2,1,7,8,Matches
309,Nemanja Matic,,rs SRB,MF,Manchester Utd,33-234,1988,10.2,674,651,23,18,2,106,21,1,0,0,0,0,523,73,78,533,91,25,5,2,585,2,4,24,12,Matches
310,Joel Matip,,cm CMR,DF,Liverpool,30-227,1991,23,1640,1599,41,29,1,167,29,0,0,0,0,0,1265,159,216,194,1279,99,12,10,1478,3,11,24,13,Matches
311,Neal Maupay,,fr FRA,FW,Brighton,25-221,1996,22.7,530,480,50,1,1,149,6,3,1,0,0,0,408,72,50,71,410,16,6,13,416,3,6,28,28,Matches
312,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-228,1999,24.8,624,577,47,18,1,130,26,39,18,12,3,2,356,119,149,475,86,30,6,10,404,2,16,40,37,Matches
313,James McArthur,,sct SCO,MF,Crystal Palace,34-167,1987,12.9,712,672,40,19,1,124,10,12,1,0,1,0,525,80,107,163,503,15,8,7,597,0,9,23,18,Matches
314,James Mcatee,,eng ENG,MFFW,Manchester City,19-156,2002,0.2,13,13,0,0,0,4,0,0,0,0,0,0,10,3,0,10,2,0,0,0,9,0,0,0,0,Matches
315,Kasey McAteer,,eng ENG,FW,Leicester City,20-121,2001,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Matches
316,Liam McCarron,,sct SCO,FW,Leeds United,21-016,2001,0.1,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,Matches
317,Alex McCarthy,,eng ENG,GK,Southampton,32-110,1989,15,450,305,145,36,0,23,8,0,0,0,0,0,196,12,242,46,318,0,0,61,274,0,21,5,1,Matches
318,John McGinn,,sct SCO,MF,Aston Villa,27-156,1994,25.3,994,891,103,53,7,140,79,46,43,31,7,2,620,95,279,786,142,45,5,1,742,5,23,46,17,Matches
319,Stuart McKinstry,,sct SCO,MF,Leeds United,19-186,2002,0,4,4,0,0,0,2,0,0,0,0,0,0,3,0,1,0,4,0,0,0,3,0,0,0,0,Matches
320,Kenny McLean,,sct SCO,MF,Norwich City,30-074,1992,26.3,902,871,31,13,1,189,25,22,2,2,0,0,534,178,190,633,131,63,13,2,662,3,14,33,32,Matches
321,Dwight McNeil,,eng ENG,MF,Burnley,22-121,1999,26,845,774,71,29,4,191,66,87,36,30,1,0,535,79,231,780,31,17,5,2,576,5,17,29,53,Matches
322,Scott McTominay,,sct SCO,MF,Manchester Utd,25-105,1996,20.9,965,937,28,25,1,168,31,7,0,0,0,0,756,86,123,49,838,36,1,2,823,4,9,26,15,Matches
323,Ben Mee,,eng ENG,DF,Burnley,32-181,1989,20.4,734,707,27,23,0,122,40,3,0,0,0,0,363,80,291,515,94,73,4,3,539,3,19,13,14,Matches
324,Benjamin Mendy,,fr FRA,DF,Manchester City,27-249,1994,0.9,87,75,12,4,0,1,3,4,0,0,0,0,61,16,10,74,2,3,8,0,73,0,0,1,6,Matches
325,Edouard Mendy,,sn SEN,GK,Chelsea,30-022,1992,24,681,520,161,34,0,76,17,0,0,0,0,0,458,32,191,57,512,1,0,92,550,0,13,7,2,Matches
326,Nampalys Mendy,,sn SEN,MF,Leicester City,29-273,1992,1.8,92,90,2,2,0,9,2,0,0,0,0,0,85,2,5,15,77,0,0,0,90,0,0,0,1,Matches
327,Illan Meslier,,fr FRA,GK,Leeds United,22-021,2000,29.6,1086,806,280,61,0,80,25,0,0,0,0,0,667,51,368,700,162,1,0,206,823,4,35,10,1,Matches
328,Luka Milivojevic,,rs SRB,MF,Crystal Palace,30-350,1991,7.2,425,381,44,21,0,42,21,14,22,9,8,0,285,46,94,56,324,29,1,4,337,1,2,14,10,Matches
329,James Milner,,eng ENG,MFDF,Liverpool,36-078,1986,7.1,533,488,45,13,0,61,14,16,8,0,6,0,371,83,79,47,434,19,24,2,432,2,7,17,15,Matches
330,Yerry Mina,,co COL,DF,Everton,27-181,1994,7.2,282,277,5,3,0,53,11,2,0,0,0,0,201,38,43,46,194,26,2,1,231,1,5,5,7,Matches
331,Takumi Minamino,,jp JPN,FWMF,Liverpool,27-066,1995,1.1,41,41,0,0,1,9,0,0,0,0,0,0,36,3,2,8,30,0,0,1,35,1,0,1,1,Matches
332,Tyrone Mings,,eng ENG,DF,Aston Villa,29-010,1993,26.4,1202,1145,57,40,2,116,25,3,0,0,0,0,823,110,269,873,192,80,15,2,969,3,30,26,13,Matches
333,Tyrick Mitchell,,eng ENG,DF,Crystal Palace,22-203,1999,28.9,1573,1238,335,26,1,184,9,47,2,2,0,0,828,309,436,1066,118,70,307,1,1148,8,37,66,54,Matches
334,Jakub Moder,,pl POL,MFFW,Brighton,22-350,1999,18.8,806,777,29,10,0,131,10,28,8,4,3,0,603,98,105,182,567,28,7,3,590,2,12,30,37,Matches
335,Wesley Moraes,,br BRA,FW,Aston Villa,25-117,1996,0,2,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,Matches
336,Tyler Morton,,eng ENG,MF,Liverpool,19-143,2002,0.7,37,37,0,0,0,7,3,0,0,0,0,0,25,3,9,0,32,2,0,0,32,0,0,1,1,Matches
337,Mason Mount,,eng ENG,MFFW,Chelsea,23-072,1999,18.5,861,776,85,12,3,147,25,50,67,26,32,2,630,87,144,78,752,19,3,3,667,4,9,30,33,Matches
338,Lucas Moura,,br BRA,FWMF,Tottenham,29-222,1992,17.1,669,655,14,5,5,138,3,19,1,0,0,0,497,79,93,77,527,21,5,6,505,8,5,39,21,Matches
339,Joao Moutinho,,pt POR,MF,Wolves,35-196,1986,25.1,1475,1340,135,72,2,255,79,22,56,10,30,3,999,185,291,96,1289,71,4,5,1251,2,16,27,25,Matches
340,Bali Mumba,,eng ENG,DF,Norwich City,20-166,2001,0.5,10,10,0,0,0,3,0,0,0,0,0,0,7,1,2,4,5,1,0,0,7,1,0,0,0,Matches
341,Jacob Murphy,,eng ENG,DFFW,Newcastle Utd,27-027,1995,13.5,495,413,82,9,0,69,11,43,2,2,0,0,239,149,107,74,314,27,71,1,312,1,14,31,37,Matches
342,Enock Mwepu,,zm ZAM,MF,Brighton,24-081,1998,7.1,263,261,2,1,1,51,5,4,0,0,0,0,182,41,40,30,208,17,1,2,193,0,5,14,6,Matches
343,Vitaliy Mykolenko,,ua UKR,DF,Everton,22-298,1999,2,94,77,17,3,1,15,1,5,0,0,0,0,59,17,18,73,4,2,14,0,75,0,4,1,2,Matches
344,Marvelous Nakamba,,zw ZIM,MF,Aston Villa,28-063,1994,8.4,313,305,8,7,0,40,2,1,0,0,0,0,256,21,36,253,36,17,0,1,270,1,2,11,4,Matches
345,Wilfred Ndidi,,ng NGA,MFDF,Leicester City,25-097,1996,18,918,896,22,20,0,164,18,2,0,0,0,0,681,101,136,101,726,52,2,3,757,2,16,24,20,Matches
346,Tanguy Ndombele,,fr FRA,MF,Tottenham,25-085,1996,5.4,264,256,8,2,0,34,2,2,0,0,0,0,241,14,9,20,238,3,0,1,228,0,1,12,7,Matches
347,Reiss Nelson,,eng ENG,FW,Arsenal,22-103,1999,0.2,11,11,0,0,0,0,0,0,0,0,0,0,9,1,1,2,8,1,0,0,10,0,0,0,1,Matches
348,Pedro Neto,,pt POR,MFFW,Wolves,22-014,2000,1.5,75,67,8,3,0,14,5,4,5,3,1,0,55,5,15,66,6,3,0,0,57,0,0,4,1,Matches
349,Ruben Neves,,pt POR,MF,Wolves,25-010,1997,25.2,1680,1617,63,53,6,283,105,19,6,0,3,0,1204,165,311,141,1477,34,4,5,1385,11,34,55,27,Matches
350,Jeremy Ngakia,,eng ENG,DF,Watford,21-197,2000,7,302,229,73,8,0,49,3,10,3,0,3,0,133,75,94,15,193,18,62,0,220,1,10,6,11,Matches
351,Saul Niguez,,es ESP,DFMF,Chelsea,27-122,1994,3.8,248,224,24,8,0,17,3,5,0,0,0,0,168,46,34,173,43,13,16,0,211,0,4,9,7,Matches
352,Eddie Nketiah,,eng ENG,FWMF,Arsenal,22-297,1999,1.4,55,54,1,0,0,4,0,2,0,0,0,0,44,6,5,7,45,3,0,0,47,0,2,2,0,Matches
353,Nicolas Nkoulou,,cm CMR,DF,Watford,31-361,1990,1.9,53,52,1,1,0,0,2,0,0,0,0,0,37,6,10,4,46,2,0,1,46,0,0,1,0,Matches
354,Mark Noble,,eng ENG,MF,West Ham,34-319,1987,1.4,90,85,5,3,0,10,1,0,0,0,0,0,67,7,16,4,82,4,0,0,77,0,3,0,1,Matches
355,Mathias Normann,,no NOR,MF,Norwich City,25-299,1996,11.9,493,458,35,15,2,79,36,9,13,9,3,1,248,73,172,50,387,31,7,2,323,2,15,30,15,Matches
356,Christian Norgaard,,dk DEN,MF,Brentford,28-013,1994,28.2,1376,1294,82,38,2,238,21,10,0,0,0,0,916,189,271,196,1022,108,4,7,1088,2,22,61,23,Matches
357,Angelo Ogbonna,,it ITA,DF,West Ham,33-304,1988,10.2,452,447,5,3,0,41,1,0,0,0,0,0,353,22,77,264,156,19,1,1,392,2,5,2,3,Matches
358,Michael Olise,,fr FRA,FWMF,Crystal Palace,20-101,2001,10.8,540,484,56,26,3,80,27,40,22,14,5,0,354,59,127,441,74,7,8,4,401,6,14,15,14,Matches
359,Andrew Omobamidele,,ie IRL,DF,Norwich City,19-273,2002,4.2,226,210,16,8,0,27,7,0,0,0,0,0,174,14,38,19,177,19,8,1,196,0,2,1,3,Matches
360,Tyler Onyango,,eng ENG,MFFW,Everton,19-019,2003,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Matches
361,Frank Onyeka,,ng NGA,MF,Brentford,24-081,1998,11.6,328,319,9,1,0,62,6,7,0,0,0,0,228,46,54,31,249,24,7,2,261,0,6,13,9,Matches
362,Divock Origi,,be BEL,FW,Liverpool,26-339,1995,0.8,20,20,0,0,0,5,0,0,0,0,0,0,18,2,0,1,19,0,0,0,16,0,0,2,0,Matches
363,Alex Oxlade-Chamberlain,,eng ENG,MFFW,Liverpool,28-220,1993,8.7,402,392,10,3,0,63,9,22,2,1,0,1,294,43,65,35,349,12,1,2,318,1,6,8,18,Matches
364,Cole Palmer,,eng ENG,FWMF,Manchester City,19-321,2002,1.4,53,53,0,0,2,13,0,4,0,0,0,0,44,2,7,45,5,1,0,0,45,0,0,0,0,Matches
365,Emerson Palmieri,,it ITA,DF,Chelsea,27-232,1994,0.1,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,Matches
366,Thomas Partey,,gh GHA,MF,Arsenal,28-283,1993,21.7,1136,1114,22,20,2,147,36,2,0,0,0,0,854,137,145,82,993,37,2,5,978,3,17,34,15,Matches
367,Joao Pedro,,br BRA,FWMF,Watford,20-178,2001,11.3,346,334,12,0,0,93,8,15,3,0,1,0,193,73,80,38,245,24,2,7,235,4,7,18,11,Matches
368,Nicolas Pepe,,ci CIV,FWMF,Arsenal,26-298,1995,6.7,307,270,37,3,1,58,9,8,32,10,10,6,223,29,55,261,19,7,2,2,243,2,2,8,6,Matches
369,Ricardo Pereira,,pt POR,DF,Leicester City,28-168,1993,9.8,575,481,94,3,0,75,7,15,0,0,0,0,357,115,103,67,394,15,91,0,463,0,3,19,27,Matches
370,Ayoze Perez,,es ESP,FWMF,Leicester City,28-243,1993,2.4,72,71,1,0,0,21,2,3,0,0,0,0,42,21,9,7,54,5,0,1,58,0,0,1,2,Matches
371,Sonny Perkins,,eng ENG,FW,West Ham,18-041,2004,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
372,Romain Perraud,,fr FRA,DF,Southampton,24-182,1997,13.4,566,451,115,4,0,80,7,34,2,0,1,0,291,126,149,399,25,23,109,1,372,2,8,23,36,Matches
373,Kalvin Phillips,,eng ENG,MF,Leeds United,26-111,1995,11.1,626,601,25,17,0,77,32,5,1,0,0,1,412,85,129,66,524,22,4,0,514,1,14,24,9,Matches
374,Jaden Philogene Bidace,,eng ENG,FW,Aston Villa,19-309,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
375,Jordan Pickford,,eng ENG,GK,Everton,28-016,1994,25,800,529,271,83,0,60,42,0,0,0,0,0,225,24,551,553,98,0,0,87,431,5,38,17,2,Matches
376,Erik Pieters,,nl NED,DF,Burnley,33-228,1988,7.9,339,260,79,3,0,48,6,5,0,0,0,0,143,100,96,215,20,21,76,1,237,3,7,13,14,Matches
377,Ethan Pinnock,,jm JAM,DF,Brentford,28-298,1993,27.7,1439,1210,229,40,0,186,17,27,0,0,0,0,777,253,409,907,106,145,188,3,1095,7,20,30,15,Matches
378,Daniel Podence,,pt POR,FWMF,Wolves,26-153,1995,15.6,593,556,37,3,5,124,22,33,18,2,10,3,391,93,109,73,479,16,9,14,434,1,7,42,24,Matches
379,Paul Pogba,,fr FRA,MFFW,Manchester Utd,29-008,1993,12.6,721,709,12,10,4,155,43,15,1,0,0,0,526,78,117,78,603,14,0,5,599,3,14,22,19,Matches
380,Nick Pope,,eng ENG,GK,Burnley,29-338,1992,25,729,446,283,95,1,40,15,0,0,0,0,0,121,24,584,29,542,1,0,88,355,10,24,8,3,Matches
381,Teemu Pukki,,fi FIN,FW,Norwich City,31-359,1990,27.2,398,333,65,0,1,84,6,19,0,0,0,0,274,82,42,44,316,24,2,4,294,1,6,17,21,Matches
382,Christian Pulisic,,us USA,MFFW,Chelsea,23-186,1998,10.5,342,325,17,1,0,77,2,11,0,0,0,0,271,40,31,67,248,4,11,2,271,2,7,14,16,Matches
383,Przemyslaw Placheta,,pl POL,FWMF,Norwich City,24-000,1998,4.9,141,123,18,1,0,29,7,10,11,6,3,1,77,26,38,113,13,5,6,1,94,1,2,3,10,Matches
384,Jesuran Rak Sakyi,,eng ENG,MF,Crystal Palace,19-169,2002,0.2,12,10,2,2,0,4,1,1,0,0,0,0,7,4,1,12,0,0,0,0,10,0,0,1,0,Matches
385,Aaron Ramsdale,,eng ENG,GK,Arsenal,23-313,1998,24,842,644,198,58,0,69,28,0,0,0,0,0,428,33,381,55,626,0,1,117,567,1,33,14,2,Matches
386,Jacob Ramsey,,eng ENG,MF,Aston Villa,20-299,2001,21.4,788,778,10,5,1,135,15,13,0,0,0,0,651,64,73,139,609,22,1,0,672,1,12,17,24,Matches
387,Marcus Rashford,,eng ENG,FWMF,Manchester Utd,24-143,1997,10.4,333,327,6,2,0,59,3,22,0,0,0,0,229,60,44,29,271,16,3,2,227,3,7,18,17,Matches
388,Milot Rashica,,xk KVX,FWMF,Norwich City,25-268,1996,18,446,375,71,21,0,87,38,65,37,19,14,1,243,58,145,67,336,21,13,1,277,1,13,22,16,Matches
389,David Raya,,es ESP,GK,Brentford,26-189,1995,16,723,538,185,56,0,64,36,0,0,0,0,0,272,24,427,60,532,2,0,77,456,6,33,14,2,Matches
390,Nathan Redmond,,eng ENG,MFFW,Southampton,28-017,1994,15.1,531,502,29,2,2,104,10,37,13,5,7,0,346,78,107,41,454,22,1,2,373,1,10,27,14,Matches
391,Sergio Reguilon,,es ESP,DF,Tottenham,25-097,1996,19.5,923,769,154,18,1,88,26,59,10,6,1,0,561,166,196,699,54,31,126,1,699,3,11,34,38,Matches
392,Declan Rice,,eng ENG,MF,West Ham,23-068,1999,28,1629,1606,23,17,1,228,58,27,0,0,0,0,1316,116,197,225,1301,69,6,1,1467,5,16,25,18,Matches
393,Taylor Richards,,eng ENG,MFFW,Brighton,21-109,2000,0.3,27,27,0,0,0,2,0,0,0,0,0,0,26,0,1,26,1,0,0,0,23,0,0,1,1,Matches
394,Richarlison,,br BRA,FWMF,Everton,24-317,1997,18.2,325,311,14,0,2,124,5,11,0,0,0,0,213,73,39,55,223,23,1,5,214,3,11,18,26,Matches
395,Jairo Riedewald,,nl NED,MF,Crystal Palace,25-195,1996,1.3,54,49,5,2,0,9,3,0,2,1,1,0,42,5,7,42,9,2,1,0,45,0,1,2,2,Matches
396,Matt Ritchie,,sct SCO,DF,Newcastle Utd,32-194,1989,14.6,679,494,185,33,1,70,43,44,48,28,19,0,312,149,218,432,101,32,103,2,492,3,13,21,14,Matches
