,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
132,Cody Drameh,,eng ENG,DF,Leeds United,20-117,2001,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-079,1989,18,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-093,1992,16,0.06,1.31,0.31,23.8,1.32,0.31,0.05,0.2,9.4,0,0,0,0.08,0.08,0.06,-0.02,-0.02,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-190,1991,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-134,1991,20.6,0.05,0.73,0.24,33.3,0.73,0.24,0.07,0.2,9.7,0,0,0,0.05,0.05,0.07,0,0,Matches
137,Ederson,,br BRA,GK,Manchester City,28-230,1993,29,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-078,1998,14.1,0.43,2.41,0.99,41.2,2.41,0.99,0.15,0.36,13,0,0.07,0.07,0.46,0.4,0.17,-0.04,-0.05,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-342,2002,7.1,0.28,1.97,0.56,28.6,1.97,0.56,0.14,0.5,14.5,0,0,0,0.34,0.34,0.17,-0.06,-0.06,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,19-000,2003,3.1,0,2.26,0.32,14.3,2.23,0.32,0,0,16.3,0,0,0,0.23,0.23,0.11,-0.23,-0.23,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-267,1992,2,0,0.5,0,0,0.51,0,0,,23,0,0,0,0,0,0.02,0,0,Matches
142,Mohamed Elyounoussi,,no NOR,MF,Southampton,27-243,1994,17.8,0.22,2.25,0.9,40,2.25,0.9,0.1,0.25,13.7,0,0,0,0.31,0.31,0.15,-0.09,-0.09,Matches
143,Emerson,,br BRA,DF,Tottenham,23-080,1999,17.7,0.06,0.51,0.11,22.2,0.51,0.11,0.11,0.5,13.5,0,0,0,0.06,0.06,0.11,0,0,Matches
144,Christian Eriksen,,dk DEN,MF,Brentford,30-049,1992,3.4,0.29,1.47,0.59,40,1.46,0.58,0.2,0.5,20.7,0.29,0,0,0.24,0.24,0.16,0.06,0.06,Matches
145,Oghenekaro Etebo,,ng NGA,MF,Watford,26-146,1995,4.3,0,0.7,0,0,0.69,0,0,,30.9,0,0,0,0,0,0.02,0,0,Matches
146,Jonny Evans,,nir NIR,DF,Leicester City,34-091,1988,9.4,0.11,0.32,0.21,66.7,0.32,0.21,0.33,0.5,5.7,0,0,0,0.07,0.07,0.25,0.03,0.03,Matches
147,Eberechi Eze,,eng ENG,MFFW,Crystal Palace,23-279,1998,1.6,0,1.25,0,0,1.27,0,0,,26.6,0,0,0,0,0,0.02,0,0,Matches
148,Lukasz Fabianski,,pl POL,GK,West Ham,36-351,1985,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
149,Fabinho,,br BRA,MF,Liverpool,28-163,1993,21.2,0.24,0.75,0.33,43.8,0.75,0.33,0.19,0.43,18,0,0.09,0.09,0.16,0.08,0.12,0.08,0.06,Matches
150,Kiko Femenia,,es ESP,DF,Watford,31-061,1991,18.8,0,0.11,0,0,0.11,0,0,,21.2,0,0,0,0,0,0.02,0,0,Matches
151,Evan Ferguson,,ie IRL,MF,Brighton,17-167,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
152,Nathan Ferguson,,eng ENG,DF,Crystal Palace,21-180,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
153,Bruno Fernandes,,pt POR,MF,Manchester Utd,27-208,1994,26.6,0.34,2.56,0.86,33.8,2.55,0.86,0.13,0.39,20.7,0.19,0,0.04,0.29,0.26,0.1,0.05,0.08,Matches
154,Alvaro Fernandez,,es ESP,GK,Brentford,23-356,1998,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
155,Federico Fernandez,,ar ARG,DF,Newcastle Utd,33-042,1989,5.8,0,1.03,0.17,16.7,1.03,0.17,0,0,9.2,0,0,0,0.07,0.07,0.07,-0.07,-0.07,Matches
156,Fernandinho,,br BRA,MF,Manchester City,36-335,1985,6.8,0.15,1.62,0.15,9.1,1.62,0.15,0.09,1,15.8,0,0,0,0.21,0.21,0.12,-0.06,-0.06,Matches
157,Roberto Firmino,,br BRA,FW,Liverpool,30-184,1991,9.8,0.51,2.45,1.02,41.7,2.45,1.02,0.21,0.5,14,0,0,0,0.49,0.49,0.2,0.02,0.02,Matches
158,Junior Firpo,,es ESP,DF,Leeds United,25-225,1996,14.8,0,0.54,0.07,12.5,0.54,0.07,0,0,12.8,0,0,0,0.05,0.05,0.09,-0.05,-0.05,Matches
159,Ashley Fletcher,,eng ENG,FW,Watford,26-184,1995,0.3,0,6.67,3.33,50,6,3,0,0,19.9,0,0,0,1.33,1.33,0.19,-1.33,-1.33,Matches
160,Phil Foden,,eng ENG,FW,Manchester City,21-311,2000,18.6,0.38,2.74,1.08,39.2,2.75,1.08,0.14,0.35,13.9,0,0,0,0.42,0.42,0.16,-0.05,-0.05,Matches
161,Wesley Fofana,,fr FRA,DF,Leicester City,21-108,2000,1,0,1,1,100,1,1,0,0,12,0,0,0,0,0,0.04,0,0,Matches
162,Pablo Fornals,,es ESP,FWMF,West Ham,26-041,1996,25,0.24,1.52,0.44,28.9,1.52,0.44,0.16,0.55,18.1,0,0,0,0.17,0.17,0.11,0.07,0.07,Matches
163,Adam Forshaw,,eng ENG,MF,Leeds United,30-178,1991,17,0,0.82,0.24,28.6,0.82,0.24,0,0,25.5,0.06,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
164,Marcus Forss,,fi FIN,FWMF,Brentford,22-290,1999,2.3,0,2.17,0,0,2.15,0,0,,14,0,0,0,0.09,0.09,0.05,-0.09,-0.09,Matches
165,Fraser Forster,,eng ENG,GK,Southampton,34-018,1988,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
166,Ben Foster,,eng ENG,GK,Watford,39-001,1983,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
167,Tariqe Fosu,,gh GHA,DF,Brentford,26-150,1995,0.2,0,5,0,0,5.29,0,0,,18.4,0,0,0,0,0,0.03,0,0,Matches
168,Ryan Fraser,,sct SCO,FWMF,Newcastle Utd,28-039,1994,16,0.13,1.44,0.38,26.1,1.44,0.38,0.09,0.33,17.2,0,0,0,0.15,0.15,0.1,-0.03,-0.03,Matches
169,Fred,,br BRA,MF,Manchester Utd,29-030,1993,20.6,0.19,0.73,0.44,60,0.73,0.44,0.27,0.44,20.2,0,0,0,0.07,0.07,0.1,0.13,0.13,Matches
170,Ryan Fredericks,,eng ENG,DF,West Ham,29-176,1992,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
171,Leo Fuhr Hjelde,,no NOR,DF,Leeds United,18-221,2003,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
172,Conor Gallagher,,eng ENG,MF,Crystal Palace,22-057,2000,24.4,0.33,1.72,0.82,47.6,1.72,0.82,0.19,0.4,15.9,0.16,0,0,0.2,0.2,0.12,0.12,0.12,Matches
173,Dwight Gayle,,eng ENG,FW,Newcastle Utd,31-169,1990,0.4,0,2.5,0,0,2.81,0,0,,9,0,0,0,0,0,0.05,0,0,Matches
174,Jean-Philippe Gbamin,,ci CIV,MF,Everton,26-191,1995,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
175,David de Gea,,es ESP,GK,Manchester Utd,31-148,1990,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
176,Joe Gelhardt,,eng ENG,FWMF,Leeds United,19-335,2002,5.5,0.36,2.91,1.27,43.8,2.89,1.26,0.13,0.29,15.5,0,0,0,0.4,0.4,0.14,-0.04,-0.04,Matches
177,Anwar El Ghazi,,nl NED,FW,Everton,26-336,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
178,Anwar El Ghazi,,nl NED,FWMF,Aston Villa,26-336,1995,4.3,0.23,1.63,0.47,28.6,1.63,0.47,0,0,21.3,0,0.23,0.23,0.26,0.07,0.04,-0.02,-0.07,Matches
179,Saman Ghoddos,,ir IRN,MFDF,Brentford,28-210,1993,4.8,0.21,1.46,0.42,28.6,1.45,0.41,0.14,0.5,19.3,0.21,0,0,0.13,0.13,0.09,0.08,0.08,Matches
180,Dimitris Giannoulis,,gr GRE,DF,Norwich City,26-169,1995,7.1,0,0.28,0.14,50,0.28,0.14,0,0,19.9,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
181,Morgan Gibbs-White,,eng ENG,FWMF,Wolves,22-067,2000,0.1,0,20,0,0,20,0,0,,16.2,0,0,0,1,1,0.06,-1,-1,Matches
182,Ben Gibson,,eng ENG,DF,Norwich City,29-079,1993,24.7,0,0.32,0.16,50,0.32,0.16,0,0,10,0,0,0,0.05,0.05,0.15,-0.05,-0.05,Matches
183,Billy Gilmour,,sct SCO,MF,Norwich City,20-297,2001,16.7,0,0.78,0.12,15.4,0.78,0.12,0,0,22.5,0.06,0,0,0.04,0.04,0.06,-0.04,-0.04,Matches
184,Ben Godfrey,,eng ENG,DF,Everton,24-079,1998,19.5,0,0.87,0.31,35.3,0.87,0.31,0,0,17,0,0,0,0.06,0.06,0.07,-0.06,-0.06,Matches
185,Andre Gomes,,pt POR,MF,Everton,28-248,1993,5.6,0,2.14,0.36,16.7,2.15,0.36,0,0,21,0,0,0,0.11,0.11,0.05,-0.11,-0.11,Matches
186,Toti Gomes,,pt POR,DF,Wolves,23-078,1999,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
187,Joe Gomez,,eng ENG,DF,Liverpool,24-316,1997,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
188,Charlie Goode,,eng ENG,DF,Brentford,26-244,1995,5,0,0.4,0,0,0.4,0,0,,10.5,0,0,0,0.02,0.02,0.07,-0.02,-0.02,Matches
189,Anthony Gordon,,eng ENG,MFFW,Everton,21-039,2001,16.9,0.18,1.83,0.83,45.2,1.84,0.83,0.1,0.21,18.5,0.24,0,0,0.14,0.14,0.08,0.04,0.04,Matches
190,Kaide Gordon,,eng ENG,FW,Liverpool,17-181,2004,0.1,0,10,10,100,10,10,0,0,19,0,0,0,4,4,0.45,-4,-4,Matches
191,Dan Gosling,,eng ENG,MF,Watford,32-062,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
192,Demarai Gray,,eng ENG,MFFW,Everton,25-280,1996,19.8,0.25,2.42,0.66,27.1,2.42,0.66,0.1,0.38,19.9,0.15,0,0,0.16,0.16,0.07,0.09,0.09,Matches
193,Jack Grealish,,eng ENG,FW,Manchester City,26-206,1995,17.1,0.12,2.05,0.82,40,2.05,0.82,0.06,0.14,14.3,0,0,0,0.24,0.24,0.12,-0.12,-0.12,Matches
194,Mason Greenwood,,eng ENG,FWMF,Manchester Utd,20-185,2001,14.1,0.35,3.4,1.28,37.5,3.4,1.27,0.1,0.28,18.7,0,0,0,0.31,0.31,0.09,0.04,0.04,Matches
195,Sam Greenwood,,eng ENG,FWMF,Leeds United,20-068,2002,0.9,0,1.11,0,0,1.11,0,0,,24,1.11,0,0,0.11,0.11,0.07,-0.11,-0.11,Matches
196,Pascal Gross,,de GER,MFDF,Brighton,30-293,1991,16.3,0,0.98,0.18,18.8,0.98,0.18,0,0,17.7,0.06,0,0.06,0.13,0.08,0.08,-0.13,-0.08,Matches
197,Vicente Guaita,,es ESP,GK,Crystal Palace,35-084,1987,23.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
198,Marc Guehi,,eng ENG,DF,Crystal Palace,21-265,2000,28,0.07,0.43,0.14,33.3,0.43,0.14,0.17,0.5,10.9,0,0,0,0.06,0.06,0.13,0.01,0.01,Matches
199,Bruno Guimaraes,,br BRA,MF,Newcastle Utd,24-139,1997,3.6,0.28,2.78,0.56,20,2.8,0.56,0.1,0.5,18.3,0,0,0,0.25,0.25,0.09,0.03,0.03,Matches
200,?lkay Gundogan,,de GER,MF,Manchester City,31-162,1990,16,0.38,2.63,0.94,35.7,2.62,0.94,0.14,0.4,13.3,0.13,0,0,0.42,0.42,0.16,-0.05,-0.05,Matches
201,Angus Gunn,,eng ENG,GK,Norwich City,26-072,1996,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
202,Grant Hanley,,sct SCO,DF,Norwich City,30-135,1991,24.2,0.04,0.58,0.12,21.4,0.58,0.12,0.07,0.33,8.4,0,0,0,0.05,0.05,0.09,-0.01,-0.01,Matches
203,Jack Harrison,,eng ENG,FWMF,Leeds United,25-135,1996,22.9,0.26,1.48,0.61,41.2,1.48,0.61,0.18,0.43,16.1,0,0,0,0.16,0.16,0.11,0.1,0.1,Matches
204,Kortney Hause,,eng ENG,DF,Aston Villa,26-262,1995,4.4,0.23,0.45,0.45,100,0.45,0.45,0.5,0.5,10.1,0,0,0,0.02,0.02,0.04,0.2,0.2,Matches
205,Kai Havertz,,de GER,FWMF,Chelsea,22-297,1999,15.5,0.39,2.65,1.1,41.5,2.65,1.1,0.15,0.35,12.9,0,0,0,0.43,0.43,0.16,-0.05,-0.05,Matches
206,Isaac Hayden,,eng ENG,MFDF,Newcastle Utd,27-013,1995,11.1,0.09,0.54,0.09,16.7,0.54,0.09,0.17,1,12.8,0,0,0,0.04,0.04,0.07,0.05,0.05,Matches
207,Hwang Hee-chan,,kr KOR,FWMF,Wolves,26-068,1996,15.3,0.33,1.24,0.52,42.1,1.24,0.52,0.26,0.63,13.8,0,0,0,0.21,0.21,0.17,0.12,0.12,Matches
208,Jordan Henderson,,eng ENG,MF,Liverpool,31-291,1990,23.3,0.09,1.07,0.26,24,1.08,0.26,0.08,0.33,23.1,0,0,0,0.06,0.06,0.06,0.03,0.03,Matches
209,Jeff Hendrick,,ie IRL,MF,Newcastle Utd,30-063,1992,0.8,1.25,1.25,1.25,100,1.25,1.25,1,1,27,0,0,0,0,0,0.03,1.25,1.25,Matches
210,Wayne Hennessey,,wls WAL,GK,Burnley,35-070,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
211,Rico Henry,,eng ENG,DF,Brentford,24-270,1997,24.2,0.08,0.41,0.08,20,0.41,0.08,0.2,1,15.7,0,0,0,0.06,0.06,0.15,0.02,0.02,Matches
212,Son Heung-min,,kr KOR,FWMF,Tottenham,29-270,1992,25.9,0.54,2.51,1.24,49.2,2.51,1.23,0.22,0.44,16.1,0.08,0,0,0.44,0.44,0.18,0.1,0.1,Matches
213,Ki-Jana Hoever,,nl NED,DF,Wolves,20-076,2002,3.4,0,0.29,0,0,0.29,0,0,,22.2,0,0,0,0,0,0.02,0,0,Matches
214,Rob Holding,,eng ENG,DF,Arsenal,26-196,1995,4.8,0,0.63,0,0,0.62,0,0,,6.7,0,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
215,Mason Holgate,,eng ENG,DF,Everton,25-164,1996,15.8,0.06,0.32,0.06,20,0.32,0.06,0.2,1,11.7,0,0,0,0.04,0.04,0.11,0.03,0.03,Matches
216,Callum Hudson-Odoi,,eng ENG,FWMF,Chelsea,21-148,2000,10.7,0.09,1.59,0.65,41.2,1.59,0.65,0.06,0.14,13.2,0,0,0,0.2,0.2,0.12,-0.1,-0.1,Matches
217,Will Hughes,,eng ENG,MF,Crystal Palace,26-352,1995,9.1,0,0.55,0,0,0.55,0,0,,21.7,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
218,Pierre Hojbjerg,,dk DEN,MF,Tottenham,26-242,1995,27.5,0.07,0.91,0.36,40,0.91,0.36,0.08,0.2,21.2,0.04,0,0,0.07,0.07,0.07,0,0,Matches
219,Adam Idah,,ie IRL,FWMF,Norwich City,21-024,2001,6.9,0.14,2.03,0.58,28.6,2.02,0.58,0.07,0.25,12.4,0,0,0,0.29,0.29,0.14,-0.14,-0.14,Matches
220,Kelechi Iheanacho,,ng NGA,FW,Leicester City,25-183,1996,10.2,0.29,2.25,0.78,34.8,2.25,0.78,0.13,0.38,16.4,0,0,0,0.29,0.29,0.13,0,0,Matches
221,Danny Ings,,eng ENG,FW,Aston Villa,29-255,1992,16.9,0.3,1.78,0.65,36.7,1.77,0.65,0.13,0.36,13.8,0,0.06,0.06,0.27,0.23,0.13,0.02,0.01,Matches
222,Tim Iroegbunam,,eng ENG,MF,Aston Villa,18-278,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
223,Alex Iwobi,,ng NGA,MFFW,Everton,25-336,1996,12.6,0.16,1.51,0.48,31.6,1.51,0.48,0.11,0.33,15.5,0,0,0,0.12,0.12,0.08,0.04,0.04,Matches
224,Daniel James,,wls WAL,FW,Manchester Utd,24-145,1997,1.4,0,2.86,0.71,25,2.86,0.71,0,0,17.3,0,0,0,0.14,0.14,0.06,-0.14,-0.14,Matches
225,Daniel James,,wls WAL,FWMF,Leeds United,24-145,1997,23.1,0.17,2.21,0.65,29.4,2.2,0.65,0.08,0.27,15.6,0,0,0,0.22,0.22,0.1,-0.05,-0.05,Matches
226,Reece James,,eng ENG,DF,Chelsea,22-117,1999,13.5,0.37,1.7,0.59,34.8,1.7,0.59,0.22,0.63,19.1,0.3,0,0,0.15,0.15,0.09,0.22,0.22,Matches
227,Vitaly Janelt,,de GER,MF,Brentford,23-329,1998,20.7,0.19,1.26,0.53,42.3,1.26,0.53,0.15,0.36,17.6,0,0,0,0.12,0.12,0.1,0.07,0.07,Matches
228,Pontus Jansson,,se SWE,DF,Brentford,31-050,1991,30.9,0.03,0.55,0.23,41.2,0.55,0.23,0.06,0.14,8,0,0,0,0.06,0.06,0.11,-0.03,-0.03,Matches
229,Mathias Jensen,,dk DEN,MF,Brentford,26-093,1996,13.7,0,0.88,0.36,41.7,0.88,0.37,0,0,25.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
230,Gabriel Jesus,,br BRA,FW,Manchester City,25-001,1997,15.2,0.13,2.96,0.86,28.9,2.97,0.86,0.04,0.15,13.1,0,0,0,0.39,0.39,0.13,-0.26,-0.26,Matches
231,Raul Jimenez,,mx MEX,FW,Wolves,30-334,1991,23.9,0.25,2.18,0.54,25,2.17,0.54,0.1,0.38,15.6,0.04,0.04,0.04,0.26,0.23,0.11,0,-0.03,Matches
232,Joelinton,,br BRA,MFFW,Newcastle Utd,25-233,1996,21.6,0.09,1.57,0.46,29.4,1.58,0.46,0.06,0.2,16.6,0,0,0,0.13,0.13,0.08,-0.03,-0.03,Matches
233,Ben Johnson,,eng ENG,DF,West Ham,22-070,2000,13.4,0.07,0.22,0.07,33.3,0.22,0.07,0.33,1,24.4,0,0,0,0.01,0.01,0.02,0.07,0.07,Matches
234,Curtis Jones,,eng ENG,MF,Liverpool,21-064,2001,7.8,0.13,1.79,0.77,42.9,1.8,0.77,0.07,0.17,22.2,0,0,0,0.09,0.09,0.05,0.04,0.04,Matches
235,Phil Jones,,eng ENG,DF,Manchester Utd,30-042,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
236,Jorginho,,it ITA,MF,Chelsea,30-105,1991,20.8,0.29,0.38,0.1,25,0.39,0.1,0,0,28.8,0,0.29,0.29,0.24,0.02,0.05,0.05,-0.02,Matches
237,Diogo Jota,,pt POR,FW,Liverpool,25-121,1996,20.4,0.69,3.53,1.32,37.5,3.52,1.32,0.19,0.52,11.3,0,0,0,0.68,0.68,0.19,0.01,0.01,Matches
238,James Justin,,eng ENG,DF,Leicester City,24-040,1998,5.1,0,0.59,0.2,33.3,0.59,0.2,0,0,11.4,0,0,0,0.1,0.1,0.18,-0.1,-0.1,Matches
239,Mathias Jorgensen,,dk DEN,DF,Brentford,31-346,1990,4.8,0.21,0.42,0.21,50,0.42,0.21,0.5,1,6.9,0,0,0,0.02,0.02,0.05,0.19,0.19,Matches
240,Ozan Kabak,,tr TUR,DF,Norwich City,22-010,2000,10.2,0,0.39,0.2,50,0.39,0.2,0,0,15,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
241,Christian Kabasele,,be BEL,DF,Watford,31-039,1991,6.3,0,0.48,0,0,0.48,0,0,,13.5,0,0,0,0.05,0.05,0.1,-0.05,-0.05,Matches
242,Samuel Kalu,,ng NGA,FWMF,Watford,24-221,1997,0.5,0,2,2,100,1.91,1.91,0,0,28.3,0,0,0,0,0,0.02,0,0,Matches
243,Hassane Kamara,,ci CIV,DF,Watford,27-197,1994,11.9,0,0.25,0,0,0.25,0,0,,27.6,0,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
244,Harry Kane,,eng ENG,FW,Tottenham,28-250,1993,27.9,0.43,3.51,1.4,39.8,3.51,1.4,0.1,0.26,17.2,0.29,0.07,0.07,0.54,0.48,0.14,-0.11,-0.13,Matches
245,N'Golo Kante,,fr FRA,MF,Chelsea,31-006,1991,14,0.14,0.79,0.43,54.5,0.79,0.43,0.18,0.33,18.3,0,0,0,0.09,0.09,0.11,0.06,0.06,Matches
246,Edo Kayembe,,cd COD,MF,Watford,23-244,1998,4.6,0,0.43,0,0,0.43,0,0,,25.3,0,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
247,Moise Kean,,it ITA,FW,Everton,22-035,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
248,Michael Keane,,eng ENG,DF,Everton,29-083,1993,25.2,0.08,0.6,0.16,26.7,0.59,0.16,0.13,0.5,12.5,0,0,0,0.04,0.04,0.06,0.04,0.04,Matches
249,Naby Keita,,gn GUI,MF,Liverpool,27-053,1995,9.2,0.22,2.07,0.65,31.6,2.06,0.65,0.11,0.33,22.1,0,0,0,0.13,0.13,0.06,0.09,0.09,Matches
250,Caoimhin Kelleher,,ie IRL,GK,Liverpool,23-132,1998,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
251,Jonjoe Kenny,,eng ENG,DF,Everton,25-020,1997,8.8,0,0.45,0,0,0.45,0,0,,22.2,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
252,Max Kilman,,eng ENG,DF,Wolves,24-316,1997,28.9,0.03,0.45,0.14,30.8,0.45,0.14,0.08,0.25,8.8,0,0,0,0.03,0.03,0.08,0,0,Matches
253,Joshua King,,no NOR,FW,Watford,30-079,1992,22,0.23,2.09,0.77,37,2.09,0.77,0.09,0.24,14.7,0,0.05,0.05,0.35,0.31,0.15,-0.12,-0.13,Matches
254,Kristoffer Klaesson,,no NOR,GK,Leeds United,21-128,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
255,Mateusz Klich,,pl POL,MF,Leeds United,31-295,1990,19.1,0.05,1.94,0.79,40.5,1.94,0.79,0.03,0.07,20.3,0,0,0,0.13,0.13,0.07,-0.08,-0.08,Matches
256,Robin Koch,,de GER,MFDF,Leeds United,25-261,1996,11.2,0,0.8,0.09,11.1,0.8,0.09,0,0,16.4,0,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
257,Sead Kolasinac,,ba BIH,DF,Arsenal,28-288,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
258,Ibrahima Konate,,fr FRA,DF,Liverpool,22-314,1999,8,0,0.25,0,0,0.25,0,0,,9.5,0,0,0,0.01,0.01,0.06,-0.01,-0.01,Matches
259,Ezri Konsa,,eng ENG,DF,Aston Villa,24-163,1997,23,0.09,0.57,0.26,46.2,0.57,0.26,0.15,0.33,6.9,0,0,0,0.06,0.06,0.11,0.03,0.03,Matches
260,Cheikhou Kouyate,,sn SEN,MF,Crystal Palace,32-104,1989,18.5,0,0.32,0,0,0.32,0,0,,18.9,0,0,0,0.03,0.03,0.09,-0.03,-0.03,Matches
261,Mateo Kova?i?,,hr CRO,MF,Chelsea,27-333,1994,14.5,0.14,1.31,0.28,21.1,1.31,0.28,0.11,0.5,20.6,0.07,0,0,0.09,0.09,0.07,0.05,0.05,Matches
262,Emil Krafth,,se SWE,DF,Newcastle Utd,27-245,1994,11.5,0,0.43,0.09,20,0.44,0.09,0,0,17.6,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
263,Alex Kral,,cz CZE,MF,West Ham,23-320,1998,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
264,Tim Krul,,nl NED,GK,Norwich City,34-001,1988,23,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
265,Juraj Kucka,,sk SVK,MF,Watford,35-037,1987,18.6,0.05,1.83,0.54,29.4,1.83,0.54,0.03,0.1,20.8,0.16,0,0,0.12,0.12,0.07,-0.06,-0.06,Matches
266,Dejan Kulusevski,,se SWE,MFFW,Tottenham,21-344,2000,8.4,0.24,2.26,0.6,26.3,2.26,0.6,0.11,0.4,17.6,0,0,0,0.29,0.29,0.13,-0.05,-0.05,Matches
