,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
267,Alexandre Lacazette,,fr FRA,FWMF,Arsenal,30-311,1991,17,0.24,2.24,0.71,31.6,2.24,0.71,0.05,0.17,14.7,0.06,0.12,0.18,0.45,0.32,0.14,-0.21,-0.2,Matches
268,Adam Lallana,,eng ENG,MF,Brighton,33-329,1988,16.8,0,1.19,0.24,20,1.19,0.24,0,0,18.8,0,0,0,0.07,0.07,0.06,-0.07,-0.07,Matches
269,Tariq Lamptey,,eng ENG,DFFW,Brighton,21-186,2000,15.2,0,1.05,0.2,18.8,1.05,0.2,0,0,19.1,0,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
270,Manuel Lanzini,,ar ARG,MF,West Ham,29-048,1993,14.7,0.27,0.75,0.27,36.4,0.75,0.27,0.18,0.5,21.6,0.07,0.14,0.14,0.17,0.07,0.09,0.1,0.07,Matches
271,Aymeric Laporte,,es ESP,DF,Manchester City,27-312,1994,24.1,0.12,1.24,0.21,16.7,1.24,0.21,0.1,0.6,10.5,0,0,0,0.15,0.15,0.12,-0.02,-0.02,Matches
272,Jamaal Lascelles,,eng ENG,DF,Newcastle Utd,28-144,1993,19.1,0.05,0.68,0.1,15.4,0.68,0.1,0.08,0.5,8.7,0,0,0,0.04,0.04,0.05,0.02,0.02,Matches
273,Pierre Lees-Melou,,fr FRA,MF,Norwich City,28-314,1993,18.5,0,1.3,0.38,29.2,1.3,0.38,0,0,23.3,0,0,0,0.06,0.06,0.05,-0.06,-0.06,Matches
274,Aaron Lennon,,eng ENG,MF,Burnley,34-353,1987,12.9,0.16,0.54,0.16,28.6,0.54,0.15,0.29,1,22.7,0,0,0,0.05,0.05,0.09,0.11,0.11,Matches
275,Bernd Leno,,de GER,GK,Arsenal,30-031,1992,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
276,Jamal Lewis,,nir NIR,DF,Newcastle Utd,24-069,1998,2.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
277,Victor Lindelof,,se SWE,DF,Manchester Utd,27-261,1994,18.2,0,0.16,0.05,33.3,0.17,0.06,0,0,7.9,0,0,0,0.01,0.01,0.07,-0.01,-0.01,Matches
278,Jesse Lingard,,eng ENG,FW,Manchester Utd,29-110,1992,2.3,0.87,2.17,1.74,80,2.14,1.71,0.4,0.5,17.9,0,0,0,0.13,0.13,0.07,0.74,0.74,Matches
279,Valentino Livramento,,eng ENG,DF,Southampton,19-143,2002,23.2,0.04,0.47,0.13,27.3,0.47,0.13,0.09,0.33,14.7,0,0,0,0.05,0.05,0.1,0,0,Matches
280,Diego Llorente,,es ESP,DF,Leeds United,28-231,1993,20,0.1,0.35,0.1,28.6,0.35,0.1,0.29,1,7.9,0,0,0,0.04,0.04,0.13,0.06,0.06,Matches
281,Hugo Lloris,,fr FRA,GK,Tottenham,35-099,1986,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
282,Giovani Lo Celso,,ar ARG,MFFW,Tottenham,25-360,1996,2.6,0,3.46,0,0,3.4,0,0,,18.5,0.38,0,0,0.27,0.27,0.08,-0.27,-0.27,Matches
283,Jurgen Locadia,,nl NED,FW,Brighton,28-148,1993,0.3,0,3.33,0,0,3.91,0,0,,20,0,0,0,0.33,0.33,0.11,-0.33,-0.33,Matches
284,Ruben Loftus-Cheek,,eng ENG,MF,Chelsea,26-071,1996,9.7,0,1.55,0.41,26.7,1.55,0.41,0,0,17.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
285,Kevin Long,,ie IRL,DF,Burnley,31-229,1990,1,0,1,0,0,1,0,0,,10.4,0,0,0,0,0,0.02,0,0,Matches
286,Shane Long,,ie IRL,FWMF,Southampton,35-072,1987,1.6,0.63,2.5,1.25,50,2.55,1.28,0.25,0.5,8.4,0,0,0,0.37,0.37,0.15,0.25,0.25,Matches
287,Sean Longstaff,,eng ENG,MF,Newcastle Utd,24-156,1997,12.2,0.08,1.07,0.16,15.4,1.06,0.16,0.08,0.5,24.3,0.08,0,0,0.09,0.09,0.08,-0.01,-0.01,Matches
288,Ademola Lookman,,ng NGA,FWMF,Leicester City,24-166,1997,12.7,0.31,1.57,0.71,45,1.58,0.71,0.2,0.44,13.9,0,0,0,0.3,0.3,0.19,0.02,0.02,Matches
289,Jonas Lossl,,dk DEN,GK,Brentford,33-062,1989,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
290,Imran Louza,,ma MAR,MF,Watford,22-338,1999,11.9,0,0.84,0.25,30,0.84,0.25,0,0,27.5,0.34,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
291,Matthew Lowton,,eng ENG,DF,Burnley,32-299,1989,16.8,0.06,0.48,0.12,25,0.48,0.12,0.13,0.5,20.3,0,0,0,0.03,0.03,0.07,0.03,0.03,Matches
292,Douglas Luiz,,br BRA,MF,Aston Villa,23-330,1998,23.1,0.04,0.82,0.26,31.6,0.82,0.26,0.05,0.17,25.4,0.3,0,0,0.06,0.06,0.07,-0.01,-0.01,Matches
293,Romelu Lukaku,,be BEL,FW,Chelsea,28-326,1993,13.8,0.36,2.1,0.72,34.5,2.11,0.73,0.17,0.5,12.3,0.07,0,0,0.33,0.33,0.16,0.04,0.04,Matches
294,Lyanco,,br BRA,DF,Southampton,25-062,1997,6.1,0,0.66,0,0,0.65,0,0,,14.8,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
295,Alexis Mac Allister,,ar ARG,MFFW,Brighton,23-101,1998,15.9,0.25,2.83,0.5,17.8,2.84,0.5,0.07,0.38,20.4,0.19,0.06,0.06,0.23,0.18,0.06,0.03,0.01,Matches
296,James Maddison,,eng ENG,MFFW,Leicester City,25-132,1996,20.1,0.4,2.69,1.19,44.4,2.69,1.19,0.15,0.33,19.7,0.45,0,0,0.28,0.28,0.1,0.12,0.12,Matches
297,Harry Maguire,,eng ENG,DF,Manchester Utd,29-030,1993,23.7,0.04,0.8,0.38,47.4,0.8,0.38,0.05,0.11,11.7,0,0,0,0.06,0.06,0.08,-0.02,-0.02,Matches
298,Riyad Mahrez,,dz ALG,FW,Manchester City,31-042,1991,13.5,0.74,3.41,1.26,37,3.41,1.26,0.13,0.35,17.4,0.37,0.3,0.3,0.61,0.39,0.11,0.13,0.06,Matches
299,Ainsley Maitland-Niles,,eng ENG,MF,Arsenal,24-218,1997,3,0,0.67,0,0,0.67,0,0,,26.5,0,0,0,0,0,0.02,0,0,Matches
300,Sadio Mane,,sn SEN,FW,Liverpool,29-359,1992,25,0.48,3.32,1.2,36.1,3.32,1.2,0.14,0.4,12.9,0,0,0,0.58,0.58,0.17,-0.1,-0.1,Matches
301,Javier Manquillo,,es ESP,DF,Newcastle Utd,27-334,1994,14,0.07,0.29,0.14,50,0.29,0.14,0.25,0.5,15.5,0,0,0,0.04,0.04,0.12,0.04,0.04,Matches
302,Fernando Marcal,,br BRA,DF,Wolves,33-044,1989,15.2,0,0.72,0.07,9.1,0.73,0.07,0,0,22.3,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
303,Solly March,,eng ENG,DFFW,Brighton,27-258,1994,14.7,0,1.29,0.61,47.4,1.29,0.61,0,0,17.5,0.14,0,0,0.08,0.08,0.06,-0.08,-0.08,Matches
304,Pablo Mari,,es ESP,DF,Arsenal,28-216,1993,2,0,0.5,0,0,0.5,0,0,,4.1,0,0,0,0.15,0.15,0.31,-0.15,-0.15,Matches
305,Anthony Martial,,fr FRA,FW,Manchester Utd,26-120,1995,2.4,0.42,2.08,0.83,40,2.12,0.85,0.2,0.5,12.3,0,0,0,0.17,0.17,0.09,0.25,0.25,Matches
306,Martinelli,,br BRA,FWMF,Arsenal,20-290,2001,13.8,0.36,2.54,0.72,28.6,2.53,0.72,0.14,0.5,14.5,0,0,0,0.31,0.31,0.12,0.05,0.05,Matches
307,Emiliano Martinez,,ar ARG,GK,Aston Villa,29-214,1992,29,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
308,Adam Masina,,ma MAR,DF,Watford,28-092,1994,9.6,0,0.42,0,0,0.42,0,0,,14.2,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
309,Arthur Masuaku,,cd COD,DFFW,West Ham,28-148,1993,6.2,0.16,0.48,0.16,33.3,0.48,0.16,0.33,1,28.3,0,0,0,0.02,0.02,0.03,0.15,0.15,Matches
310,Jean-Philippe Mateta,,fr FRA,FW,Crystal Palace,24-280,1997,7.2,0.42,2.36,1.39,58.8,2.35,1.38,0.18,0.3,10.7,0,0,0,0.35,0.35,0.15,0.07,0.07,Matches
311,Nemanja Mati?,,rs SRB,MF,Manchester Utd,33-246,1988,10.4,0,0.48,0.1,20,0.48,0.1,0,0,24.5,0,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
312,Joel Matip,,cm CMR,DF,Liverpool,30-239,1991,24,0.04,1.08,0.17,15.4,1.08,0.17,0.04,0.25,8.8,0,0,0,0.08,0.08,0.08,-0.04,-0.04,Matches
313,Neal Maupay,,fr FRA,FW,Brighton,25-233,1996,23.6,0.34,2.37,0.55,23.2,2.37,0.55,0.13,0.54,16,0,0.04,0.08,0.31,0.25,0.11,0.03,0.05,Matches
314,Bryan Mbeumo,,fr FRA,FWMF,Brentford,22-240,1999,25.7,0.12,2.06,0.47,22.6,2.06,0.47,0.04,0.17,16.7,0.12,0.04,0.04,0.29,0.26,0.12,-0.17,-0.18,Matches
315,James McArthur,,sct SCO,MF,Crystal Palace,34-179,1987,12.9,0,0.54,0.16,28.6,0.54,0.15,0,0,21.9,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
316,James Mcatee,,eng ENG,MFFW,Manchester City,19-168,2002,0.2,0,5,0,0,4.5,0,0,,13,0,0,0,0,0,0.04,0,0,Matches
317,Kasey McAteer,,eng ENG,FW,Leicester City,20-133,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
318,Liam McCarron,,sct SCO,FW,Leeds United,21-028,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
319,Alex McCarthy,,eng ENG,GK,Southampton,32-122,1989,15,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
320,John McGinn,,sct SCO,MF,Aston Villa,27-168,1994,26.3,0.11,1.29,0.3,23.5,1.29,0.3,0.09,0.38,23.3,0,0,0,0.05,0.05,0.04,0.06,0.06,Matches
321,Stuart McKinstry,,sct SCO,MF,Leeds United,19-198,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
322,Kenny McLean,,sct SCO,MF,Norwich City,30-086,1992,27.3,0.04,1.21,0.22,18.2,1.21,0.22,0.03,0.17,18.7,0,0,0,0.07,0.07,0.06,-0.03,-0.03,Matches
323,Dwight McNeil,,eng ENG,MF,Burnley,22-133,1999,26.5,0,1.28,0.38,29.4,1.28,0.38,0,0,22.4,0.08,0,0,0.06,0.06,0.05,-0.06,-0.06,Matches
324,Scott McTominay,,sct SCO,MF,Manchester Utd,25-117,1996,21.5,0.05,1.02,0.23,22.7,1.02,0.23,0.05,0.2,21.4,0,0,0,0.05,0.05,0.04,0,0,Matches
325,Ben Mee,,eng ENG,DF,Burnley,32-193,1989,20.4,0.15,0.88,0.2,22.2,0.88,0.2,0.17,0.75,8,0,0,0,0.09,0.09,0.11,0.06,0.06,Matches
326,Benjamin Mendy,,fr FRA,DF,Manchester City,27-261,1994,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
327,Edouard Mendy,,sn SEN,GK,Chelsea,30-034,1992,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
328,Nampalys Mendy,,sn SEN,MF,Leicester City,29-285,1992,2.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
329,Illan Meslier,,fr FRA,GK,Leeds United,22-033,2000,30.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
330,Luka Milivojevi?,,rs SRB,MF,Crystal Palace,30-362,1991,7.2,0,1.11,0,0,1.1,0,0,,26.6,0.56,0,0,0.03,0.03,0.03,-0.03,-0.03,Matches
331,James Milner,,eng ENG,MFDF,Liverpool,36-090,1986,7.1,0,0.99,0.14,14.3,0.99,0.14,0,0,22.1,0,0,0,0.03,0.03,0.03,-0.03,-0.03,Matches
332,Yerry Mina,,co COL,DF,Everton,27-193,1994,7.2,0,0.69,0,0,0.69,0,0,,8.7,0,0,0,0.04,0.04,0.06,-0.04,-0.04,Matches
333,Takumi Minamino,,jp JPN,FWMF,Liverpool,27-078,1995,1.1,1.82,2.73,1.82,66.7,2.81,1.87,0.67,1,10,0,0,0,1.36,1.36,0.5,0.45,0.45,Matches
334,Tyrone Mings,,eng ENG,DF,Aston Villa,29-022,1993,27.4,0.04,0.73,0.18,25,0.73,0.18,0.05,0.2,12.8,0,0,0,0.05,0.05,0.06,-0.01,-0.01,Matches
335,Tyrick Mitchell,,eng ENG,DF,Crystal Palace,22-215,1999,28.9,0,0.14,0.03,25,0.14,0.03,0,0,15.1,0,0,0,0.01,0.01,0.07,-0.01,-0.01,Matches
336,Jakub Moder,,pl POL,MFFW,Brighton,22-362,1999,18.9,0,1.48,0.32,21.4,1.48,0.32,0,0,16.5,0.11,0,0,0.13,0.13,0.09,-0.13,-0.13,Matches
337,Wesley Moraes,,br BRA,FW,Aston Villa,25-129,1996,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
338,Tyler Morton,,eng ENG,MF,Liverpool,19-155,2002,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
339,Mason Mount,,eng ENG,MFFW,Chelsea,23-084,1999,19.5,0.41,2.56,1.13,44,2.56,1.13,0.14,0.32,17.4,0.31,0.05,0.05,0.35,0.31,0.12,0.06,0.05,Matches
340,Lucas Moura,,br BRA,FWMF,Tottenham,29-234,1992,17.3,0.12,1.97,0.64,32.4,1.97,0.64,0.06,0.18,15.5,0,0,0,0.19,0.19,0.1,-0.08,-0.08,Matches
341,Joao Moutinho,,pt POR,MF,Wolves,35-208,1986,26.1,0.08,0.61,0.27,43.8,0.61,0.27,0.13,0.29,23.4,0.11,0,0,0.03,0.03,0.06,0.04,0.04,Matches
342,Bali Mumba,,eng ENG,DF,Norwich City,20-178,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
343,Jacob Murphy,,eng ENG,DFFW,Newcastle Utd,27-039,1995,13.9,0.07,1.8,0.36,20,1.8,0.36,0.04,0.2,20.2,0.07,0,0,0.15,0.15,0.08,-0.08,-0.08,Matches
344,Enock Mwepu,,zm ZAM,MF,Brighton,24-093,1998,7.2,0.14,1.39,0.42,30,1.38,0.41,0.1,0.33,16.8,0,0,0,0.19,0.19,0.14,-0.06,-0.06,Matches
345,Vitaliy Mykolenko,,ua UKR,DF,Everton,22-310,1999,3,0,0.33,0,0,0.33,0,0,,28.2,0,0,0,0,0,0.02,0,0,Matches
346,Marvelous Nakamba,,zw ZIM,MF,Aston Villa,28-075,1994,8.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
347,Wilfred Ndidi,,ng NGA,MFDF,Leicester City,25-109,1996,18,0,0.83,0.22,26.7,0.83,0.22,0,0,18,0,0,0,0.06,0.06,0.07,-0.06,-0.06,Matches
348,Tanguy Ndombele,,fr FRA,MF,Tottenham,25-097,1996,5.4,0.19,1.67,0.56,33.3,1.67,0.56,0.11,0.33,17.3,0,0,0,0.09,0.09,0.05,0.09,0.09,Matches
349,Reiss Nelson,,eng ENG,FW,Arsenal,22-115,1999,0.2,0,5,0,0,4.5,0,0,,18,0,0,0,0,0,0.04,0,0,Matches
350,Pedro Neto,,pt POR,MFFW,Wolves,22-026,2000,1.7,0,2.94,0.59,20,3.02,0.6,0,0,19,0,0,0,0.24,0.24,0.08,-0.24,-0.24,Matches
351,Ruben Neves,,pt POR,MF,Wolves,25-022,1997,25.2,0.16,1.51,0.6,39.5,1.51,0.59,0.11,0.27,26.1,0.16,0,0,0.04,0.04,0.03,0.12,0.12,Matches
352,Jeremy Ngakia,,eng ENG,DF,Watford,21-209,2000,7,0,0.57,0,0,0.57,0,0,,27.5,0,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
353,Saul Niguez,,es ESP,DFMF,Chelsea,27-134,1994,3.8,0,0.53,0.26,50,0.52,0.26,0,0,14,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
354,Eddie Nketiah,,eng ENG,FWMF,Arsenal,22-309,1999,1.4,0,1.43,0,0,1.44,0,0,,11.6,0,0,0,0.29,0.29,0.2,-0.29,-0.29,Matches
355,Nicolas Nkoulou,,cm CMR,DF,Watford,32-008,1990,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
356,Mark Noble,,eng ENG,MF,West Ham,34-331,1987,1.6,0.63,0,0,,0,0,,,,0,0.63,1.25,0.94,0,,-0.31,0,Matches
357,Mathias Normann,,no NOR,MF,Norwich City,25-311,1996,12.9,0.08,1.47,0.39,26.3,1.48,0.39,0.05,0.2,27.3,0.39,0,0,0.06,0.06,0.04,0.02,0.02,Matches
358,Christian Norgaard,,dk DEN,MF,Brentford,28-025,1994,29.2,0.07,0.86,0.24,28,0.86,0.24,0.08,0.29,13.6,0,0,0,0.1,0.1,0.11,-0.03,-0.03,Matches
359,Angelo Ogbonna,,it ITA,DF,West Ham,33-316,1988,10.2,0.1,0.29,0.1,33.3,0.29,0.1,0.33,1,11.1,0,0,0,0.03,0.03,0.09,0.07,0.07,Matches
360,Michael Olise,,fr FRA,FWMF,Crystal Palace,20-113,2001,10.8,0.19,1.57,0.83,52.9,1.58,0.83,0.12,0.22,17.2,0.19,0,0,0.12,0.12,0.08,0.06,0.06,Matches
361,Andrew Omobamidele,,ie IRL,DF,Norwich City,19-285,2002,4.2,0.24,0.48,0.24,50,0.47,0.24,0.5,1,6.5,0,0,0,0.07,0.07,0.17,0.17,0.17,Matches
362,Tyler Onyango,,eng ENG,MFFW,Everton,19-031,2003,0.3,0,3.33,0,0,3.21,0,0,,11,0,0,0,0,0,0.03,0,0,Matches
363,Frank Onyeka,,ng NGA,MF,Brentford,24-093,1998,11.6,0,1.38,0.43,31.3,1.38,0.43,0,0,17.5,0,0,0,0.09,0.09,0.07,-0.09,-0.09,Matches
364,Divock Origi,,be BEL,FW,Liverpool,26-351,1995,0.8,2.5,10,5,50,9.47,4.74,0.25,0.5,16,0,0,0,1,1,0.11,1.5,1.5,Matches
365,Alex Oxlade-Chamberlain,,eng ENG,MFFW,Liverpool,28-232,1993,8.7,0.23,2.41,0.34,14.3,2.41,0.34,0.1,0.67,20.3,0,0,0,0.14,0.14,0.06,0.09,0.09,Matches
366,Cole Palmer,,eng ENG,FWMF,Manchester City,19-333,2002,1.4,0,2.86,0.71,25,2.93,0.73,0,0,20.1,0,0,0,0.21,0.21,0.08,-0.21,-0.21,Matches
367,Emerson Palmieri,,it ITA,DF,Chelsea,27-244,1994,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
368,Thomas Partey,,gh GHA,MF,Arsenal,28-295,1993,21.7,0.09,2.03,0.41,20.5,2.03,0.41,0.05,0.22,21.1,0.09,0,0,0.12,0.12,0.06,-0.02,-0.02,Matches
369,Joao Pedro,,br BRA,FWMF,Watford,20-190,2001,12.2,0.16,2.87,0.82,28.6,2.87,0.82,0.06,0.2,15.9,0.08,0,0,0.2,0.2,0.07,-0.04,-0.04,Matches
370,Nicolas Pepe,,ci CIV,FWMF,Arsenal,26-310,1995,6.7,0.15,2.84,0.9,31.6,2.83,0.89,0.05,0.17,15.4,0.45,0,0,0.39,0.39,0.14,-0.24,-0.24,Matches
371,Ricardo Pereira,,pt POR,DF,Leicester City,28-180,1993,9.8,0.1,0.92,0.2,22.2,0.92,0.2,0.11,0.5,15.6,0,0,0,0.07,0.07,0.07,0.03,0.03,Matches
372,Ayoze Perez,,es ESP,FWMF,Leicester City,28-255,1993,2.4,0,2.5,1.67,66.7,2.45,1.64,0,0,14.3,0,0,0,0.42,0.42,0.17,-0.42,-0.42,Matches
373,Sonny Perkins,,eng ENG,FW,West Ham,18-053,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
374,Romain Perraud,,fr FRA,DF,Southampton,24-194,1997,13.4,0,0.9,0.22,25,0.89,0.22,0,0,19.5,0,0,0,0.05,0.05,0.06,-0.05,-0.05,Matches
375,Kalvin Phillips,,eng ENG,MF,Leeds United,26-123,1995,11.4,0,1.05,0.18,16.7,1.05,0.18,0,0,24,0.09,0,0,0.04,0.04,0.04,-0.04,-0.04,Matches
376,Jaden Philogene Bidace,,eng ENG,FW,Aston Villa,19-321,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
377,Jordan Pickford,,eng ENG,GK,Everton,28-028,1994,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
378,Erik Pieters,,nl NED,DF,Burnley,33-240,1988,7.9,0,0.89,0,0,0.89,0,0,,23.8,0,0,0,0.03,0.03,0.03,-0.03,-0.03,Matches
379,Ethan Pinnock,,jm JAM,DF,Brentford,28-310,1993,28.7,0.03,0.63,0.28,44.4,0.63,0.28,0.06,0.13,9,0,0,0,0.05,0.05,0.08,-0.02,-0.02,Matches
380,Daniel Podence,,pt POR,FWMF,Wolves,26-165,1995,16.3,0.12,2.15,0.92,42.9,2.15,0.92,0.06,0.13,21.7,0.06,0,0,0.12,0.12,0.06,0.01,0.01,Matches
381,Paul Pogba,,fr FRA,MFFW,Manchester Utd,29-020,1993,13.5,0.07,2.3,0.52,22.6,2.3,0.52,0.03,0.14,17,0,0,0,0.18,0.18,0.08,-0.1,-0.1,Matches
382,Nick Pope,,eng ENG,GK,Burnley,29-350,1992,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
383,Teemu Pukki,,fi FIN,FW,Norwich City,32-006,1990,28.2,0.28,1.52,0.57,37.2,1.53,0.57,0.12,0.31,14.5,0,0.11,0.11,0.27,0.18,0.12,0.02,-0.01,Matches
384,Christian Pulisic,,us USA,MFFW,Chelsea,23-198,1998,10.5,0.38,1.52,0.76,50,1.52,0.76,0.25,0.5,10.4,0,0,0,0.34,0.34,0.22,0.04,0.04,Matches
385,Przemyslaw Placheta,,pl POL,FWMF,Norwich City,24-012,1998,4.9,0,1.43,1.22,85.7,1.42,1.22,0,0,16.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
386,Jesuran Rak Sakyi,,eng ENG,MF,Crystal Palace,19-181,2002,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
387,Aaron Ramsdale,,eng ENG,GK,Arsenal,23-325,1998,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
388,Jacob Ramsey,,eng ENG,MF,Aston Villa,20-311,2001,22.4,0.27,1.29,0.4,31,1.29,0.4,0.21,0.67,18.2,0,0,0,0.14,0.14,0.11,0.13,0.13,Matches
389,Marcus Rashford,,eng ENG,FWMF,Manchester Utd,24-155,1997,10.8,0.37,1.76,0.93,52.6,1.76,0.92,0.21,0.4,17.5,0.09,0,0,0.21,0.21,0.12,0.16,0.16,Matches
390,Milot Rashica,,xk KVX,FWMF,Norwich City,25-280,1996,18.9,0.05,1.8,0.58,32.4,1.8,0.58,0.03,0.09,21.3,0.37,0,0,0.12,0.12,0.07,-0.07,-0.07,Matches
391,David Raya,,es ESP,GK,Brentford,26-201,1995,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
392,Nathan Redmond,,eng ENG,MFFW,Southampton,28-029,1994,15.1,0,1.32,0.4,30,1.33,0.4,0,0,19.7,0.07,0,0,0.12,0.12,0.09,-0.12,-0.12,Matches
393,Sergio Reguilon,,es ESP,DF,Tottenham,25-109,1996,19.5,0.1,1.03,0.41,40,1.03,0.41,0.1,0.25,14.7,0,0,0,0.15,0.15,0.15,-0.05,-0.05,Matches
394,Declan Rice,,eng ENG,MF,West Ham,23-080,1999,29,0.03,0.66,0.17,26.3,0.66,0.17,0.05,0.2,23.3,0.03,0,0,0.03,0.03,0.04,0.01,0.01,Matches
395,Taylor Richards,,eng ENG,MFFW,Brighton,21-121,2000,0.3,0,3.33,0,0,3.6,0,0,,24,0,0,0,0,0,0.04,0,0,Matches
396,Richarlison,,br BRA,FWMF,Everton,24-329,1997,19.2,0.21,2.14,0.42,19.5,2.14,0.42,0.1,0.5,16.1,0.05,0,0,0.24,0.24,0.11,-0.03,-0.03,Matches
397,Jairo Riedewald,,nl NED,MF,Crystal Palace,25-207,1996,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
398,Matt Ritchie,,sct SCO,DF,Newcastle Utd,32-206,1989,14.6,0,0.68,0.21,30,0.68,0.2,0,0,22,0.07,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
399,Connor Roberts,,wls WAL,DF,Burnley,26-193,1995,11.2,0,0.27,0.09,33.3,0.27,0.09,0,0,23.6,0,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
