,,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson\7a2e46a8,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-172,1992,27,18,0,0,2,1,21.2,0.3,4.2,0.16,124,242,51.2,879,142,21.2,29.8,129,43.4,38.9,173,17,9.8,40,1.48,17.6,Matches
2,Alphonse Areola\2f965a72,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,29-024,1993,1,1,0,0,0,0,1.2,0.39,0.2,0.17,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0,7,Matches
3,Kepa Arrizabalaga\28d596a0,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-171,1994,4,2,0,0,1,0,3.3,0.26,1.3,0.34,16,39,41,118,28,28,30.8,21,28.6,30.2,31,1,3.2,5,1.25,16.2,Matches
4,Daniel Bachmann\1c0eea98,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-257,1994,11,26,3,1,4,2,21.4,0.31,-2.6,-0.23,80,206,38.8,248,40,60.9,47.1,80,68.8,51.5,101,3,3,8,0.73,13.7,Matches
5,Asmir Begovic\7b4de647,Asmir Begovi?\7b4de647,ba BIH,GK,Everton,34-276,1987,2,3,0,0,0,1,2.2,0.25,0.2,0.11,13,47,27.7,32,3,87.5,57.3,23,82.6,58.5,12,1,8.3,0,0,14.7,Matches
6,Jack Butland\cc70a1d5,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,29-013,1993,5.5,9,0,1,1,2,6.9,0.38,-0.1,-0.02,21,73,28.8,144,23,36.1,33.1,44,47.7,40,57,3,5.3,2,0.36,12.1,Matches
7,Willy Caballero\a179d516,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-176,1981,2,5,0,0,1,0,4.3,0.4,-0.7,-0.36,20,39,51.3,46,0,58.7,42.1,13,92.3,59.1,21,1,4.8,4,2,21.7,Matches
8,Karl Darlow\cde3309f,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-166,1990,8,15,2,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.5,14.9,Matches
9,Martin Dubravka\3a949a25,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-067,1989,17,22,1,0,3,1,24.9,0.37,3.9,0.23,164,350,46.9,391,53,51.9,42.2,159,92.5,63.2,144,13,9,4,0.24,12,Matches
10,Ederson\3bb7b8b4,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-218,1993,28,18,1,0,1,0,16.4,0.24,-1.6,-0.06,110,194,56.7,718,118,23.3,30,110,24.5,31.5,137,12,8.8,26,0.93,16.6,Matches
11,Lukasz Fabianski\9328b835,?ukasz Fabia?ski\9328b835,pl POL,GK,West Ham,36-339,1985,29,38,2,1,5,1,39.2,0.31,2.2,0.07,199,480,41.5,541,104,58.8,45.3,218,74.3,54.4,260,11,4.2,6,0.21,12.1,Matches
12,Alvaro Fernandez\f127d782,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-344,1998,12,24,1,0,5,2,24.7,0.36,2.7,0.23,82,247,33.2,417,56,48,38.6,83,56.6,41,123,7,5.7,10,0.83,14.3,Matches
13,Fraser Forster\c3e39f12,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,34-006,1988,12,19,2,0,3,1,19,0.32,1,0.09,81,225,36,312,49,51.3,43,83,78.3,54.4,121,10,8.3,8,0.67,13.2,Matches
14,Ben Foster\d0b3ceb9,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-354,1983,18,29,0,0,4,1,24.6,0.35,-3.4,-0.19,167,459,36.4,460,50,69.8,51.3,155,89,63.6,187,10,5.3,18,1,16.1,Matches
15,David de Gea\7ba6d84e,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-136,1990,29,40,2,0,5,3,47.6,0.33,10.6,0.36,110,299,36.8,459,91,38.3,35.9,233,52.8,43.1,231,7,3,6,0.21,13.6,Matches
16,Vicente Guaita\ab13a5aa,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-072,1987,23.5,29,3,1,9,0,26.1,0.25,-2.9,-0.12,128,270,47.4,581,127,34.3,32.6,157,45.2,36.7,185,14,7.6,12,0.51,14.3,Matches
17,Angus Gunn\e082af5b,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-060,1996,7,18,2,0,2,0,18.8,0.4,0.8,0.11,46,112,41.1,162,32,53.1,40.3,62,41.9,38.5,69,6,8.7,6,0.86,14.6,Matches
18,Wayne Hennessey\76eca7e2,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-058,1987,2,6,0,0,1,1,4.2,0.34,-0.8,-0.38,26,65,40,59,8,76.3,57.8,21,95.2,69.9,20,1,5,3,1.5,15.9,Matches
19,Caoimhin Kelleher\62d7ef38,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-120,1998,2,2,0,0,0,0,2.6,0.32,0.6,0.28,8,16,50,77,12,18.2,26.3,13,15.4,26.3,11,0,0,3,1.5,16.4,Matches
20,Kristoffer Klaesson\3f70db80,Kristoffer Klaesson\3f70db80,no NOR,GK,Leeds United,21-116,2000,0.4,0,0,0,0,0,0.3,0.07,0.3,0.67,2,4,50,8,2,37.5,34.4,3,33.3,31,4,1,25,0,0,25,Matches
21,Tim Krul\f23f9d20,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-354,1988,22,45,6,0,7,2,42.1,0.33,-0.9,-0.04,149,376,39.6,645,114,45.1,39.7,169,50.3,43.4,184,7,3.8,10,0.45,12.9,Matches
22,Bernd Leno\2628fd2b,Bernd Leno\2628fd2b,de GER,GK,Arsenal,30-019,1992,4,9,0,0,1,0,7.3,0.39,-1.7,-0.41,16,53,30.2,74,12,37.8,37.1,37,67.6,49.8,48,2,4.2,1,0.25,12.9,Matches
23,Hugo Lloris\8f62b6ee,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-087,1986,29,36,2,0,5,1,34.9,0.31,-0.1,0,131,274,47.8,505,111,36.8,34.3,210,41.9,35.1,272,18,6.6,20,0.69,14.6,Matches
24,Jonas Lossl\939bc634,Jonas Lössl\939bc634,dk DEN,GK,Brentford,33-050,1989,2,5,0,0,0,0,3.3,0.46,-1.7,-0.87,13,30,43.3,49,6,53.1,38.9,13,30.8,34.2,14,0,0,4,2,19.8,Matches
25,Emiliano Martinez\7956236f,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,29-202,1992,28,37,3,2,5,1,30.8,0.26,-5.2,-0.19,161,390,41.3,647,110,44.2,38.1,223,46.6,40.1,222,12,5.4,21,0.75,14.3,Matches
26,Alex McCarthy\36c2ca73,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,32-110,1989,15,21,0,0,6,0,20.8,0.35,-0.2,-0.02,72,241,29.9,341,61,46.3,39.9,109,76.1,56.8,135,17,12.6,3,0.2,12.4,Matches
27,Edouard Mendy\33887998,Edouard Mendy\33887998,sn SEN,GK,Chelsea,30-022,1992,24,17,5,0,1,1,18,0.21,2,0.08,78,190,41.1,554,92,26,29.3,127,36.2,31.5,189,18,9.5,15,0.63,13.8,Matches
28,Illan Meslier\6b625ac2,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,22-021,2000,29.6,67,5,2,10,1,57.2,0.31,-8.8,-0.3,120,365,32.9,867,206,32.8,31.8,219,37,35.5,172,14,8.1,30,1.01,14.8,Matches
29,Jordan Pickford\4806ec67,Jordan Pickford\4806ec67,eng ENG,GK,Everton,28-016,1994,25,44,1,1,9,3,38.8,0.31,-2.2,-0.09,186,545,34.1,612,87,65.2,50.4,188,77.7,62.3,209,15,7.2,17,0.68,15.2,Matches
30,Nick Pope\4b40d9ca,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29-338,1992,25,32,1,1,6,0,32.4,0.32,0.4,0.02,219,578,37.9,541,88,74.7,53.4,188,92.6,65,245,22,9,40,1.6,18.3,Matches
31,Aaron Ramsdale\466fb2c5,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23-313,1998,24,22,3,0,0,0,20.7,0.2,-1.3,-0.06,139,400,34.8,703,117,42,38,139,75.5,59,187,19,10.2,19,0.79,15.3,Matches
32,David Raya\98ea5115,David Raya\98ea5115,es ESP,GK,Brentford,26-189,1995,16,18,1,1,2,0,19.1,0.27,1.1,0.07,173,422,41,594,77,54.7,43,129,75.2,54.5,158,12,7.6,21,1.31,15.7,Matches
33,Jose Sa\903b6e8b,José Sá\903b6e8b,pt POR,GK,Wolves,29-065,1993,30,26,5,1,1,1,34.9,0.26,9.9,0.33,130,396,32.8,665,160,43.2,39.6,212,51.4,43,274,28,10.2,34,1.13,15.6,Matches
34,Robert Sanchez\6a713852,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-125,1997,28,34,3,0,4,0,34.7,0.28,0.7,0.03,153,465,32.9,1025,124,34.1,36.4,171,67.3,53.1,227,28,12.3,29,1.04,15,Matches
35,Kasper Schmeichel\53af52f3,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-138,1986,27,46,6,1,12,1,44.2,0.29,-0.8,-0.03,197,471,41.8,738,108,47.7,39.9,225,52.9,44.6,225,15,6.7,14,0.52,12.9,Matches
36,Jason Steele\28300a16,Jason Steele\28300a16,eng ENG,GK,Brighton,31-217,1990,1,2,0,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50,43.8,11,1,9.1,0,0,13,Matches
37,Jed Steer\a8a3d139,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-181,1992,1,3,0,0,0,0,1.8,0.45,-1.2,-1.2,5,13,38.5,30,6,30,34.4,6,66.7,53.8,8,1,12.5,1,1,14.3,Matches
38,Zack Steffen\42130443,Zack Steffen\42130443,us USA,GK,Manchester City,26-355,1995,1,0,0,0,0,0,0.3,0.16,0.3,0.31,4,9,44.4,31,6,22.6,26,7,28.6,25.3,7,0,0,2,2,17.5,Matches
39,Freddie Woodman\19e50035,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,25-019,1997,4,12,2,0,0,0,8.7,0.35,-3.3,-0.83,22,71,31,80,11,53.8,43.3,43,65.1,52,33,2,6.1,0,0,11.6,Matches
