,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons\774cf58b,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-078,2000,26.6,0,11,2,18.2,0.41,0.08,0,0,20.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
2,Che Adams\f2bf1b0f,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-253,1996,18.3,7,40,20,50,2.19,1.09,0.18,0.35,13.2,0,0,0,5.5,5.5,0.14,1.5,1.5,Matches
3,Rayan Ait Nouri\9b398aea,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-290,2001,15.3,0,8,2,25,0.52,0.13,0,0,15.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
4,Kristoffer Ajer\a8c0acb7,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-340,1998,15.6,0,3,0,0,0.19,0,0,,10,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
5,Nathan Ake\eaeca114,Nathan Aké\eaeca114,nl NED,DF,Manchester City,27-033,1995,7.5,1,3,1,33.3,0.4,0.13,0.33,1,5.3,0,0,0,0.7,0.7,0.25,0.3,0.3,Matches
6,Marc Albrighton\b827d5b3,Marc Albrighton\b827d5b3,eng ENG,FWDF,Leicester City,32-125,1989,11.1,1,4,1,25,0.36,0.09,0.25,1,16.7,0,0,0,0.5,0.5,0.13,0.5,0.5,Matches
7,Thiago Alcantara\77e84962,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-346,1991,11.2,1,18,5,27.8,1.61,0.45,0.06,0.2,16.5,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
8,Trent Alexander-Arnold\cd1acf9d,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-167,1998,25.7,2,41,12,29.3,1.6,0.47,0.05,0.17,22,3,0,0,2.3,2.3,0.06,-0.3,-0.3,Matches
9,Alisson\7a2e46a8,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-172,1992,27,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
10,Allan\cc700722,Allan\cc700722,br BRA,MF,Everton,31-074,1991,21.5,0,6,3,50,0.28,0.14,0,0,25.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
11,Dele Alli\cea4ee8f,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-346,1996,1.9,0,3,0,0,1.54,0,0,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
12,Dele Alli\cea4ee8f,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-346,1996,7.3,1,4,2,50,0.55,0.27,0,0,18.2,0,1,1,1.5,0.7,0.18,-0.5,-0.7,Matches
13,Miguel Almiron\862a1c15,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,28-041,1994,12.6,0,19,5,26.3,1.5,0.4,0,0,20,0,0,0,1,1,0.05,-1,-1,Matches
14,Marcos Alonso\f4290206,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-085,1990,16.1,1,25,5,20,1.55,0.31,0.04,0.2,21.7,8,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches
15,Steven Alzate\ad1f61f3,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-196,1998,4.5,0,1,1,100,0.22,0.22,0,0,18.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
16,Daniel Amartey\1a4ef233,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-092,1994,16.7,0,1,1,100,0.06,0.06,0,0,33.2,0,0,0,0,0,0.01,0,0,Matches
17,Joachim Andersen\e34fc66d,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-296,1996,23.4,0,5,2,40,0.21,0.09,0,0,13.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
18,Michail Antonio\ac05f970,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-360,1990,27.6,8,69,21,30.4,2.5,0.76,0.12,0.38,14.3,0,0,1,8.7,8.4,0.12,-0.7,-0.4,Matches
19,Cameron Archer\05e8ca6d,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-245,2001,0.3,0,1,0,0,3.33,0,0,,13,0,0,0,0,0,0.02,0,0,Matches
20,Alphonse Areola\2f965a72,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,29-024,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
21,Adam Armstrong\68c720b5,Adam Armstrong\68c720b5,eng ENG,FWMF,Southampton,25-041,1997,13.5,2,44,14,31.8,3.26,1.04,0.05,0.14,17.2,0,0,0,4.1,4.1,0.09,-2.1,-2.1,Matches
22,Stuart Armstrong\97333cf5,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-358,1992,10.7,2,30,7,23.3,2.79,0.65,0.07,0.29,19.3,0,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches
23,Kepa Arrizabalaga\28d596a0,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-171,1994,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
24,Harrison Ashby\b391383a,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-129,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
25,Pierre-Emerick Aubameyang\d5dd5f1f,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-278,1989,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,14.2,0,0,2,5.8,4.1,0.13,-1.8,-0.1,Matches
26,Jordan Ayew\da052c14,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-193,1991,17.3,1,28,5,17.9,1.62,0.29,0.04,0.2,17.3,1,0,0,2.5,2.5,0.09,-1.5,-1.5,Matches
27,Luke Ayling\420d7c7d,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-210,1991,21,2,16,3,18.8,0.76,0.14,0.13,0.67,12.3,0,0,0,1.4,1.4,0.09,0.6,0.6,Matches
28,Cesar Azpilicueta\53cad200,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-207,1989,15.9,0,8,2,25,0.5,0.13,0,0,13.7,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
29,Daniel Bachmann\1c0eea98,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-257,1994,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
30,Leon Bailey\3a233281,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-226,1997,5.8,1,15,6,40,2.59,1.04,0.07,0.17,18.4,4,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
31,Eric Bailly\a1232f4e,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-345,1994,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
32,Folarin Balogun\31822f8c,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-263,2001,0.8,0,3,0,0,3.86,0,0,,14,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
33,Patrick Bamford\93feac6e,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-199,1993,6.2,2,20,5,25,3.22,0.81,0.1,0.4,13.6,0,0,0,4,4,0.2,-2,-2,Matches
34,Shandon Baptiste\2886c9b5,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-349,1998,9.8,1,12,4,33.3,1.23,0.41,0.08,0.25,18.9,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
35,Ross Barkley\3a24769f,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-108,1993,1.7,0,6,1,16.7,3.51,0.58,0,0,22.1,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Matches
36,Ashley Barnes\2691c772,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-144,1989,4.7,0,8,3,37.5,1.69,0.64,0,0,12.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
37,Harvey Barnes\3ea50f67,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-104,1997,17.4,3,47,19,40.4,2.7,1.09,0.06,0.16,15.6,0,0,0,4.7,4.7,0.1,-1.7,-1.7,Matches
38,Lewis Bate\cd4256d3,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-145,2002,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
39,Mads Bech Sorensen\30db8574,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-075,1999,4.2,0,1,0,0,0.24,0,0,,8.9,0,0,0,0,0,0.05,0,0,Matches
40,Jan Bednarek\4115ce4e,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-345,1996,22.2,3,16,6,37.5,0.72,0.27,0.19,0.5,7.1,0,0,0,2.2,2.2,0.13,0.8,0.8,Matches
41,Donny van de Beek\50dc94ce,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-339,1997,0.8,1,2,1,50,2.4,1.2,0.5,1,9.3,0,0,0,0.7,0.7,0.36,0.3,0.3,Matches
42,Donny van de Beek\50dc94ce,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-339,1997,4.8,0,4,0,0,0.84,0,0,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
43,Asmir Begovi?\7b4de647,Asmir Begovi?\7b4de647,ba BIH,GK,Everton,34-276,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
44,Said Benrahma\5a04fd92,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-225,1995,19.9,6,54,18,33.3,2.71,0.9,0.11,0.33,18.9,3,0,0,4.1,4.1,0.08,1.9,1.9,Matches
45,Rodrigo Bentancur\3b8674e6,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-291,1997,6.8,0,4,0,0,0.59,0,0,,15.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
46,Christian Benteke\ab070c55,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-110,1990,12.4,4,39,13,33.3,3.15,1.05,0.1,0.31,11.4,0,0,0,5.4,5.4,0.14,-1.4,-1.4,Matches
47,Johann Berg Gudmundsson\f72293fc,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-147,1990,12.2,0,19,4,21.1,1.55,0.33,0,0,19.7,2,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
48,Steven Bergwijn\a29b1131,Steven Bergwijn\a29b1131,nl NED,FWMF,Tottenham,24-166,1997,5.5,2,16,9,56.3,2.9,1.63,0.13,0.22,16,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Matches
49,Ryan Bertrand\01226327,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-230,1989,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
50,Mads Bidstrup\407db0d5,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,21-026,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
51,Yves Bissouma\6c203af0,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-205,1996,18.1,0,18,3,16.7,0.99,0.17,0,0,23.6,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
52,Willy Boly\a4ac4b8f,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,31-048,1991,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
53,Jarrod Bowen\79c84d1c,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-093,1996,26.2,8,67,27,40.3,2.56,1.03,0.12,0.3,15.4,0,0,0,8.9,8.9,0.13,-0.9,-0.9,Matches
54,Jarrad Branthwaite\c1949191,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-269,2002,2.1,1,2,2,100,0.94,0.94,0.5,0.5,14,0,0,0,0.4,0.4,0.21,0.6,0.6,Matches
55,Armando Broja\97220da2,Armando Broja\97220da2,al ALB,FW,Southampton,20-194,2001,16.8,6,40,18,45,2.38,1.07,0.15,0.33,12.2,0,0,0,6.3,6.3,0.16,-0.3,-0.3,Matches
56,Josh Brownhill\47369df8,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-094,1995,22.4,1,20,6,30,0.89,0.27,0.05,0.17,23,3,0,0,1,1,0.05,0,0,Matches
57,Bryan\7b5ab7f2,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-040,2001,1,0,1,1,100,0.96,0.96,0,0,16.2,0,0,0,0,0,0.03,0,0,Matches
58,Emi Buendia\66b76d44,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-088,1996,17.1,2,32,11,34.4,1.87,0.64,0.06,0.18,17.9,0,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches
59,Dan Burn\b2d31e83,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-318,1992,11.4,1,7,3,42.9,0.62,0.26,0.14,0.33,7.4,0,0,0,1.3,1.3,0.18,-0.3,-0.3,Matches
60,Dan Burn\b2d31e83,Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,29-318,1992,7,0,5,0,0,0.71,0,0,,7.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
61,Jack Butland\cc70a1d5,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,29-013,1993,5.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
62,Sam Byram\1bf811d4,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-188,1993,3,0,3,1,33.3,0.99,0.33,0,0,9.1,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
63,Willy Caballero\a179d516,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-176,1981,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
64,Dominic Calvert-Lewin\59e6e5bf,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,25-007,1997,8.5,3,23,8,34.8,2.72,0.94,0.04,0.13,13.3,0,2,3,5.7,3.5,0.15,-2.7,-2.5,Matches
65,Joao Cancelo\bd6351cd,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-300,1994,26.9,1,60,20,33.3,2.23,0.74,0.02,0.05,22.1,1,0,0,2.9,2.9,0.05,-1.9,-1.9,Matches
66,Sergi Canos\1137759d,Sergi Canós\1137759d,es ESP,DF,Brentford,25-049,1997,22.8,2,31,10,32.3,1.36,0.44,0.06,0.2,16.2,1,0,0,2.9,2.9,0.09,-0.9,-0.9,Matches
67,Todd Cantwell\f63d8a4b,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,24-024,1998,4.9,0,4,0,0,0.82,0,0,,28.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
68,Matty Cash\2389cdc2,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-228,1997,28.5,3,24,6,25,0.84,0.21,0.13,0.5,18.5,0,0,0,1.7,1.7,0.07,1.3,1.3,Matches
69,Timothy Castagne\197640fd,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-108,1995,14.8,1,2,1,50,0.13,0.07,0.5,1,19.5,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
70,Jonny Castro\e28868f3,Jonny Castro\e28868f3,es ESP,DF,Wolves,28-020,1994,4,1,4,2,50,1.01,0.51,0.25,0.5,18.3,0,0,0,0.5,0.5,0.11,0.5,0.5,Matches
71,Craig Cathcart\89e4b358,Craig Cathcart\89e4b358,nir NIR,DF,Watford,33-045,1989,24.3,0,2,0,0,0.08,0,0,,9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
72,Edinson Cavani\527f063d,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,35-037,1987,6.8,2,16,4,25,2.34,0.59,0.13,0.5,11.6,0,0,0,3.1,3.1,0.19,-1.1,-1.1,Matches
73,Kayky Chagas\17734ea0,Kayky Chagas\17734ea0,br BRA,FW,Manchester City,18-285,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
74,Trevoh Chalobah\5515376c,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-261,1999,13.1,3,5,4,80,0.38,0.31,0.6,0.75,14.5,0,0,0,0.8,0.8,0.17,2.2,2.2,Matches
75,Calum Chambers\dc6f5bdd,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,27-062,1995,1.9,0,2,0,0,1.06,0,0,,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
76,Calum Chambers\dc6f5bdd,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,27-062,1995,5,1,2,1,50,0.4,0.2,0.5,1,15.5,0,0,0,0.1,0.1,0.05,0.9,0.9,Matches
77,Daniel Chesters\240c8ab6,Daniel Chesters\240c8ab6,eng ENG,MF,West Ham,19-353,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
78,Ben Chilwell\d2424d1b,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,25-092,1996,6,3,13,6,46.2,2.17,1,0.23,0.5,17.9,0,0,0,1.2,1.2,0.09,1.8,1.8,Matches
79,Chiquinho\dc6c2f02,Chiquinho\dc6c2f02,pt POR,MFDF,Wolves,22-046,2000,0.6,0,2,1,50,3.53,1.76,0,0,6.5,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
80,Hamza Choudhury\7d2d3329,Hamza Choudhury\7d2d3329,eng ENG,DFMF,Leicester City,24-173,1997,3.2,0,1,0,0,0.32,0,0,,12.8,0,0,0,0,0,0.02,0,0,Matches
81,Andreas Christensen\1cb49278,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-347,1996,14.1,0,5,0,0,0.35,0,0,,19.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
82,Carney Chukwuemeka\b2f9c73e,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-075,2004,2.2,0,3,1,33.3,1.39,0.46,0,0,16.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
83,Ciaran Clark\2b91cf8e,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-178,1989,11.3,0,7,1,14.3,0.62,0.09,0,0,7,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
84,Tom Cleverley\6cdd8245,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-223,1989,15.2,0,12,7,58.3,0.79,0.46,0,0,23.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
85,Nathaniel Clyne\0442183b,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-352,1991,6,0,1,1,100,0.17,0.17,0,0,28.6,0,0,0,0,0,0.02,0,0,Matches
86,Conor Coady\2928dca2,Conor Coady\2928dca2,eng ENG,DF,Wolves,29-026,1993,29.8,3,11,3,27.3,0.37,0.1,0.27,1,12,0,0,0,1.8,1.8,0.16,1.2,1.2,Matches
87,Seamus Coleman\0420d84f,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-163,1988,21.6,1,8,1,12.5,0.37,0.05,0.13,1,17.2,0,0,0,1,1,0.12,0,0,Matches
88,Nathan Collins\a8c19eb8,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-327,2001,8.6,0,3,1,33.3,0.35,0.12,0,0,6.3,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
89,Aaron Connolly\27c01749,Aaron Connolly\27c01749,ie IRL,FW,Brighton,22-054,2000,1.7,0,2,0,0,1.15,0,0,,14.9,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
90,Liam Cooper\dc64b8b3,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-205,1991,14.2,0,4,0,0,0.28,0,0,,11,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
91,Jack Cork\74e12f1e,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-271,1989,9.8,0,3,0,0,0.31,0,0,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
92,Maxwel Cornet\beb391dd,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-177,1996,12.2,6,28,14,50,2.3,1.15,0.21,0.43,17.1,4,0,0,3,3,0.11,3,3,Matches
93,Helder Costa\f13d02a6,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,28-070,1994,0.2,0,1,0,0,4.09,0,0,,22.4,0,0,0,0,0,0.03,0,0,Matches
94,Vladimir Coufal\fdf3cb77,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-213,1992,18.7,0,11,4,36.4,0.59,0.21,0,0,17,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
95,Philippe Coutinho\0ef89a37,Philippe Coutinho\0ef89a37,br BRA,MFFW,Aston Villa,29-284,1992,8.6,4,25,11,44,2.91,1.28,0.16,0.36,17.8,3,0,0,3.3,3.3,0.13,0.7,0.7,Matches
96,Aaron Cresswell\4f974391,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-098,1989,22.3,1,12,2,16.7,0.54,0.09,0.08,0.5,21,6,0,0,0.7,0.7,0.06,0.3,0.3,Matches
97,Charlie Cresswell\4654e5f5,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-106,2002,1.6,0,1,0,0,0.64,0,0,,10,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
98,Cucho\71b47ab9,Cucho\71b47ab9,co COL,FWMF,Watford,22-337,1999,11.3,5,32,9,28.1,2.84,0.8,0.16,0.56,19,5,0,0,2.5,2.5,0.08,2.5,2.5,Matches
99,Marc Cucurella\1daec722,Marc Cucurella\1daec722,es ESP,DF,Brighton,23-244,1998,25.3,0,13,2,15.4,0.51,0.08,0,0,22.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
100,Luke Cundle\cc3b8e78,Luke Cundle\cc3b8e78,eng ENG,MF,Wolves,19-331,2002,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
101,Patson Daka\ca45605e,Patson Daka\ca45605e,zm ZAM,FW,Leicester City,23-165,1998,8.5,4,19,11,57.9,2.23,1.29,0.21,0.36,15.1,0,0,0,3.3,3.3,0.17,0.7,0.7,Matches
102,Stuart Dallas\67ca8566,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,30-338,1991,28.9,1,28,7,25,0.97,0.24,0.04,0.14,21.1,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
103,Diogo Dalot\d9565625,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,23-005,1999,12.1,0,8,3,37.5,0.66,0.25,0,0,21.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
104,Karl Darlow\cde3309f,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-166,1990,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
